evaluation 530: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 540: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 550: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 560: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 570: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 580: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 590: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0056 Nm, penetration 0.000034 m
evaluation 600: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 610: speed 0.031351, force 0.2012 N, moment 0.0643 Nm, torque margin 0.0057 Nm, penetration 0.000034 m
evaluation 620: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1879 Nm, penetration 0.000016 m
evaluation 630: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1880 Nm, penetration 0.000016 m
evaluation 640: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1880 Nm, penetration 0.000016 m
evaluation 650: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1880 Nm, penetration 0.000016 m
evaluation 660: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1880 Nm, penetration 0.000016 m
evaluation 670: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1880 Nm, penetration 0.000016 m
evaluation 680: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1880 Nm, penetration 0.000016 m
evaluation 690: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1880 Nm, penetration 0.000016 m
evaluation 700: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1880 Nm, penetration 0.000016 m
evaluation 710: speed 0.028922, force 0.0888 N, moment 0.0293 Nm, torque margin 0.1880 Nm, penetration 0.000016 m
evaluation 720: speed 0.027415, force 0.0787 N, moment 0.0260 Nm, torque margin 0.2352 Nm, penetration 0.000007 m
evaluation 730: speed 0.027415, force 0.0786 N, moment 0.0259 Nm, torque margin 0.2352 Nm, penetration 0.000007 m
evaluation 740: speed 0.027415, force 0.0787 N, moment 0.0259 Nm, torque margin 0.2352 Nm, penetration 0.000007 m
evaluation 750: speed 0.027415, force 0.0786 N, moment 0.0259 Nm, torque margin 0.2352 Nm, penetration 0.000007 m
evaluation 760: speed 0.027415, force 0.0786 N, moment 0.0259 Nm, torque margin 0.2352 Nm, penetration 0.000007 m
evaluation 770: speed 0.027415, force 0.0787 N, moment 0.0260 Nm, torque margin 0.2352 Nm, penetration 0.000007 m
evaluation 780: speed 0.027415, force 0.0786 N, moment 0.0259 Nm, torque margin 0.2352 Nm, penetration 0.000007 m
evaluation 790: speed 0.027415, force 0.0785 N, moment 0.0259 Nm, torque margin 0.2352 Nm, penetration 0.000007 m
evaluation 800: speed 0.027415, force 0.0786 N, moment 0.0259 Nm, torque margin 0.2352 Nm, penetration 0.000007 m
evaluation 810: speed 0.027415, force 0.0786 N, moment 0.0259 Nm, torque margin 0.2352 Nm, penetration 0.000007 m
evaluation 820: speed 0.027179, force 0.0654 N, moment 0.0216 Nm, torque margin 0.2495 Nm, penetration 0.000002 m
evaluation 830: speed 0.027188, force 0.0654 N, moment 0.0216 Nm, torque margin 0.2495 Nm, penetration 0.000002 m
evaluation 840: speed 0.027188, force 0.0654 N, moment 0.0216 Nm, torque margin 0.2495 Nm, penetration 0.000002 m
evaluation 850: speed 0.027188, force 0.0653 N, moment 0.0215 Nm, torque margin 0.2495 Nm, penetration 0.000002 m
evaluation 860: speed 0.027188, force 0.0654 N, moment 0.0216 Nm, torque margin 0.2495 Nm, penetration 0.000002 m
evaluation 870: speed 0.027188, force 0.0654 N, moment 0.0216 Nm, torque margin 0.2495 Nm, penetration 0.000002 m
evaluation 880: speed 0.027188, force 0.0654 N, moment 0.0216 Nm, torque margin 0.2495 Nm, penetration 0.000002 m
evaluation 890: speed 0.027188, force 0.0654 N, moment 0.0216 Nm, torque margin 0.2495 Nm, penetration 0.000002 m
evaluation 900: speed 0.027188, force 0.0654 N, moment 0.0216 Nm, torque margin 0.2495 Nm, penetration 0.000002 m
evaluation 910: speed 0.027188, force 0.0655 N, moment 0.0216 Nm, torque margin 0.2495 Nm, penetration 0.000002 m
evaluation 920: speed 0.027188, force 0.0654 N, moment 0.0216 Nm, torque margin 0.2495 Nm, penetration 0.000002 m
evaluation 930: speed 0.029118, force 0.0553 N, moment 0.0182 Nm, torque margin 0.2178 Nm, penetration 0.000021 m
evaluation 940: speed 0.029118, force 0.0553 N, moment 0.0183 Nm, torque margin 0.2178 Nm, penetration 0.000021 m
evaluation 950: speed 0.029118, force 0.0553 N, moment 0.0182 Nm, torque margin 0.2178 Nm, penetration 0.000021 m
evaluation 960: speed 0.029118, force 0.0553 N, moment 0.0182 Nm, torque margin 0.2178 Nm, penetration 0.000021 m
evaluation 970: speed 0.029118, force 0.0553 N, moment 0.0182 Nm, torque margin 0.2178 Nm, penetration 0.000021 m
evaluation 980: speed 0.029118, force 0.0553 N, moment 0.0182 Nm, torque margin 0.2178 Nm, penetration 0.000021 m
evaluation 990: speed 0.029118, force 0.0556 N, moment 0.0183 Nm, torque margin 0.2178 Nm, penetration 0.000021 m
evaluation 1000: speed 0.029118, force 0.0553 N, moment 0.0182 Nm, torque margin 0.2178 Nm, penetration 0.000021 m
evaluation 1010: speed 0.029118, force 0.0553 N, moment 0.0182 Nm, torque margin 0.2178 Nm, penetration 0.000021 m
evaluation 1020: speed 0.029118, force 0.0553 N, moment 0.0182 Nm, torque margin 0.2177 Nm, penetration 0.000021 m
evaluation 1030: speed 0.028264, force 0.0459 N, moment 0.0151 Nm, torque margin 0.2267 Nm, penetration 0.000016 m
evaluation 1040: speed 0.028255, force 0.0459 N, moment 0.0151 Nm, torque margin 0.2267 Nm, penetration 0.000016 m
evaluation 1050: speed 0.028255, force 0.0459 N, moment 0.0151 Nm, torque margin 0.2267 Nm, penetration 0.000016 m
evaluation 1060: speed 0.028255, force 0.0460 N, moment 0.0152 Nm, torque margin 0.2267 Nm, penetration 0.000016 m
evaluation 1070: speed 0.028255, force 0.0459 N, moment 0.0151 Nm, torque margin 0.2267 Nm, penetration 0.000016 m
evaluation 1080: speed 0.028255, force 0.0459 N, moment 0.0151 Nm, torque margin 0.2267 Nm, penetration 0.000016 m
evaluation 1090: speed 0.028255, force 0.0459 N, moment 0.0151 Nm, torque margin 0.2267 Nm, penetration 0.000016 m
evaluation 1100: speed 0.028255, force 0.0459 N, moment 0.0151 Nm, torque margin 0.2268 Nm, penetration 0.000016 m
