evaluation 420: speed 0.102451, force 6.3345 N, moment 0.8473 Nm, torque -0.2309 Nm, cone 15.7643 N, maximum constraint 315.286261, feasible false
evaluation 430: speed 0.102451, force 6.3354 N, moment 0.8473 Nm, torque -0.2309 Nm, cone 15.7643 N, maximum constraint 315.286261, feasible false
evaluation 440: speed 0.102451, force 6.3364 N, moment 0.8473 Nm, torque -0.2309 Nm, cone 15.7643 N, maximum constraint 315.286261, feasible false
evaluation 450: speed 0.102451, force 6.3345 N, moment 0.8473 Nm, torque -0.2309 Nm, cone 15.7643 N, maximum constraint 315.286261, feasible false
evaluation 460: speed 0.102451, force 6.3345 N, moment 0.8473 Nm, torque -0.2309 Nm, cone 15.7643 N, maximum constraint 315.286261, feasible false
evaluation 470: speed 0.074350, force 5.0844 N, moment 0.5454 Nm, torque -0.3672 Nm, cone 20.3523 N, maximum constraint 407.046896, feasible false
evaluation 480: speed 0.074350, force 5.0848 N, moment 0.5454 Nm, torque -0.3672 Nm, cone 20.3523 N, maximum constraint 407.046896, feasible false
evaluation 490: speed 0.074350, force 5.0845 N, moment 0.5454 Nm, torque -0.3672 Nm, cone 20.3523 N, maximum constraint 407.046896, feasible false
evaluation 500: speed 0.074350, force 5.0845 N, moment 0.5454 Nm, torque -0.3672 Nm, cone 20.3523 N, maximum constraint 407.046896, feasible false
evaluation 510: speed 0.074350, force 5.0845 N, moment 0.5454 Nm, torque -0.3672 Nm, cone 20.3523 N, maximum constraint 407.046896, feasible false
evaluation 520: speed 0.074350, force 5.0844 N, moment 0.5454 Nm, torque -0.3672 Nm, cone 20.3523 N, maximum constraint 407.046896, feasible false
evaluation 530: speed 0.074350, force 5.0845 N, moment 0.5454 Nm, torque -0.3672 Nm, cone 20.3523 N, maximum constraint 407.046896, feasible false
evaluation 540: speed 0.074350, force 5.0844 N, moment 0.5454 Nm, torque -0.3672 Nm, cone 20.3523 N, maximum constraint 407.046896, feasible false
