evaluation 530: speed 0.088496, force 0.0785 N, moment 0.0254 Nm, torque margin -0.0798 Nm, penetration 0.000004 m
evaluation 540: speed 0.088484, force 0.0785 N, moment 0.0254 Nm, torque margin -0.0798 Nm, penetration 0.000004 m
evaluation 550: speed 0.088484, force 0.0785 N, moment 0.0254 Nm, torque margin -0.0798 Nm, penetration 0.000004 m
evaluation 560: speed 0.088484, force 0.0786 N, moment 0.0254 Nm, torque margin -0.0798 Nm, penetration 0.000004 m
evaluation 570: speed 0.088484, force 0.0785 N, moment 0.0254 Nm, torque margin -0.0798 Nm, penetration 0.000004 m
evaluation 580: speed 0.088484, force 0.0785 N, moment 0.0254 Nm, torque margin -0.0798 Nm, penetration 0.000004 m
evaluation 590: speed 0.088484, force 0.0785 N, moment 0.0254 Nm, torque margin -0.0798 Nm, penetration 0.000004 m
evaluation 600: speed 0.088484, force 0.0785 N, moment 0.0254 Nm, torque margin -0.0798 Nm, penetration 0.000004 m
evaluation 610: speed 0.088484, force 0.0785 N, moment 0.0254 Nm, torque margin -0.0798 Nm, penetration 0.000004 m
evaluation 620: speed 0.088484, force 0.0787 N, moment 0.0254 Nm, torque margin -0.0798 Nm, penetration 0.000004 m
evaluation 630: speed 0.088484, force 0.0785 N, moment 0.0254 Nm, torque margin -0.0798 Nm, penetration 0.000004 m
evaluation 640: speed 0.087601, force 0.0767 N, moment 0.0248 Nm, torque margin -0.0789 Nm, penetration 0.000004 m
evaluation 650: speed 0.087601, force 0.0768 N, moment 0.0248 Nm, torque margin -0.0789 Nm, penetration 0.000004 m
evaluation 660: speed 0.087601, force 0.0768 N, moment 0.0248 Nm, torque margin -0.0789 Nm, penetration 0.000004 m
evaluation 670: speed 0.087601, force 0.0768 N, moment 0.0248 Nm, torque margin -0.0789 Nm, penetration 0.000004 m
evaluation 680: speed 0.087601, force 0.0768 N, moment 0.0248 Nm, torque margin -0.0789 Nm, penetration 0.000004 m
evaluation 690: speed 0.087601, force 0.0768 N, moment 0.0248 Nm, torque margin -0.0789 Nm, penetration 0.000004 m
evaluation 700: speed 0.087601, force 0.0768 N, moment 0.0248 Nm, torque margin -0.0789 Nm, penetration 0.000004 m
evaluation 710: speed 0.087601, force 0.0769 N, moment 0.0248 Nm, torque margin -0.0789 Nm, penetration 0.000004 m
evaluation 720: speed 0.087601, force 0.0768 N, moment 0.0248 Nm, torque margin -0.0789 Nm, penetration 0.000004 m
evaluation 730: speed 0.087601, force 0.0768 N, moment 0.0248 Nm, torque margin -0.0789 Nm, penetration 0.000004 m
evaluation 740: speed 0.087446, force 0.0761 N, moment 0.0246 Nm, torque margin -0.0787 Nm, penetration 0.000004 m
evaluation 750: speed 0.087438, force 0.0762 N, moment 0.0246 Nm, torque margin -0.0787 Nm, penetration 0.000004 m
evaluation 760: speed 0.087438, force 0.0762 N, moment 0.0246 Nm, torque margin -0.0787 Nm, penetration 0.000004 m
evaluation 770: speed 0.087438, force 0.0761 N, moment 0.0246 Nm, torque margin -0.0787 Nm, penetration 0.000004 m
evaluation 780: speed 0.087438, force 0.0762 N, moment 0.0246 Nm, torque margin -0.0787 Nm, penetration 0.000004 m
evaluation 790: speed 0.087438, force 0.0762 N, moment 0.0246 Nm, torque margin -0.0787 Nm, penetration 0.000004 m
evaluation 800: speed 0.087438, force 0.0762 N, moment 0.0246 Nm, torque margin -0.0787 Nm, penetration 0.000004 m
evaluation 810: speed 0.087438, force 0.0760 N, moment 0.0246 Nm, torque margin -0.0787 Nm, penetration 0.000004 m
evaluation 820: speed 0.087438, force 0.0762 N, moment 0.0246 Nm, torque margin -0.0787 Nm, penetration 0.000004 m
evaluation 830: speed 0.087438, force 0.0765 N, moment 0.0247 Nm, torque margin -0.0787 Nm, penetration 0.000004 m
evaluation 840: speed 0.087438, force 0.0762 N, moment 0.0246 Nm, torque margin -0.0787 Nm, penetration 0.000004 m
evaluation 850: speed 0.086789, force 0.0748 N, moment 0.0242 Nm, torque margin -0.0780 Nm, penetration 0.000004 m
evaluation 860: speed 0.086789, force 0.0748 N, moment 0.0241 Nm, torque margin -0.0780 Nm, penetration 0.000004 m
evaluation 870: speed 0.086789, force 0.0748 N, moment 0.0241 Nm, torque margin -0.0780 Nm, penetration 0.000004 m
evaluation 880: speed 0.086789, force 0.0747 N, moment 0.0241 Nm, torque margin -0.0780 Nm, penetration 0.000004 m
evaluation 890: speed 0.086789, force 0.0748 N, moment 0.0241 Nm, torque margin -0.0780 Nm, penetration 0.000004 m
evaluation 900: speed 0.086789, force 0.0748 N, moment 0.0241 Nm, torque margin -0.0780 Nm, penetration 0.000004 m
evaluation 910: speed 0.086789, force 0.0748 N, moment 0.0241 Nm, torque margin -0.0780 Nm, penetration 0.000004 m
evaluation 920: speed 0.086789, force 0.0748 N, moment 0.0241 Nm, torque margin -0.0780 Nm, penetration 0.000004 m
evaluation 930: speed 0.086789, force 0.0748 N, moment 0.0241 Nm, torque margin -0.0780 Nm, penetration 0.000004 m
evaluation 940: speed 0.086789, force 0.0746 N, moment 0.0241 Nm, torque margin -0.0780 Nm, penetration 0.000004 m
evaluation 950: speed 0.086789, force 0.0748 N, moment 0.0241 Nm, torque margin -0.0780 Nm, penetration 0.000004 m
evaluation 960: speed 0.086014, force 0.0730 N, moment 0.0236 Nm, torque margin -0.0774 Nm, penetration 0.000004 m
evaluation 970: speed 0.086014, force 0.0730 N, moment 0.0236 Nm, torque margin -0.0774 Nm, penetration 0.000004 m
evaluation 980: speed 0.086014, force 0.0730 N, moment 0.0236 Nm, torque margin -0.0774 Nm, penetration 0.000004 m
evaluation 990: speed 0.086014, force 0.0730 N, moment 0.0236 Nm, torque margin -0.0774 Nm, penetration 0.000004 m
evaluation 1000: speed 0.086014, force 0.0730 N, moment 0.0236 Nm, torque margin -0.0774 Nm, penetration 0.000004 m
evaluation 1010: speed 0.086014, force 0.0730 N, moment 0.0236 Nm, torque margin -0.0774 Nm, penetration 0.000004 m
evaluation 1020: speed 0.086014, force 0.0732 N, moment 0.0236 Nm, torque margin -0.0774 Nm, penetration 0.000004 m
evaluation 1030: speed 0.086014, force 0.0730 N, moment 0.0236 Nm, torque margin -0.0774 Nm, penetration 0.000004 m
evaluation 1040: speed 0.086014, force 0.0727 N, moment 0.0235 Nm, torque margin -0.0774 Nm, penetration 0.000004 m
evaluation 1050: speed 0.086014, force 0.0730 N, moment 0.0236 Nm, torque margin -0.0774 Nm, penetration 0.000004 m
evaluation 1060: speed 0.084138, force 0.0683 N, moment 0.0221 Nm, torque margin -0.0755 Nm, penetration 0.000004 m
evaluation 1070: speed 0.084127, force 0.0683 N, moment 0.0221 Nm, torque margin -0.0755 Nm, penetration 0.000003 m
evaluation 1080: speed 0.084127, force 0.0683 N, moment 0.0221 Nm, torque margin -0.0755 Nm, penetration 0.000003 m
evaluation 1090: speed 0.084127, force 0.0684 N, moment 0.0221 Nm, torque margin -0.0755 Nm, penetration 0.000003 m
evaluation 1100: speed 0.084127, force 0.0683 N, moment 0.0221 Nm, torque margin -0.0755 Nm, penetration 0.000003 m
evaluation 1110: speed 0.084127, force 0.0683 N, moment 0.0221 Nm, torque margin -0.0755 Nm, penetration 0.000003 m
