evaluation 530: speed 0.074317, force 0.0385 N, moment 0.0125 Nm, torque margin -0.0019 Nm, penetration 0.000013 m
evaluation 540: speed 0.074310, force 0.0386 N, moment 0.0125 Nm, torque margin -0.0017 Nm, penetration 0.000013 m
evaluation 550: speed 0.074310, force 0.0386 N, moment 0.0125 Nm, torque margin -0.0017 Nm, penetration 0.000013 m
evaluation 560: speed 0.074310, force 0.0387 N, moment 0.0125 Nm, torque margin -0.0017 Nm, penetration 0.000013 m
evaluation 570: speed 0.074310, force 0.0386 N, moment 0.0125 Nm, torque margin -0.0017 Nm, penetration 0.000013 m
evaluation 580: speed 0.074310, force 0.0386 N, moment 0.0125 Nm, torque margin -0.0017 Nm, penetration 0.000013 m
evaluation 590: speed 0.074310, force 0.0386 N, moment 0.0125 Nm, torque margin -0.0017 Nm, penetration 0.000013 m
evaluation 600: speed 0.074310, force 0.0386 N, moment 0.0125 Nm, torque margin -0.0017 Nm, penetration 0.000013 m
evaluation 610: speed 0.074310, force 0.0382 N, moment 0.0124 Nm, torque margin -0.0017 Nm, penetration 0.000013 m
evaluation 620: speed 0.074310, force 0.0386 N, moment 0.0125 Nm, torque margin -0.0017 Nm, penetration 0.000013 m
evaluation 630: speed 0.074310, force 0.0387 N, moment 0.0125 Nm, torque margin -0.0017 Nm, penetration 0.000013 m
evaluation 640: speed 0.081208, force 0.0445 N, moment 0.0144 Nm, torque margin -0.0320 Nm, penetration 0.000018 m
evaluation 650: speed 0.081208, force 0.0445 N, moment 0.0144 Nm, torque margin -0.0320 Nm, penetration 0.000018 m
evaluation 660: speed 0.081208, force 0.0445 N, moment 0.0144 Nm, torque margin -0.0320 Nm, penetration 0.000018 m
evaluation 670: speed 0.081208, force 0.0445 N, moment 0.0144 Nm, torque margin -0.0320 Nm, penetration 0.000018 m
evaluation 680: speed 0.081208, force 0.0445 N, moment 0.0144 Nm, torque margin -0.0320 Nm, penetration 0.000018 m
evaluation 690: speed 0.081208, force 0.0445 N, moment 0.0144 Nm, torque margin -0.0320 Nm, penetration 0.000018 m
evaluation 700: speed 0.081208, force 0.0445 N, moment 0.0144 Nm, torque margin -0.0320 Nm, penetration 0.000018 m
evaluation 710: speed 0.081208, force 0.0445 N, moment 0.0144 Nm, torque margin -0.0320 Nm, penetration 0.000018 m
evaluation 720: speed 0.081208, force 0.0445 N, moment 0.0144 Nm, torque margin -0.0320 Nm, penetration 0.000018 m
evaluation 730: speed 0.081208, force 0.0445 N, moment 0.0144 Nm, torque margin -0.0320 Nm, penetration 0.000018 m
evaluation 740: speed 0.102018, force 0.0502 N, moment 0.0162 Nm, torque margin -0.0359 Nm, penetration 0.000025 m
evaluation 750: speed 0.102018, force 0.0502 N, moment 0.0162 Nm, torque margin -0.0360 Nm, penetration 0.000025 m
evaluation 760: speed 0.102018, force 0.0502 N, moment 0.0162 Nm, torque margin -0.0359 Nm, penetration 0.000025 m
evaluation 770: speed 0.102018, force 0.0502 N, moment 0.0162 Nm, torque margin -0.0359 Nm, penetration 0.000025 m
evaluation 780: speed 0.102018, force 0.0502 N, moment 0.0162 Nm, torque margin -0.0359 Nm, penetration 0.000025 m
evaluation 790: speed 0.102018, force 0.0502 N, moment 0.0162 Nm, torque margin -0.0359 Nm, penetration 0.000025 m
evaluation 800: speed 0.102018, force 0.0502 N, moment 0.0162 Nm, torque margin -0.0360 Nm, penetration 0.000025 m
evaluation 810: speed 0.102018, force 0.0502 N, moment 0.0162 Nm, torque margin -0.0360 Nm, penetration 0.000025 m
evaluation 820: speed 0.102018, force 0.0501 N, moment 0.0162 Nm, torque margin -0.0359 Nm, penetration 0.000025 m
evaluation 830: speed 0.102018, force 0.0502 N, moment 0.0162 Nm, torque margin -0.0360 Nm, penetration 0.000025 m
evaluation 840: speed 0.102018, force 0.0502 N, moment 0.0162 Nm, torque margin -0.0359 Nm, penetration 0.000025 m
evaluation 850: speed 0.148893, force 0.0702 N, moment 0.0228 Nm, torque margin -0.0324 Nm, penetration 0.000097 m
evaluation 860: speed 0.148907, force 0.0701 N, moment 0.0228 Nm, torque margin -0.0327 Nm, penetration 0.000097 m
evaluation 870: speed 0.148907, force 0.0701 N, moment 0.0228 Nm, torque margin -0.0327 Nm, penetration 0.000097 m
