evaluation 530: speed 0.026920, force 0.0030 N, moment 0.0010 Nm, torque margin 0.9024 Nm, penetration 0.000003 m
evaluation 540: speed 0.028524, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 550: speed 0.028524, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 560: speed 0.028524, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 570: speed 0.028524, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 580: speed 0.028524, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 590: speed 0.028524, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 600: speed 0.028524, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9058 Nm, penetration 0.000002 m
evaluation 610: speed 0.028524, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 620: speed 0.028524, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 630: speed 0.028524, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9059 Nm, penetration 0.000002 m
evaluation 640: speed 0.033196, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9081 Nm, penetration 0.000016 m
evaluation 650: speed 0.028966, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9053 Nm, penetration 0.000002 m
evaluation 660: speed 0.028966, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9053 Nm, penetration 0.000002 m
evaluation 670: speed 0.028966, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9053 Nm, penetration 0.000002 m
evaluation 680: speed 0.028966, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9053 Nm, penetration 0.000002 m
evaluation 690: speed 0.028966, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9052 Nm, penetration 0.000002 m
evaluation 700: speed 0.028966, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9053 Nm, penetration 0.000002 m
evaluation 710: speed 0.028966, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9053 Nm, penetration 0.000002 m
evaluation 720: speed 0.028966, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9052 Nm, penetration 0.000002 m
evaluation 730: speed 0.028966, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9053 Nm, penetration 0.000002 m
evaluation 740: speed 0.028966, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9052 Nm, penetration 0.000002 m
evaluation 750: speed 0.029469, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9065 Nm, penetration 0.000000 m
evaluation 760: speed 0.029471, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9065 Nm, penetration 0.000000 m
evaluation 770: speed 0.029471, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9065 Nm, penetration 0.000000 m
evaluation 780: speed 0.029471, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9065 Nm, penetration 0.000000 m
evaluation 790: speed 0.029471, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9064 Nm, penetration 0.000000 m
evaluation 800: speed 0.029471, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9065 Nm, penetration 0.000000 m
evaluation 810: speed 0.029471, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9064 Nm, penetration 0.000000 m
evaluation 820: speed 0.029471, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9065 Nm, penetration 0.000000 m
evaluation 830: speed 0.029471, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9064 Nm, penetration 0.000000 m
evaluation 840: speed 0.029471, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9064 Nm, penetration 0.000000 m
evaluation 850: speed 0.029471, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9065 Nm, penetration 0.000000 m
evaluation 860: speed 0.029647, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9067 Nm, penetration 0.000000 m
evaluation 870: speed 0.029638, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9067 Nm, penetration 0.000000 m
evaluation 880: speed 0.029638, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9067 Nm, penetration 0.000000 m
evaluation 890: speed 0.029638, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9067 Nm, penetration 0.000000 m
evaluation 900: speed 0.029638, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9067 Nm, penetration 0.000000 m
evaluation 910: speed 0.029638, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9067 Nm, penetration 0.000000 m
evaluation 920: speed 0.029638, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9067 Nm, penetration 0.000000 m
evaluation 930: speed 0.029638, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9067 Nm, penetration 0.000000 m
evaluation 940: speed 0.029638, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9067 Nm, penetration 0.000000 m
evaluation 950: speed 0.029638, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9067 Nm, penetration 0.000000 m
evaluation 960: speed 0.029638, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9066 Nm, penetration 0.000000 m
evaluation 970: speed 0.030127, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9073 Nm, penetration 0.000000 m
evaluation 980: speed 0.030127, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9073 Nm, penetration 0.000001 m
evaluation 990: speed 0.030127, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9073 Nm, penetration 0.000001 m
evaluation 1000: speed 0.030127, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9073 Nm, penetration 0.000001 m
evaluation 1010: speed 0.030127, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9073 Nm, penetration 0.000001 m
evaluation 1020: speed 0.030127, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9073 Nm, penetration 0.000001 m
evaluation 1030: speed 0.030127, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9073 Nm, penetration 0.000001 m
evaluation 1040: speed 0.030127, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9073 Nm, penetration 0.000001 m
evaluation 1050: speed 0.030127, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9073 Nm, penetration 0.000001 m
evaluation 1060: speed 0.030127, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9073 Nm, penetration 0.000001 m
evaluation 1070: speed 0.030607, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9079 Nm, penetration 0.000000 m
evaluation 1080: speed 0.030607, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9079 Nm, penetration 0.000000 m
evaluation 1090: speed 0.030607, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9079 Nm, penetration 0.000000 m
evaluation 1100: speed 0.030607, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9079 Nm, penetration 0.000000 m
evaluation 1110: speed 0.030607, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9079 Nm, penetration 0.000000 m
evaluation 1120: speed 0.030607, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9079 Nm, penetration 0.000000 m
evaluation 1130: speed 0.030607, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9079 Nm, penetration 0.000000 m
evaluation 1140: speed 0.030607, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9079 Nm, penetration 0.000000 m
evaluation 1150: speed 0.030607, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9079 Nm, penetration 0.000000 m
evaluation 1160: speed 0.030607, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9079 Nm, penetration 0.000000 m
evaluation 1170: speed 0.030607, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9080 Nm, penetration 0.000000 m
evaluation 1180: speed 0.030760, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9080 Nm, penetration 0.000000 m
evaluation 1190: speed 0.030762, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9080 Nm, penetration 0.000000 m
evaluation 1200: speed 0.030762, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9081 Nm, penetration 0.000000 m
evaluation 1210: speed 0.030762, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9080 Nm, penetration 0.000000 m
evaluation 1220: speed 0.030762, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9080 Nm, penetration 0.000000 m
evaluation 1230: speed 0.030762, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9080 Nm, penetration 0.000000 m
evaluation 1240: speed 0.030762, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9080 Nm, penetration 0.000000 m
evaluation 1250: speed 0.030762, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9080 Nm, penetration 0.000000 m
evaluation 1260: speed 0.030762, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9080 Nm, penetration 0.000000 m
evaluation 1270: speed 0.030762, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9080 Nm, penetration 0.000000 m
evaluation 1280: speed 0.030762, force 0.0022 N, moment 0.0007 Nm, torque margin 0.9080 Nm, penetration 0.000000 m
