evaluation 420: speed 0.110110, force 4.5944 N, moment 0.7312 Nm, torque 0.4042 Nm, cone 3.7401 N, maximum constraint 90.887924, feasible false
evaluation 430: speed 0.110110, force 4.5944 N, moment 0.7312 Nm, torque 0.4042 Nm, cone 3.7401 N, maximum constraint 90.887924, feasible false
evaluation 440: speed 0.110110, force 4.5944 N, moment 0.7312 Nm, torque 0.4042 Nm, cone 3.7401 N, maximum constraint 90.887924, feasible false
evaluation 450: speed 0.110110, force 4.5944 N, moment 0.7312 Nm, torque 0.4042 Nm, cone 3.7401 N, maximum constraint 90.887680, feasible false
evaluation 460: speed 0.110110, force 4.5944 N, moment 0.7312 Nm, torque 0.4043 Nm, cone 3.7401 N, maximum constraint 90.887717, feasible false
evaluation 470: speed 0.091626, force 4.5746 N, moment 0.4477 Nm, torque 0.0078 Nm, cone 0.8672 N, maximum constraint 90.491436, feasible false
evaluation 480: speed 0.091626, force 4.5763 N, moment 0.4465 Nm, torque 0.0085 Nm, cone 0.8672 N, maximum constraint 90.526192, feasible false
evaluation 490: speed 0.091626, force 4.5755 N, moment 0.4468 Nm, torque 0.0085 Nm, cone 0.8672 N, maximum constraint 90.509069, feasible false
evaluation 500: speed 0.091626, force 4.5755 N, moment 0.4467 Nm, torque 0.0085 Nm, cone 0.8672 N, maximum constraint 90.510995, feasible false
evaluation 510: speed 0.091626, force 4.5758 N, moment 0.4468 Nm, torque 0.0085 Nm, cone 0.8672 N, maximum constraint 90.515690, feasible false
evaluation 520: speed 0.091626, force 4.5755 N, moment 0.4467 Nm, torque 0.0085 Nm, cone 0.8672 N, maximum constraint 90.509069, feasible false
evaluation 530: speed 0.091626, force 4.5750 N, moment 0.4467 Nm, torque 0.0085 Nm, cone 0.8672 N, maximum constraint 90.499511, feasible false
evaluation 540: speed 0.091626, force 4.5755 N, moment 0.4467 Nm, torque 0.0085 Nm, cone 0.8672 N, maximum constraint 90.509069, feasible false
evaluation 550: speed 0.091626, force 4.5755 N, moment 0.4467 Nm, torque 0.0085 Nm, cone 0.8672 N, maximum constraint 90.509069, feasible false
evaluation 560: speed 0.091626, force 4.5755 N, moment 0.4467 Nm, torque 0.0085 Nm, cone 0.8672 N, maximum constraint 90.509069, feasible false
evaluation 570: speed 0.091626, force 4.5755 N, moment 0.4467 Nm, torque 0.0085 Nm, cone 0.8672 N, maximum constraint 90.509069, feasible false
evaluation 580: speed 0.091626, force 4.5755 N, moment 0.4467 Nm, torque 0.0086 Nm, cone 0.8672 N, maximum constraint 90.509069, feasible false
evaluation 590: speed 0.091626, force 4.5745 N, moment 0.4467 Nm, torque 0.0085 Nm, cone 0.8672 N, maximum constraint 90.490039, feasible false
evaluation 600: speed 0.091626, force 4.5736 N, moment 0.4467 Nm, torque 0.0086 Nm, cone 0.8672 N, maximum constraint 90.472584, feasible false
evaluation 610: speed 0.091626, force 4.5754 N, moment 0.4467 Nm, torque 0.0085 Nm, cone 0.8672 N, maximum constraint 90.507540, feasible false
evaluation 620: speed 0.067330, force 2.0354 N, moment 0.2547 Nm, torque 0.1662 Nm, cone 1.2073 N, maximum constraint 39.708937, feasible false
evaluation 630: speed 0.067330, force 2.0356 N, moment 0.2531 Nm, torque 0.1662 Nm, cone 1.2073 N, maximum constraint 39.712247, feasible false
evaluation 640: speed 0.067330, force 2.0353 N, moment 0.2547 Nm, torque 0.1662 Nm, cone 1.2073 N, maximum constraint 39.706844, feasible false
evaluation 650: speed 0.067330, force 2.0352 N, moment 0.2547 Nm, torque 0.1662 Nm, cone 1.2073 N, maximum constraint 39.703275, feasible false
evaluation 660: speed 0.067330, force 2.0353 N, moment 0.2547 Nm, torque 0.1662 Nm, cone 1.2073 N, maximum constraint 39.706660, feasible false
evaluation 670: speed 0.067330, force 2.0363 N, moment 0.2547 Nm, torque 0.1661 Nm, cone 1.2073 N, maximum constraint 39.725107, feasible false
evaluation 680: speed 0.067330, force 2.0354 N, moment 0.2547 Nm, torque 0.1662 Nm, cone 1.2073 N, maximum constraint 39.707691, feasible false
evaluation 690: speed 0.067330, force 2.0353 N, moment 0.2547 Nm, torque 0.1662 Nm, cone 1.2073 N, maximum constraint 39.706844, feasible false
evaluation 700: speed 0.067330, force 2.0353 N, moment 0.2547 Nm, torque 0.1662 Nm, cone 1.2073 N, maximum constraint 39.706844, feasible false
evaluation 710: speed 0.067330, force 2.0353 N, moment 0.2547 Nm, torque 0.1662 Nm, cone 1.2073 N, maximum constraint 39.706844, feasible false
evaluation 720: speed 0.067330, force 2.0353 N, moment 0.2547 Nm, torque 0.1662 Nm, cone 1.2073 N, maximum constraint 39.706844, feasible false
evaluation 730: speed 0.067330, force 2.0353 N, moment 0.2547 Nm, torque 0.1661 Nm, cone 1.2073 N, maximum constraint 39.706844, feasible false
evaluation 740: speed 0.067330, force 2.0344 N, moment 0.2547 Nm, torque 0.1661 Nm, cone 1.2073 N, maximum constraint 39.687794, feasible false
evaluation 750: speed 0.067330, force 2.0353 N, moment 0.2547 Nm, torque 0.1661 Nm, cone 1.2073 N, maximum constraint 39.706830, feasible false
evaluation 760: speed 0.067330, force 2.0354 N, moment 0.2547 Nm, torque 0.1661 Nm, cone 1.2073 N, maximum constraint 39.708247, feasible false
evaluation 770: speed 0.047162, force 1.8113 N, moment 0.2203 Nm, torque 0.0408 Nm, cone 0.6489 N, maximum constraint 35.225962, feasible false
evaluation 780: speed 0.047162, force 1.8116 N, moment 0.2222 Nm, torque 0.0406 Nm, cone 0.6489 N, maximum constraint 35.231151, feasible false
evaluation 790: speed 0.047162, force 1.8112 N, moment 0.2194 Nm, torque 0.0406 Nm, cone 0.6489 N, maximum constraint 35.224886, feasible false
evaluation 800: speed 0.047162, force 1.8112 N, moment 0.2194 Nm, torque 0.0406 Nm, cone 0.6489 N, maximum constraint 35.224932, feasible false
evaluation 810: speed 0.047162, force 1.8113 N, moment 0.2194 Nm, torque 0.0406 Nm, cone 0.6489 N, maximum constraint 35.225562, feasible false
evaluation 820: speed 0.047162, force 1.8113 N, moment 0.2194 Nm, torque 0.0406 Nm, cone 0.6489 N, maximum constraint 35.225235, feasible false
evaluation 830: speed 0.047162, force 1.8112 N, moment 0.2194 Nm, torque 0.0406 Nm, cone 0.6489 N, maximum constraint 35.224912, feasible false
evaluation 840: speed 0.047162, force 1.8112 N, moment 0.2193 Nm, torque 0.0406 Nm, cone 0.6489 N, maximum constraint 35.224912, feasible false
evaluation 850: speed 0.047162, force 1.8112 N, moment 0.2194 Nm, torque 0.0406 Nm, cone 0.6489 N, maximum constraint 35.224900, feasible false
evaluation 860: speed 0.047162, force 1.8240 N, moment 0.2194 Nm, torque 0.0406 Nm, cone 0.6489 N, maximum constraint 35.480101, feasible false
evaluation 870: speed 0.047162, force 1.8112 N, moment 0.2194 Nm, torque 0.0406 Nm, cone 0.6489 N, maximum constraint 35.224895, feasible false
evaluation 880: speed 0.047162, force 1.8112 N, moment 0.2194 Nm, torque 0.0406 Nm, cone 0.6489 N, maximum constraint 35.224912, feasible false
evaluation 890: speed 0.047162, force 1.8112 N, moment 0.2194 Nm, torque 0.0406 Nm, cone 0.6489 N, maximum constraint 35.224912, feasible false
