evaluation 420: speed 0.029945, force 9.0749 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.498252, feasible false
evaluation 430: speed 0.029945, force 9.0736 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.472919, feasible false
evaluation 440: speed 0.029945, force 9.0751 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.501554, feasible false
evaluation 450: speed 0.029945, force 9.0751 N, moment 0.3993 Nm, torque -0.5401 Nm, cone 0.3847 N, maximum constraint 180.501554, feasible false
evaluation 460: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381805, feasible false
evaluation 470: speed 0.032612, force 8.6191 N, moment 0.3191 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381802, feasible false
evaluation 480: speed 0.032612, force 8.6188 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.375012, feasible false
evaluation 490: speed 0.032612, force 8.6189 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.378501, feasible false
evaluation 500: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381805, feasible false
evaluation 510: speed 0.032612, force 8.6191 N, moment 0.3195 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.382176, feasible false
evaluation 520: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381805, feasible false
evaluation 530: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381805, feasible false
evaluation 540: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381798, feasible false
evaluation 550: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381792, feasible false
evaluation 560: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381304, feasible false
evaluation 570: speed 0.032612, force 8.6190 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.379241, feasible false
evaluation 580: speed 0.032612, force 8.6190 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.379668, feasible false
evaluation 590: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381805, feasible false
evaluation 600: speed 0.032612, force 8.6191 N, moment 0.3190 Nm, torque -0.3327 Nm, cone 0.4255 N, maximum constraint 171.381805, feasible false
evaluation 610: speed 0.032070, force 6.2393 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785140, feasible false
evaluation 620: speed 0.032070, force 6.2393 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785135, feasible false
evaluation 630: speed 0.032070, force 6.2390 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.779439, feasible false
evaluation 640: speed 0.032070, force 6.2391 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.782065, feasible false
evaluation 650: speed 0.032070, force 6.2393 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785140, feasible false
evaluation 660: speed 0.032070, force 6.2393 N, moment 0.4751 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785503, feasible false
evaluation 670: speed 0.032070, force 6.2393 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785140, feasible false
evaluation 680: speed 0.032070, force 6.2393 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785140, feasible false
evaluation 690: speed 0.032070, force 6.2393 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785133, feasible false
evaluation 700: speed 0.032070, force 6.2393 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785125, feasible false
evaluation 710: speed 0.032070, force 6.2392 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.784659, feasible false
evaluation 720: speed 0.032070, force 6.2391 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.782494, feasible false
evaluation 730: speed 0.032070, force 6.2391 N, moment 0.4746 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.782730, feasible false
evaluation 740: speed 0.032070, force 6.2393 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785140, feasible false
evaluation 750: speed 0.032070, force 6.2393 N, moment 0.4747 Nm, torque -0.3247 Nm, cone 0.3160 N, maximum constraint 123.785140, feasible false
evaluation 760: speed 0.028141, force 5.8055 N, moment 0.5395 Nm, torque -0.2195 Nm, cone 1.7358 N, maximum constraint 115.110646, feasible false
evaluation 770: speed 0.028141, force 5.8055 N, moment 0.5395 Nm, torque -0.2195 Nm, cone 1.7358 N, maximum constraint 115.110627, feasible false
evaluation 780: speed 0.028141, force 5.8054 N, moment 0.5395 Nm, torque -0.2195 Nm, cone 1.7358 N, maximum constraint 115.108103, feasible false
evaluation 790: speed 0.028141, force 5.8055 N, moment 0.5395 Nm, torque -0.2195 Nm, cone 1.7358 N, maximum constraint 115.109174, feasible false
evaluation 800: speed 0.028141, force 5.8055 N, moment 0.5395 Nm, torque -0.2195 Nm, cone 1.7358 N, maximum constraint 115.110646, feasible false
evaluation 810: speed 0.028141, force 5.8056 N, moment 0.5395 Nm, torque -0.2195 Nm, cone 1.7358 N, maximum constraint 115.111050, feasible false
evaluation 820: speed 0.028141, force 5.8055 N, moment 0.5395 Nm, torque -0.2195 Nm, cone 1.7358 N, maximum constraint 115.110646, feasible false
evaluation 830: speed 0.028141, force 5.8055 N, moment 0.5395 Nm, torque -0.2195 Nm, cone 1.7358 N, maximum constraint 115.110646, feasible false
evaluation 840: speed 0.028141, force 5.8055 N, moment 0.5395 Nm, torque -0.2195 Nm, cone 1.7358 N, maximum constraint 115.110646, feasible false
evaluation 850: speed 0.028141, force 5.8055 N, moment 0.5395 Nm, torque -0.2195 Nm, cone 1.7358 N, maximum constraint 115.110642, feasible false
evaluation 860: speed 0.028141, force 5.8055 N, moment 0.5395 Nm, torque -0.2195 Nm, cone 1.7358 N, maximum constraint 115.110049, feasible false
evaluation 870: speed 0.028141, force 5.8054 N, moment 0.5395 Nm, torque -0.2195 Nm, cone 1.7358 N, maximum constraint 115.107997, feasible false
evaluation 880: speed 0.028141, force 5.8054 N, moment 0.5395 Nm, torque -0.2195 Nm, cone 1.7358 N, maximum constraint 115.108347, feasible false
evaluation 890: speed 0.028141, force 5.8055 N, moment 0.5395 Nm, torque -0.2195 Nm, cone 1.7358 N, maximum constraint 115.110646, feasible false
evaluation 900: speed 0.028141, force 5.8055 N, moment 0.5395 Nm, torque -0.2195 Nm, cone 1.7358 N, maximum constraint 115.110646, feasible false
evaluation 910: speed 0.025000, force 3.0042 N, moment 0.4468 Nm, torque -0.0768 Nm, cone 0.2021 N, maximum constraint 59.084048, feasible false
evaluation 920: speed 0.025000, force 3.0042 N, moment 0.4468 Nm, torque -0.0768 Nm, cone 0.2021 N, maximum constraint 59.084048, feasible false
evaluation 930: speed 0.025000, force 3.0042 N, moment 0.4468 Nm, torque -0.0768 Nm, cone 0.2021 N, maximum constraint 59.084411, feasible false
evaluation 940: speed 0.025000, force 2.9986 N, moment 0.4466 Nm, torque -0.0768 Nm, cone 0.2021 N, maximum constraint 58.972833, feasible false
evaluation 950: speed 0.025000, force 3.0042 N, moment 0.4468 Nm, torque -0.0768 Nm, cone 0.2021 N, maximum constraint 59.084048, feasible false
evaluation 960: speed 0.025000, force 3.0042 N, moment 0.4468 Nm, torque -0.0768 Nm, cone 0.2021 N, maximum constraint 59.084048, feasible false
evaluation 970: speed 0.025000, force 3.0042 N, moment 0.4468 Nm, torque -0.0768 Nm, cone 0.2021 N, maximum constraint 59.084048, feasible false
evaluation 980: speed 0.025000, force 3.0042 N, moment 0.4468 Nm, torque -0.0768 Nm, cone 0.2021 N, maximum constraint 59.084048, feasible false
evaluation 990: speed 0.025000, force 3.0042 N, moment 0.4468 Nm, torque -0.0768 Nm, cone 0.2021 N, maximum constraint 59.084047, feasible false
evaluation 1000: speed 0.025000, force 3.0042 N, moment 0.4468 Nm, torque -0.0768 Nm, cone 0.2021 N, maximum constraint 59.084073, feasible false
evaluation 1010: speed 0.025000, force 3.0042 N, moment 0.4468 Nm, torque -0.0768 Nm, cone 0.2021 N, maximum constraint 59.084211, feasible false
evaluation 1020: speed 0.025000, force 3.0042 N, moment 0.4468 Nm, torque -0.0768 Nm, cone 0.2021 N, maximum constraint 59.083957, feasible false
