evaluation 420: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699113, feasible false
evaluation 430: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699122, feasible false
evaluation 440: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699080, feasible false
evaluation 450: speed 0.165504, force 13.9915 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.829207, feasible false
evaluation 460: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 470: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 480: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 490: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 500: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 510: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 520: speed 0.165504, force 13.9850 N, moment 1.7183 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 530: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 540: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 550: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 560: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 570: speed 0.165504, force 13.9915 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.829207, feasible false
evaluation 580: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 590: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 600: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 610: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 620: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 630: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 640: speed 0.165504, force 13.9850 N, moment 1.7183 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 650: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 660: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 670: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 680: speed 0.165504, force 13.9850 N, moment 1.7179 Nm, torque -0.9052 Nm, cone 9.6721 N, maximum constraint 278.699124, feasible false
evaluation 690: speed 0.102207, force 6.5518 N, moment 1.0854 Nm, torque -0.3499 Nm, cone 5.2327 N, maximum constraint 130.036229, feasible false
evaluation 700: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 710: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3500 Nm, cone 5.2327 N, maximum constraint 130.039652, feasible false
evaluation 720: speed 0.102217, force 6.5524 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.048363, feasible false
evaluation 730: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 740: speed 0.102217, force 6.5523 N, moment 1.0857 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.045371, feasible false
evaluation 750: speed 0.102217, force 6.5517 N, moment 1.0857 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.034320, feasible false
evaluation 760: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040042, feasible false
evaluation 770: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040092, feasible false
evaluation 780: speed 0.102217, force 6.5522 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.044862, feasible false
evaluation 790: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 800: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 810: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 820: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 830: speed 0.102217, force 6.5546 N, moment 1.0855 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.092769, feasible false
evaluation 840: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 850: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 860: speed 0.102217, force 6.5528 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.055511, feasible false
evaluation 870: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 880: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 890: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 900: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 910: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 920: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 930: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 940: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 950: speed 0.102217, force 6.5556 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.111206, feasible false
