evaluation 530: speed 0.186836, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 540: speed 0.186861, force 0.0579 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 550: speed 0.186861, force 0.0579 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 560: speed 0.186861, force 0.0578 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 570: speed 0.186861, force 0.0579 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 580: speed 0.186861, force 0.0579 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 590: speed 0.186861, force 0.0579 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 600: speed 0.186861, force 0.0579 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 610: speed 0.186861, force 0.0574 N, moment 0.0186 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 620: speed 0.186861, force 0.0579 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 630: speed 0.186861, force 0.0579 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 640: speed 0.186747, force 0.0614 N, moment 0.0199 Nm, torque margin -0.0093 Nm, penetration 0.000040 m
evaluation 650: speed 0.186747, force 0.0611 N, moment 0.0198 Nm, torque margin -0.0093 Nm, penetration 0.000040 m
evaluation 660: speed 0.186747, force 0.0613 N, moment 0.0199 Nm, torque margin -0.0093 Nm, penetration 0.000040 m
evaluation 670: speed 0.186747, force 0.0613 N, moment 0.0199 Nm, torque margin -0.0093 Nm, penetration 0.000040 m
evaluation 680: speed 0.186747, force 0.0613 N, moment 0.0199 Nm, torque margin -0.0093 Nm, penetration 0.000040 m
