evaluation 420: speed 0.064338, force 2.2192 N, moment 0.5320 Nm, torque -0.2251 Nm, cone 5.3364 N, maximum constraint 106.728911, feasible false
evaluation 430: speed 0.064347, force 2.2153 N, moment 0.5321 Nm, torque -0.2252 Nm, cone 5.3364 N, maximum constraint 106.728911, feasible false
evaluation 440: speed 0.064347, force 2.2155 N, moment 0.5320 Nm, torque -0.2254 Nm, cone 5.3364 N, maximum constraint 106.728911, feasible false
evaluation 450: speed 0.064347, force 2.2152 N, moment 0.5317 Nm, torque -0.2252 Nm, cone 5.3364 N, maximum constraint 106.728911, feasible false
evaluation 460: speed 0.064347, force 2.2152 N, moment 0.5321 Nm, torque -0.2252 Nm, cone 5.3364 N, maximum constraint 106.728911, feasible false
evaluation 470: speed 0.064347, force 2.2152 N, moment 0.5318 Nm, torque -0.2252 Nm, cone 5.3364 N, maximum constraint 106.728911, feasible false
evaluation 480: speed 0.064347, force 2.2147 N, moment 0.5321 Nm, torque -0.2252 Nm, cone 5.3364 N, maximum constraint 106.728911, feasible false
evaluation 490: speed 0.064347, force 2.2152 N, moment 0.5321 Nm, torque -0.2252 Nm, cone 5.3364 N, maximum constraint 106.728911, feasible false
evaluation 500: speed 0.064347, force 2.2154 N, moment 0.5321 Nm, torque -0.2252 Nm, cone 5.3364 N, maximum constraint 106.728911, feasible false
evaluation 510: speed 0.064347, force 2.2153 N, moment 0.5321 Nm, torque -0.2252 Nm, cone 5.3364 N, maximum constraint 106.728911, feasible false
evaluation 520: speed 0.064347, force 2.2153 N, moment 0.5321 Nm, torque -0.2252 Nm, cone 5.3364 N, maximum constraint 106.728911, feasible false
evaluation 530: speed 0.061407, force 1.5721 N, moment 0.5721 Nm, torque -0.2011 Nm, cone 5.0909 N, maximum constraint 101.818657, feasible false
evaluation 540: speed 0.061407, force 1.5741 N, moment 0.5722 Nm, torque -0.2001 Nm, cone 5.0909 N, maximum constraint 101.818657, feasible false
evaluation 550: speed 0.061407, force 1.5711 N, moment 0.5722 Nm, torque -0.2011 Nm, cone 5.0909 N, maximum constraint 101.818657, feasible false
evaluation 560: speed 0.061407, force 1.5729 N, moment 0.5721 Nm, torque -0.2011 Nm, cone 5.0909 N, maximum constraint 101.818657, feasible false
evaluation 570: speed 0.061407, force 1.5714 N, moment 0.5726 Nm, torque -0.2011 Nm, cone 5.0909 N, maximum constraint 101.818657, feasible false
evaluation 580: speed 0.061407, force 1.5726 N, moment 0.5721 Nm, torque -0.2011 Nm, cone 5.0909 N, maximum constraint 101.818657, feasible false
evaluation 590: speed 0.061407, force 1.5727 N, moment 0.5721 Nm, torque -0.2013 Nm, cone 5.0909 N, maximum constraint 101.818657, feasible false
evaluation 600: speed 0.061407, force 1.5722 N, moment 0.5722 Nm, torque -0.2011 Nm, cone 5.0909 N, maximum constraint 101.818657, feasible false
evaluation 610: speed 0.061407, force 1.5733 N, moment 0.5721 Nm, torque -0.2011 Nm, cone 5.0909 N, maximum constraint 101.818657, feasible false
evaluation 620: speed 0.061407, force 1.5726 N, moment 0.5721 Nm, torque -0.2011 Nm, cone 5.0909 N, maximum constraint 101.818657, feasible false
evaluation 630: speed 0.060685, force 1.1795 N, moment 0.5853 Nm, torque -0.1971 Nm, cone 5.0784 N, maximum constraint 101.567853, feasible false
evaluation 640: speed 0.060685, force 1.1797 N, moment 0.5848 Nm, torque -0.1971 Nm, cone 5.0784 N, maximum constraint 101.567853, feasible false
evaluation 650: speed 0.060685, force 1.1788 N, moment 0.5853 Nm, torque -0.1971 Nm, cone 5.0784 N, maximum constraint 101.567853, feasible false
evaluation 660: speed 0.060685, force 1.1795 N, moment 0.5853 Nm, torque -0.1971 Nm, cone 5.0784 N, maximum constraint 101.567853, feasible false
evaluation 670: speed 0.060685, force 1.1794 N, moment 0.5853 Nm, torque -0.1971 Nm, cone 5.0784 N, maximum constraint 101.567853, feasible false
evaluation 680: speed 0.060685, force 1.1791 N, moment 0.5852 Nm, torque -0.1971 Nm, cone 5.0784 N, maximum constraint 101.567853, feasible false
evaluation 690: speed 0.060685, force 1.1795 N, moment 0.5853 Nm, torque -0.1971 Nm, cone 5.0784 N, maximum constraint 101.567853, feasible false
evaluation 700: speed 0.060685, force 1.1795 N, moment 0.5853 Nm, torque -0.1971 Nm, cone 5.0784 N, maximum constraint 101.567853, feasible false
