evaluation 530: speed 0.130966, force 9.8291 N, moment 4.7177 Nm, torque margin -0.2622 Nm, penetration 0.000496 m
evaluation 540: speed 0.130966, force 9.8294 N, moment 4.7178 Nm, torque margin -0.2622 Nm, penetration 0.000496 m
evaluation 550: speed 0.130966, force 9.8294 N, moment 4.7178 Nm, torque margin -0.2622 Nm, penetration 0.000496 m
evaluation 560: speed 0.130966, force 9.8293 N, moment 4.7177 Nm, torque margin -0.2622 Nm, penetration 0.000496 m
evaluation 570: speed 0.130966, force 9.8294 N, moment 4.7178 Nm, torque margin -0.2622 Nm, penetration 0.000496 m
evaluation 580: speed 0.130966, force 9.8296 N, moment 4.7177 Nm, torque margin -0.2622 Nm, penetration 0.000496 m
evaluation 590: speed 0.130966, force 9.8294 N, moment 4.7177 Nm, torque margin -0.2622 Nm, penetration 0.000496 m
evaluation 600: speed 0.130966, force 9.8294 N, moment 4.7178 Nm, torque margin -0.2621 Nm, penetration 0.000496 m
evaluation 610: speed 0.130966, force 9.8294 N, moment 4.7178 Nm, torque margin -0.2622 Nm, penetration 0.000496 m
evaluation 620: speed 0.130966, force 9.8294 N, moment 4.7178 Nm, torque margin -0.2622 Nm, penetration 0.000496 m
evaluation 630: speed 0.131091, force 9.8066 N, moment 4.7119 Nm, torque margin -0.2633 Nm, penetration 0.000493 m
evaluation 640: speed 0.131091, force 9.8056 N, moment 4.7117 Nm, torque margin -0.2633 Nm, penetration 0.000493 m
evaluation 650: speed 0.131091, force 9.8066 N, moment 4.7119 Nm, torque margin -0.2633 Nm, penetration 0.000493 m
evaluation 660: speed 0.131091, force 9.8066 N, moment 4.7119 Nm, torque margin -0.2633 Nm, penetration 0.000493 m
evaluation 670: speed 0.131091, force 9.8067 N, moment 4.7120 Nm, torque margin -0.2633 Nm, penetration 0.000493 m
evaluation 680: speed 0.131091, force 9.8066 N, moment 4.7119 Nm, torque margin -0.2633 Nm, penetration 0.000493 m
evaluation 690: speed 0.131091, force 9.8066 N, moment 4.7119 Nm, torque margin -0.2633 Nm, penetration 0.000493 m
