evaluation 420: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 430: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5388 Nm, cone 3.9058 N, maximum constraint 464.446600, feasible false
evaluation 440: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 450: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 460: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5391 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 470: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 480: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 490: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 500: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 510: speed 0.137057, force 23.2723 N, moment 1.5118 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446570, feasible false
evaluation 520: speed 0.137057, force 23.2747 N, moment 1.5116 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.494421, feasible false
evaluation 530: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 540: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446782, feasible false
evaluation 550: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 560: speed 0.137057, force 23.2724 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.447370, feasible false
evaluation 570: speed 0.137057, force 23.2723 N, moment 1.5118 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446539, feasible false
evaluation 580: speed 0.137057, force 23.2723 N, moment 1.5118 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 590: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446549, feasible false
evaluation 600: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 610: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 620: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 630: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9059 N, maximum constraint 464.446566, feasible false
evaluation 640: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 650: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 660: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 670: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 680: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 690: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 700: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 710: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 720: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 730: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 740: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 750: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9059 N, maximum constraint 464.446566, feasible false
evaluation 760: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 770: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 780: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 790: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 800: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 810: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 820: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 830: speed 0.137057, force 23.2723 N, moment 1.5119 Nm, torque -0.5387 Nm, cone 3.9058 N, maximum constraint 464.446566, feasible false
evaluation 840: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 850: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437551, feasible false
evaluation 860: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437519, feasible false
evaluation 870: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437552, feasible false
evaluation 880: speed 0.097947, force 13.3218 N, moment 1.5102 Nm, torque -1.1808 Nm, cone 8.3389 N, maximum constraint 265.436724, feasible false
evaluation 890: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1810 Nm, cone 8.3389 N, maximum constraint 265.437501, feasible false
evaluation 900: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1810 Nm, cone 8.3389 N, maximum constraint 265.437172, feasible false
evaluation 910: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 920: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 930: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 940: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 950: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 960: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 970: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 980: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 990: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1000: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1010: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437502, feasible false
evaluation 1020: speed 0.097947, force 13.3256 N, moment 1.5103 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.512486, feasible false
evaluation 1030: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1810 Nm, cone 8.3389 N, maximum constraint 265.437138, feasible false
evaluation 1040: speed 0.097947, force 13.3254 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.508631, feasible false
evaluation 1050: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437535, feasible false
evaluation 1060: speed 0.097947, force 13.3216 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.432292, feasible false
evaluation 1070: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437500, feasible false
evaluation 1080: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1090: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1100: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1110: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1120: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1130: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1140: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1150: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1811 Nm, cone 8.3376 N, maximum constraint 265.437529, feasible false
evaluation 1160: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1170: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1180: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1190: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1200: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1210: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1220: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1230: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1240: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1250: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1260: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1270: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1280: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1290: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1300: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1310: speed 0.097947, force 13.3219 N, moment 1.5102 Nm, torque -1.1809 Nm, cone 8.3389 N, maximum constraint 265.437529, feasible false
evaluation 1320: speed 0.078258, force 6.9136 N, moment 1.5284 Nm, torque -0.2403 Nm, cone 10.0145 N, maximum constraint 200.289242, feasible false
evaluation 1330: speed 0.078253, force 6.9137 N, moment 1.5284 Nm, torque -0.2401 Nm, cone 10.0145 N, maximum constraint 200.289242, feasible false
evaluation 1340: speed 0.078253, force 6.9137 N, moment 1.5284 Nm, torque -0.2400 Nm, cone 10.0145 N, maximum constraint 200.289242, feasible false
evaluation 1350: speed 0.078253, force 6.9137 N, moment 1.5283 Nm, torque -0.2401 Nm, cone 10.0145 N, maximum constraint 200.289242, feasible false
evaluation 1360: speed 0.078253, force 6.9137 N, moment 1.5284 Nm, torque -0.2401 Nm, cone 10.0145 N, maximum constraint 200.289242, feasible false
evaluation 1370: speed 0.078253, force 6.9138 N, moment 1.5284 Nm, torque -0.2401 Nm, cone 10.0145 N, maximum constraint 200.289242, feasible false
evaluation 1380: speed 0.078253, force 6.9135 N, moment 1.5284 Nm, torque -0.2401 Nm, cone 10.0145 N, maximum constraint 200.289242, feasible false
evaluation 1390: speed 0.078253, force 6.9137 N, moment 1.5284 Nm, torque -0.2400 Nm, cone 10.0145 N, maximum constraint 200.289242, feasible false
evaluation 1400: speed 0.078253, force 6.9137 N, moment 1.5284 Nm, torque -0.2401 Nm, cone 10.0145 N, maximum constraint 200.289242, feasible false
