evaluation 420: speed 0.099003, force 3.8819 N, moment 0.6712 Nm, torque 0.2489 Nm, cone 3.1020 N, maximum constraint 76.638857, feasible false
evaluation 430: speed 0.099003, force 3.8819 N, moment 0.6712 Nm, torque 0.2489 Nm, cone 3.1020 N, maximum constraint 76.638857, feasible false
evaluation 440: speed 0.099003, force 3.8819 N, moment 0.6712 Nm, torque 0.2489 Nm, cone 3.1020 N, maximum constraint 76.638857, feasible false
evaluation 450: speed 0.099003, force 3.8821 N, moment 0.6712 Nm, torque 0.2489 Nm, cone 3.1020 N, maximum constraint 76.641427, feasible false
evaluation 460: speed 0.099003, force 3.8820 N, moment 0.6712 Nm, torque 0.2489 Nm, cone 3.1020 N, maximum constraint 76.639827, feasible false
evaluation 470: speed 0.063976, force 2.5239 N, moment 0.3965 Nm, torque 0.4518 Nm, cone 1.2903 N, maximum constraint 49.478413, feasible false
evaluation 480: speed 0.063976, force 2.5236 N, moment 0.3965 Nm, torque 0.4518 Nm, cone 1.2903 N, maximum constraint 49.471887, feasible false
evaluation 490: speed 0.063976, force 2.5236 N, moment 0.3965 Nm, torque 0.4518 Nm, cone 1.2903 N, maximum constraint 49.471957, feasible false
evaluation 500: speed 0.063976, force 2.5236 N, moment 0.3975 Nm, torque 0.4518 Nm, cone 1.2903 N, maximum constraint 49.472696, feasible false
evaluation 510: speed 0.063976, force 2.5236 N, moment 0.3965 Nm, torque 0.4512 Nm, cone 1.2903 N, maximum constraint 49.472001, feasible false
evaluation 520: speed 0.063976, force 2.5236 N, moment 0.3965 Nm, torque 0.4518 Nm, cone 1.2903 N, maximum constraint 49.471957, feasible false
evaluation 530: speed 0.063976, force 2.5235 N, moment 0.3965 Nm, torque 0.4519 Nm, cone 1.2903 N, maximum constraint 49.470889, feasible false
evaluation 540: speed 0.063976, force 2.5236 N, moment 0.3965 Nm, torque 0.4520 Nm, cone 1.2903 N, maximum constraint 49.472405, feasible false
evaluation 550: speed 0.063976, force 2.5236 N, moment 0.3966 Nm, torque 0.4513 Nm, cone 1.2903 N, maximum constraint 49.471957, feasible false
evaluation 560: speed 0.063976, force 2.5236 N, moment 0.3965 Nm, torque 0.4518 Nm, cone 1.2903 N, maximum constraint 49.471957, feasible false
evaluation 570: speed 0.063976, force 2.5236 N, moment 0.3965 Nm, torque 0.4518 Nm, cone 1.2903 N, maximum constraint 49.471957, feasible false
evaluation 580: speed 0.063976, force 2.5236 N, moment 0.3965 Nm, torque 0.4518 Nm, cone 1.2903 N, maximum constraint 49.471957, feasible false
evaluation 590: speed 0.063976, force 2.5236 N, moment 0.3965 Nm, torque 0.4518 Nm, cone 1.2903 N, maximum constraint 49.471957, feasible false
evaluation 600: speed 0.063976, force 2.5236 N, moment 0.3965 Nm, torque 0.4518 Nm, cone 1.2903 N, maximum constraint 49.471471, feasible false
evaluation 610: speed 0.063976, force 2.5237 N, moment 0.3965 Nm, torque 0.4518 Nm, cone 1.2903 N, maximum constraint 49.474640, feasible false
evaluation 620: speed 0.036025, force 1.7117 N, moment 0.1883 Nm, torque 0.5141 Nm, cone 2.1484 N, maximum constraint 42.967254, feasible false
evaluation 630: speed 0.036040, force 1.7120 N, moment 0.1883 Nm, torque 0.5141 Nm, cone 2.1484 N, maximum constraint 42.967254, feasible false
evaluation 640: speed 0.036040, force 1.7117 N, moment 0.1883 Nm, torque 0.5141 Nm, cone 2.1484 N, maximum constraint 42.967254, feasible false
evaluation 650: speed 0.036040, force 1.7120 N, moment 0.1883 Nm, torque 0.5141 Nm, cone 2.1484 N, maximum constraint 42.967254, feasible false
evaluation 660: speed 0.036040, force 1.7120 N, moment 0.1883 Nm, torque 0.5141 Nm, cone 2.1484 N, maximum constraint 42.967254, feasible false
evaluation 670: speed 0.036040, force 1.7120 N, moment 0.1883 Nm, torque 0.5141 Nm, cone 2.1484 N, maximum constraint 42.967254, feasible false
evaluation 680: speed 0.036040, force 1.7119 N, moment 0.1883 Nm, torque 0.5147 Nm, cone 2.1484 N, maximum constraint 42.967254, feasible false
