evaluation 420: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827032, feasible false
evaluation 430: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 440: speed 0.144785, force 13.5414 N, moment 1.3887 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 450: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827023, feasible false
evaluation 460: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 470: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 480: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 490: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 500: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 510: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 520: speed 0.144785, force 13.5414 N, moment 1.3899 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 530: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 540: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 550: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 560: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 570: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 580: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 590: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 600: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 610: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 620: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 630: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 640: speed 0.144785, force 13.5414 N, moment 1.3899 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 650: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 660: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 670: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 680: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 690: speed 0.144785, force 13.5414 N, moment 1.3886 Nm, torque -0.3177 Nm, cone 0.5350 N, maximum constraint 269.827099, feasible false
evaluation 700: speed 0.056769, force 5.2558 N, moment 0.4498 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.116445, feasible false
evaluation 710: speed 0.056769, force 5.2448 N, moment 0.4499 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 103.895305, feasible false
evaluation 720: speed 0.056769, force 5.2558 N, moment 0.4496 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 730: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 740: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115876, feasible false
evaluation 750: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115999, feasible false
evaluation 760: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115971, feasible false
evaluation 770: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 780: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.116039, feasible false
evaluation 790: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 800: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 810: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 820: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 830: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 840: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 850: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 860: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 870: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 880: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 890: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 900: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 910: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 920: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 930: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 940: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 950: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 960: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 970: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 980: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 990: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 1000: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 1010: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 1020: speed 0.056769, force 5.2558 N, moment 0.4495 Nm, torque -0.2708 Nm, cone 2.4180 N, maximum constraint 104.115990, feasible false
evaluation 1030: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1040: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1050: speed 0.025000, force 2.0985 N, moment 0.7196 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.970309, feasible false
evaluation 1060: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969569, feasible false
evaluation 1070: speed 0.025000, force 2.0985 N, moment 0.7204 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969437, feasible false
evaluation 1080: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1090: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969563, feasible false
evaluation 1100: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969569, feasible false
