evaluation 530: speed 0.075965, force 0.0520 N, moment 0.0168 Nm, torque margin -0.0849 Nm, penetration 0.000028 m
evaluation 540: speed 0.076777, force 0.0526 N, moment 0.0170 Nm, torque margin -0.0854 Nm, penetration 0.000028 m
evaluation 550: speed 0.076777, force 0.0538 N, moment 0.0174 Nm, torque margin -0.0854 Nm, penetration 0.000028 m
evaluation 560: speed 0.076777, force 0.0527 N, moment 0.0171 Nm, torque margin -0.0854 Nm, penetration 0.000028 m
evaluation 570: speed 0.076777, force 0.0527 N, moment 0.0171 Nm, torque margin -0.0854 Nm, penetration 0.000028 m
evaluation 580: speed 0.076777, force 0.0527 N, moment 0.0171 Nm, torque margin -0.0854 Nm, penetration 0.000028 m
evaluation 590: speed 0.076777, force 0.0527 N, moment 0.0171 Nm, torque margin -0.0854 Nm, penetration 0.000028 m
evaluation 600: speed 0.076777, force 0.0527 N, moment 0.0171 Nm, torque margin -0.0854 Nm, penetration 0.000028 m
evaluation 610: speed 0.076777, force 0.0528 N, moment 0.0171 Nm, torque margin -0.0854 Nm, penetration 0.000028 m
evaluation 620: speed 0.076777, force 0.0527 N, moment 0.0171 Nm, torque margin -0.0854 Nm, penetration 0.000028 m
evaluation 630: speed 0.076777, force 0.0527 N, moment 0.0171 Nm, torque margin -0.0854 Nm, penetration 0.000028 m
evaluation 640: speed 0.077030, force 0.0528 N, moment 0.0171 Nm, torque margin -0.0855 Nm, penetration 0.000027 m
evaluation 650: speed 0.077023, force 0.0529 N, moment 0.0171 Nm, torque margin -0.0855 Nm, penetration 0.000027 m
evaluation 660: speed 0.077023, force 0.0529 N, moment 0.0171 Nm, torque margin -0.0855 Nm, penetration 0.000027 m
evaluation 670: speed 0.077023, force 0.0528 N, moment 0.0171 Nm, torque margin -0.0855 Nm, penetration 0.000027 m
evaluation 680: speed 0.077023, force 0.0529 N, moment 0.0171 Nm, torque margin -0.0855 Nm, penetration 0.000027 m
evaluation 690: speed 0.077023, force 0.0529 N, moment 0.0171 Nm, torque margin -0.0855 Nm, penetration 0.000027 m
evaluation 700: speed 0.077023, force 0.0529 N, moment 0.0171 Nm, torque margin -0.0855 Nm, penetration 0.000027 m
evaluation 710: speed 0.077023, force 0.0528 N, moment 0.0171 Nm, torque margin -0.0855 Nm, penetration 0.000027 m
evaluation 720: speed 0.077023, force 0.0529 N, moment 0.0171 Nm, torque margin -0.0855 Nm, penetration 0.000027 m
evaluation 730: speed 0.077023, force 0.0531 N, moment 0.0172 Nm, torque margin -0.0855 Nm, penetration 0.000027 m
evaluation 740: speed 0.077023, force 0.0529 N, moment 0.0171 Nm, torque margin -0.0855 Nm, penetration 0.000027 m
evaluation 750: speed 0.077764, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0861 Nm, penetration 0.000027 m
evaluation 760: speed 0.077764, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0860 Nm, penetration 0.000027 m
evaluation 770: speed 0.077764, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0860 Nm, penetration 0.000027 m
evaluation 780: speed 0.077764, force 0.0535 N, moment 0.0173 Nm, torque margin -0.0860 Nm, penetration 0.000027 m
evaluation 790: speed 0.077764, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0860 Nm, penetration 0.000027 m
evaluation 800: speed 0.077764, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0860 Nm, penetration 0.000027 m
evaluation 810: speed 0.077764, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0860 Nm, penetration 0.000027 m
evaluation 820: speed 0.077764, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0860 Nm, penetration 0.000027 m
evaluation 830: speed 0.077764, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0860 Nm, penetration 0.000027 m
evaluation 840: speed 0.077764, force 0.0535 N, moment 0.0173 Nm, torque margin -0.0860 Nm, penetration 0.000027 m
evaluation 850: speed 0.077764, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0860 Nm, penetration 0.000027 m
evaluation 860: speed 0.077981, force 0.0535 N, moment 0.0173 Nm, torque margin -0.0862 Nm, penetration 0.000027 m
evaluation 870: speed 0.077981, force 0.0547 N, moment 0.0177 Nm, torque margin -0.0862 Nm, penetration 0.000027 m
evaluation 880: speed 0.077981, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0862 Nm, penetration 0.000027 m
evaluation 890: speed 0.077981, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0862 Nm, penetration 0.000027 m
evaluation 900: speed 0.077981, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0862 Nm, penetration 0.000027 m
evaluation 910: speed 0.077981, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0862 Nm, penetration 0.000027 m
