evaluation 530: speed 0.034773, force 4.6533 N, moment 2.0661 Nm, torque margin 0.0561 Nm, penetration 0.000776 m
evaluation 540: speed 0.034773, force 4.6533 N, moment 2.0661 Nm, torque margin 0.0561 Nm, penetration 0.000776 m
evaluation 550: speed 0.034773, force 4.6533 N, moment 2.0661 Nm, torque margin 0.0561 Nm, penetration 0.000776 m
evaluation 560: speed 0.034773, force 4.6532 N, moment 2.0661 Nm, torque margin 0.0561 Nm, penetration 0.000776 m
evaluation 570: speed 0.034773, force 4.6533 N, moment 2.0661 Nm, torque margin 0.0561 Nm, penetration 0.000776 m
evaluation 580: speed 0.034862, force 3.5368 N, moment 2.1052 Nm, torque margin 0.1593 Nm, penetration 0.000665 m
evaluation 590: speed 0.034850, force 3.5387 N, moment 2.1045 Nm, torque margin 0.1600 Nm, penetration 0.000665 m
evaluation 600: speed 0.034850, force 3.5367 N, moment 2.1051 Nm, torque margin 0.1593 Nm, penetration 0.000665 m
evaluation 610: speed 0.034850, force 3.5367 N, moment 2.1050 Nm, torque margin 0.1593 Nm, penetration 0.000665 m
evaluation 620: speed 0.034850, force 3.5367 N, moment 2.1050 Nm, torque margin 0.1593 Nm, penetration 0.000665 m
evaluation 630: speed 0.034850, force 3.5367 N, moment 2.1050 Nm, torque margin 0.1592 Nm, penetration 0.000665 m
evaluation 640: speed 0.034850, force 3.5367 N, moment 2.1050 Nm, torque margin 0.1593 Nm, penetration 0.000665 m
evaluation 650: speed 0.034850, force 3.5366 N, moment 2.1051 Nm, torque margin 0.1592 Nm, penetration 0.000665 m
evaluation 660: speed 0.037518, force 3.0461 N, moment 2.2750 Nm, torque margin 0.0905 Nm, penetration 0.000675 m
evaluation 670: speed 0.037518, force 3.0451 N, moment 2.2752 Nm, torque margin 0.0896 Nm, penetration 0.000675 m
evaluation 680: speed 0.037518, force 3.0463 N, moment 2.2751 Nm, torque margin 0.0905 Nm, penetration 0.000675 m
evaluation 690: speed 0.037518, force 3.0462 N, moment 2.2751 Nm, torque margin 0.0905 Nm, penetration 0.000675 m
evaluation 700: speed 0.037518, force 3.0462 N, moment 2.2751 Nm, torque margin 0.0905 Nm, penetration 0.000675 m
evaluation 710: speed 0.037518, force 3.0463 N, moment 2.2751 Nm, torque margin 0.0905 Nm, penetration 0.000675 m
evaluation 720: speed 0.037518, force 3.0462 N, moment 2.2751 Nm, torque margin 0.0905 Nm, penetration 0.000675 m
evaluation 730: speed 0.037518, force 3.0462 N, moment 2.2751 Nm, torque margin 0.0905 Nm, penetration 0.000675 m
evaluation 740: speed 0.040073, force 2.6752 N, moment 2.1394 Nm, torque margin 0.0918 Nm, penetration 0.000718 m
evaluation 750: speed 0.040073, force 2.6752 N, moment 2.1394 Nm, torque margin 0.0918 Nm, penetration 0.000718 m
evaluation 760: speed 0.040073, force 2.6752 N, moment 2.1394 Nm, torque margin 0.0918 Nm, penetration 0.000718 m
evaluation 770: speed 0.040073, force 2.6752 N, moment 2.1394 Nm, torque margin 0.0918 Nm, penetration 0.000718 m
evaluation 780: speed 0.040073, force 2.6752 N, moment 2.1394 Nm, torque margin 0.0919 Nm, penetration 0.000718 m
evaluation 790: speed 0.040073, force 2.6752 N, moment 2.1394 Nm, torque margin 0.0919 Nm, penetration 0.000718 m
evaluation 800: speed 0.040073, force 2.6751 N, moment 2.1394 Nm, torque margin 0.0918 Nm, penetration 0.000718 m
evaluation 810: speed 0.040073, force 2.6752 N, moment 2.1394 Nm, torque margin 0.0918 Nm, penetration 0.000718 m
evaluation 820: speed 0.041112, force 2.5832 N, moment 2.1624 Nm, torque margin -0.1321 Nm, penetration 0.000777 m
evaluation 830: speed 0.041112, force 2.5839 N, moment 2.1624 Nm, torque margin -0.1321 Nm, penetration 0.000777 m
evaluation 840: speed 0.041112, force 2.5848 N, moment 2.1627 Nm, torque margin -0.1321 Nm, penetration 0.000777 m
evaluation 850: speed 0.041112, force 2.5848 N, moment 2.1627 Nm, torque margin -0.1321 Nm, penetration 0.000777 m
evaluation 860: speed 0.041112, force 2.5848 N, moment 2.1627 Nm, torque margin -0.1321 Nm, penetration 0.000777 m
evaluation 870: speed 0.041112, force 2.5847 N, moment 2.1627 Nm, torque margin -0.1321 Nm, penetration 0.000777 m
evaluation 880: speed 0.041112, force 2.5846 N, moment 2.1627 Nm, torque margin -0.1321 Nm, penetration 0.000777 m
evaluation 890: speed 0.041112, force 2.5848 N, moment 2.1626 Nm, torque margin -0.1321 Nm, penetration 0.000777 m
evaluation 900: speed 0.042193, force 2.8008 N, moment 2.0538 Nm, torque margin -0.2684 Nm, penetration 0.000797 m
evaluation 910: speed 0.042193, force 2.8011 N, moment 2.0538 Nm, torque margin -0.2684 Nm, penetration 0.000797 m
evaluation 920: speed 0.042193, force 2.8004 N, moment 2.0537 Nm, torque margin -0.2684 Nm, penetration 0.000797 m
evaluation 930: speed 0.042193, force 2.8004 N, moment 2.0536 Nm, torque margin -0.2684 Nm, penetration 0.000797 m
evaluation 940: speed 0.042193, force 2.8004 N, moment 2.0536 Nm, torque margin -0.2684 Nm, penetration 0.000797 m
evaluation 950: speed 0.042193, force 2.8004 N, moment 2.0536 Nm, torque margin -0.2684 Nm, penetration 0.000797 m
evaluation 960: speed 0.042193, force 2.8005 N, moment 2.0536 Nm, torque margin -0.2684 Nm, penetration 0.000797 m
evaluation 970: speed 0.042193, force 2.8002 N, moment 2.0536 Nm, torque margin -0.2684 Nm, penetration 0.000797 m
