valid report 690: speed 0.025039, force 0.062860 N, moment 0.020229 Nm, torque 0.696554 Nm, maximum inequality 2.170675, feasible false
valid report 700: speed 0.025039, force 0.063183 N, moment 0.020326 Nm, torque 0.696571 Nm, maximum inequality 2.170675, feasible false
valid report 710: speed 0.025039, force 0.063086 N, moment 0.020227 Nm, torque 0.696565 Nm, maximum inequality 2.170675, feasible false
valid report 720: speed 0.025039, force 0.061918 N, moment 0.020250 Nm, torque 0.696565 Nm, maximum inequality 2.170675, feasible false
valid report 730: speed 0.025039, force 0.063078 N, moment 0.020232 Nm, torque 0.696565 Nm, maximum inequality 2.170675, feasible false
valid report 740: speed 0.025039, force 0.063081 N, moment 0.020232 Nm, torque 0.696565 Nm, maximum inequality 2.170675, feasible false
valid report 750: speed 0.025039, force 0.063105 N, moment 0.020228 Nm, torque 0.696565 Nm, maximum inequality 2.170675, feasible false
valid report 760: speed 0.025114, force 0.073039 N, moment 0.098035 Nm, torque 0.792504 Nm, maximum inequality 25.069921, feasible false
valid report 770: speed 0.025114, force 0.073042 N, moment 0.098036 Nm, torque 0.792504 Nm, maximum inequality 25.069921, feasible false
valid report 780: speed 0.025114, force 0.074603 N, moment 0.098081 Nm, torque 0.792298 Nm, maximum inequality 25.069921, feasible false
valid report 790: speed 0.025114, force 0.073292 N, moment 0.098030 Nm, torque 0.792517 Nm, maximum inequality 25.069921, feasible false
valid report 800: speed 0.025114, force 0.069348 N, moment 0.098036 Nm, torque 0.792435 Nm, maximum inequality 25.069921, feasible false
valid report 810: speed 0.025112, force 0.072958 N, moment 0.098026 Nm, torque 0.792531 Nm, maximum inequality 25.069921, feasible false
valid report 820: speed 0.025114, force 0.073039 N, moment 0.098035 Nm, torque 0.792504 Nm, maximum inequality 25.069921, feasible false
valid report 830: speed 0.025114, force 0.072939 N, moment 0.098051 Nm, torque 0.792504 Nm, maximum inequality 25.069921, feasible false
valid report 840: speed 0.025114, force 0.073042 N, moment 0.098070 Nm, torque 0.792506 Nm, maximum inequality 25.069921, feasible false
valid report 850: speed 0.025114, force 0.073039 N, moment 0.098035 Nm, torque 0.792504 Nm, maximum inequality 25.069921, feasible false
valid report 860: speed 0.025114, force 0.073046 N, moment 0.097981 Nm, torque 0.792504 Nm, maximum inequality 25.069921, feasible false
valid report 870: speed 0.025203, force 0.119852 N, moment 0.360719 Nm, torque 0.956189 Nm, maximum inequality 72.472640, feasible false
valid report 880: speed 0.025203, force 0.119705 N, moment 0.360697 Nm, torque 0.956195 Nm, maximum inequality 72.472640, feasible false
