evaluation 270: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 280: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 290: speed 0.211710, force 13.0909 N, moment 3.1880 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 300: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 310: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 320: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 330: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 340: speed 0.211710, force 13.0909 N, moment 3.1867 Nm, torque -0.2695 Nm, cone 0.0000 N, maximum constraint 260.818173, feasible false
evaluation 350: speed 0.150453, force 13.5334 N, moment 1.4393 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.667570, feasible false
evaluation 360: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 370: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678524, feasible false
evaluation 380: speed 0.150440, force 13.5388 N, moment 1.4389 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.775351, feasible false
evaluation 390: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 400: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 410: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.677265, feasible false
evaluation 420: speed 0.150440, force 13.5335 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.670493, feasible false
evaluation 430: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678397, feasible false
evaluation 440: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5117 Nm, cone 1.7369 N, maximum constraint 269.678453, feasible false
evaluation 450: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 460: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7382 N, maximum constraint 269.678483, feasible false
evaluation 470: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5117 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 480: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 490: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 500: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 510: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678473, feasible false
evaluation 520: speed 0.150440, force 13.5436 N, moment 1.4384 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.871251, feasible false
evaluation 530: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 540: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678489, feasible false
evaluation 550: speed 0.150440, force 13.5313 N, moment 1.4389 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.626435, feasible false
evaluation 560: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678644, feasible false
evaluation 570: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678524, feasible false
evaluation 580: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678438, feasible false
