evaluation 1: speed 0.211710, force 15.5696 N, moment 6.2856 Nm, torque -1.9466 Nm, cone 0.0000 N, maximum constraint 313.280336, feasible false
evaluation 10: speed 0.211710, force 15.5696 N, moment 6.2861 Nm, torque -1.9466 Nm, cone 0.0000 N, maximum constraint 313.306653, feasible false
evaluation 20: speed 0.211710, force 15.5955 N, moment 6.2815 Nm, torque -1.9465 Nm, cone 0.0000 N, maximum constraint 313.073046, feasible false
evaluation 30: speed 0.211710, force 15.5696 N, moment 6.2856 Nm, torque -1.9461 Nm, cone 0.0000 N, maximum constraint 313.280336, feasible false
evaluation 40: speed 0.211710, force 15.5696 N, moment 6.2856 Nm, torque -1.9466 Nm, cone 0.0000 N, maximum constraint 313.278954, feasible false
evaluation 50: speed 0.211710, force 15.5709 N, moment 6.2867 Nm, torque -1.9466 Nm, cone 0.0000 N, maximum constraint 313.335113, feasible false
evaluation 60: speed 0.211710, force 15.5696 N, moment 6.2856 Nm, torque -1.9466 Nm, cone 0.0000 N, maximum constraint 313.280336, feasible false
evaluation 70: speed 0.211710, force 15.5696 N, moment 6.2857 Nm, torque -1.9467 Nm, cone 0.0000 N, maximum constraint 313.283149, feasible false
evaluation 80: speed 0.211710, force 15.5696 N, moment 6.2856 Nm, torque -1.9467 Nm, cone 0.0000 N, maximum constraint 313.280346, feasible false
evaluation 90: speed 0.211710, force 15.5696 N, moment 6.2856 Nm, torque -1.9466 Nm, cone 0.0000 N, maximum constraint 313.280282, feasible false
evaluation 100: speed 0.211710, force 15.5696 N, moment 6.2856 Nm, torque -1.9466 Nm, cone 0.0000 N, maximum constraint 313.280336, feasible false
evaluation 110: speed 0.180405, force 14.0141 N, moment 2.7904 Nm, torque -0.9466 Nm, cone 12.6973 N, maximum constraint 279.281492, feasible false
evaluation 120: speed 0.180405, force 14.0141 N, moment 2.7903 Nm, torque -0.9466 Nm, cone 12.6973 N, maximum constraint 279.281448, feasible false
evaluation 130: speed 0.180405, force 14.0160 N, moment 2.7875 Nm, torque -0.9454 Nm, cone 12.6973 N, maximum constraint 279.320518, feasible false
evaluation 140: speed 0.180405, force 14.0140 N, moment 2.7904 Nm, torque -0.9466 Nm, cone 12.6973 N, maximum constraint 279.280965, feasible false
evaluation 150: speed 0.180405, force 14.0141 N, moment 2.7904 Nm, torque -0.9466 Nm, cone 12.6973 N, maximum constraint 279.281492, feasible false
evaluation 160: speed 0.180405, force 14.0139 N, moment 2.7904 Nm, torque -0.9466 Nm, cone 12.6973 N, maximum constraint 279.277691, feasible false
evaluation 170: speed 0.180405, force 14.0148 N, moment 2.7904 Nm, torque -0.9466 Nm, cone 12.6973 N, maximum constraint 279.296303, feasible false
