evaluation 530: speed 0.055450, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9816 Nm, penetration 0.000001 m
evaluation 540: speed 0.055755, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9817 Nm, penetration 0.000001 m
evaluation 550: speed 0.055755, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9817 Nm, penetration 0.000001 m
evaluation 560: speed 0.055755, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9817 Nm, penetration 0.000001 m
evaluation 570: speed 0.055755, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9817 Nm, penetration 0.000001 m
evaluation 580: speed 0.055755, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9817 Nm, penetration 0.000001 m
evaluation 590: speed 0.055755, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9817 Nm, penetration 0.000001 m
evaluation 600: speed 0.055755, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9817 Nm, penetration 0.000001 m
evaluation 610: speed 0.055755, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9817 Nm, penetration 0.000001 m
evaluation 620: speed 0.055755, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9818 Nm, penetration 0.000001 m
evaluation 630: speed 0.055755, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9817 Nm, penetration 0.000001 m
evaluation 640: speed 0.056684, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9793 Nm, penetration 0.000001 m
evaluation 650: speed 0.056679, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9793 Nm, penetration 0.000001 m
evaluation 660: speed 0.056679, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9793 Nm, penetration 0.000001 m
evaluation 670: speed 0.056679, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9795 Nm, penetration 0.000001 m
evaluation 680: speed 0.056679, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9793 Nm, penetration 0.000001 m
evaluation 690: speed 0.056679, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9793 Nm, penetration 0.000001 m
evaluation 700: speed 0.056679, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9793 Nm, penetration 0.000001 m
evaluation 710: speed 0.056679, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9793 Nm, penetration 0.000001 m
evaluation 720: speed 0.056679, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9793 Nm, penetration 0.000001 m
evaluation 730: speed 0.056679, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9794 Nm, penetration 0.000001 m
evaluation 740: speed 0.056679, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9793 Nm, penetration 0.000001 m
evaluation 750: speed 0.056924, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9790 Nm, penetration 0.000000 m
evaluation 760: speed 0.056924, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9789 Nm, penetration 0.000000 m
evaluation 770: speed 0.056924, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9789 Nm, penetration 0.000000 m
evaluation 780: speed 0.056924, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9789 Nm, penetration 0.000000 m
