evaluation 530: speed 0.187853, force 0.0433 N, moment 0.0139 Nm, torque margin -0.0012 Nm, penetration 0.000048 m
evaluation 540: speed 0.187870, force 0.0433 N, moment 0.0139 Nm, torque margin -0.0012 Nm, penetration 0.000048 m
evaluation 550: speed 0.187870, force 0.0433 N, moment 0.0139 Nm, torque margin -0.0012 Nm, penetration 0.000048 m
evaluation 560: speed 0.187870, force 0.0434 N, moment 0.0140 Nm, torque margin -0.0012 Nm, penetration 0.000048 m
evaluation 570: speed 0.187870, force 0.0431 N, moment 0.0140 Nm, torque margin -0.0011 Nm, penetration 0.000048 m
evaluation 580: speed 0.187870, force 0.0434 N, moment 0.0139 Nm, torque margin -0.0012 Nm, penetration 0.000048 m
evaluation 590: speed 0.187870, force 0.0433 N, moment 0.0139 Nm, torque margin -0.0012 Nm, penetration 0.000048 m
evaluation 600: speed 0.187870, force 0.0433 N, moment 0.0139 Nm, torque margin -0.0012 Nm, penetration 0.000048 m
evaluation 610: speed 0.187870, force 0.0433 N, moment 0.0139 Nm, torque margin -0.0012 Nm, penetration 0.000048 m
evaluation 620: speed 0.187870, force 0.0437 N, moment 0.0140 Nm, torque margin -0.0012 Nm, penetration 0.000048 m
evaluation 630: speed 0.187870, force 0.0433 N, moment 0.0139 Nm, torque margin -0.0012 Nm, penetration 0.000048 m
evaluation 640: speed 0.187784, force 0.0523 N, moment 0.0170 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 650: speed 0.187784, force 0.0519 N, moment 0.0169 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 660: speed 0.187784, force 0.0521 N, moment 0.0169 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 670: speed 0.187784, force 0.0522 N, moment 0.0169 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 680: speed 0.187784, force 0.0522 N, moment 0.0169 Nm, torque margin -0.0009 Nm, penetration 0.000048 m
evaluation 690: speed 0.187784, force 0.0526 N, moment 0.0171 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 700: speed 0.187784, force 0.0522 N, moment 0.0169 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 710: speed 0.187784, force 0.0516 N, moment 0.0168 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 720: speed 0.187784, force 0.0521 N, moment 0.0169 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 730: speed 0.187784, force 0.0522 N, moment 0.0169 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 740: speed 0.187784, force 0.0542 N, moment 0.0176 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 750: speed 0.187759, force 0.0543 N, moment 0.0176 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 760: speed 0.187759, force 0.0543 N, moment 0.0176 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 770: speed 0.187759, force 0.0544 N, moment 0.0176 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 780: speed 0.187759, force 0.0543 N, moment 0.0176 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 790: speed 0.187759, force 0.0543 N, moment 0.0176 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 800: speed 0.187759, force 0.0543 N, moment 0.0176 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
