valid report 660: speed 0.025781, force 0.050066 N, moment 0.019763 Nm, torque 1.091330 Nm, maximum inequality 0.001310, feasible false
valid report 670: speed 0.025781, force 0.049422 N, moment 0.019717 Nm, torque 1.091339 Nm, maximum inequality -0.000000, feasible true
valid report 680: speed 0.025781, force 0.049774 N, moment 0.019781 Nm, torque 1.091365 Nm, maximum inequality -0.000000, feasible true
valid report 690: speed 0.025781, force 0.049800 N, moment 0.019749 Nm, torque 1.091343 Nm, maximum inequality -0.000000, feasible true
valid report 700: speed 0.025783, force 0.049768 N, moment 0.019775 Nm, torque 1.091347 Nm, maximum inequality -0.000000, feasible true
valid report 710: speed 0.025781, force 0.049767 N, moment 0.019763 Nm, torque 1.091365 Nm, maximum inequality -0.000000, feasible true
valid report 720: speed 0.025781, force 0.049783 N, moment 0.019794 Nm, torque 1.091365 Nm, maximum inequality -0.000000, feasible true
valid report 730: speed 0.025781, force 0.049769 N, moment 0.019793 Nm, torque 1.091365 Nm, maximum inequality -0.000000, feasible true
valid report 740: speed 0.025781, force 0.049767 N, moment 0.019763 Nm, torque 1.091365 Nm, maximum inequality -0.000000, feasible true
valid report 750: speed 0.025781, force 0.049748 N, moment 0.019719 Nm, torque 1.091434 Nm, maximum inequality -0.000000, feasible true
valid report 760: speed 0.026823, force 0.050404 N, moment 0.019763 Nm, torque 1.087995 Nm, maximum inequality 0.429696, feasible false
valid report 770: speed 0.026823, force 0.049753 N, moment 0.019763 Nm, torque 1.088007 Nm, maximum inequality 0.429696, feasible false
valid report 780: speed 0.026823, force 0.049262 N, moment 0.019810 Nm, torque 1.088108 Nm, maximum inequality 0.429696, feasible false
valid report 790: speed 0.026823, force 0.049771 N, moment 0.019890 Nm, torque 1.088003 Nm, maximum inequality 0.429696, feasible false
valid report 800: speed 0.026823, force 0.054029 N, moment 0.019749 Nm, torque 1.087299 Nm, maximum inequality 0.429696, feasible false
valid report 810: speed 0.026808, force 0.049785 N, moment 0.019773 Nm, torque 1.088026 Nm, maximum inequality 0.429696, feasible false
valid report 820: speed 0.026823, force 0.049736 N, moment 0.019763 Nm, torque 1.088003 Nm, maximum inequality 0.429696, feasible false
valid report 830: speed 0.026823, force 0.049724 N, moment 0.019659 Nm, torque 1.088003 Nm, maximum inequality 0.429696, feasible false
valid report 840: speed 0.026823, force 0.049736 N, moment 0.019771 Nm, torque 1.088003 Nm, maximum inequality 0.429696, feasible false
valid report 850: speed 0.026823, force 0.049736 N, moment 0.019763 Nm, torque 1.088003 Nm, maximum inequality 0.429696, feasible false
valid report 860: speed 0.026823, force 0.049837 N, moment 0.019765 Nm, torque 1.088003 Nm, maximum inequality 0.429696, feasible false
valid report 870: speed 0.028773, force 0.049705 N, moment 0.019806 Nm, torque 1.080893 Nm, maximum inequality 0.760611, feasible false
valid report 880: speed 0.028773, force 0.048680 N, moment 0.019821 Nm, torque 1.080924 Nm, maximum inequality 0.760611, feasible false
valid report 890: speed 0.028773, force 0.049602 N, moment 0.019809 Nm, torque 1.080885 Nm, maximum inequality 0.760611, feasible false
valid report 900: speed 0.028773, force 0.049686 N, moment 0.019927 Nm, torque 1.080899 Nm, maximum inequality 0.760611, feasible false
valid report 910: speed 0.028773, force 0.049716 N, moment 0.019851 Nm, torque 1.080931 Nm, maximum inequality 0.760611, feasible false
valid report 920: speed 0.028773, force 0.049626 N, moment 0.019799 Nm, torque 1.080899 Nm, maximum inequality 0.760611, feasible false
valid report 930: speed 0.028773, force 0.049626 N, moment 0.019806 Nm, torque 1.080899 Nm, maximum inequality 0.760611, feasible false
valid report 940: speed 0.028773, force 0.049749 N, moment 0.019820 Nm, torque 1.080899 Nm, maximum inequality 0.760611, feasible false
valid report 950: speed 0.028773, force 0.049663 N, moment 0.020311 Nm, torque 1.080899 Nm, maximum inequality 0.760611, feasible false
valid report 960: speed 0.028773, force 0.049538 N, moment 0.019859 Nm, torque 1.080910 Nm, maximum inequality 0.760611, feasible false
valid report 970: speed 0.028773, force 0.049555 N, moment 0.019803 Nm, torque 1.080899 Nm, maximum inequality 0.760611, feasible false
valid report 980: speed 0.031404, force 0.053132 N, moment 0.020068 Nm, torque 1.072542 Nm, maximum inequality 1.057567, feasible false
valid report 990: speed 0.031404, force 0.049210 N, moment 0.020071 Nm, torque 1.072769 Nm, maximum inequality 1.057567, feasible false
valid report 1000: speed 0.031404, force 0.050263 N, moment 0.020131 Nm, torque 1.072748 Nm, maximum inequality 1.057567, feasible false
valid report 1010: speed 0.031404, force 0.049125 N, moment 0.020064 Nm, torque 1.072748 Nm, maximum inequality 1.057567, feasible false
valid report 1020: speed 0.031404, force 0.049193 N, moment 0.020029 Nm, torque 1.072626 Nm, maximum inequality 1.057567, feasible false
valid report 1030: speed 0.031404, force 0.049052 N, moment 0.020136 Nm, torque 1.072748 Nm, maximum inequality 1.057567, feasible false
valid report 1040: speed 0.031404, force 0.049358 N, moment 0.020130 Nm, torque 1.072748 Nm, maximum inequality 1.057567, feasible false
valid report 1050: speed 0.031404, force 0.049087 N, moment 0.020065 Nm, torque 1.072748 Nm, maximum inequality 1.057567, feasible false
valid report 1060: speed 0.031404, force 0.049116 N, moment 0.020247 Nm, torque 1.072748 Nm, maximum inequality 1.057567, feasible false
valid report 1070: speed 0.031404, force 0.049087 N, moment 0.020082 Nm, torque 1.072751 Nm, maximum inequality 1.057567, feasible false
valid report 1080: speed 0.031404, force 0.049087 N, moment 0.020072 Nm, torque 1.072748 Nm, maximum inequality 1.057567, feasible false
valid report 1090: speed 0.032878, force 0.049265 N, moment 0.019960 Nm, torque 1.069582 Nm, maximum inequality 2.127315, feasible false
valid report 1100: speed 0.032878, force 0.053711 N, moment 0.019963 Nm, torque 1.070178 Nm, maximum inequality 2.127315, feasible false
valid report 1110: speed 0.032878, force 0.049335 N, moment 0.019966 Nm, torque 1.069572 Nm, maximum inequality 2.127315, feasible false
valid report 1120: speed 0.032878, force 0.049329 N, moment 0.019973 Nm, torque 1.069545 Nm, maximum inequality 2.127315, feasible false
valid report 1130: speed 0.032878, force 0.049172 N, moment 0.019963 Nm, torque 1.069589 Nm, maximum inequality 2.127315, feasible false
valid report 1140: speed 0.032878, force 0.049197 N, moment 0.019998 Nm, torque 1.069572 Nm, maximum inequality 2.127315, feasible false
