evaluation 530: speed 0.066649, force 0.0276 N, moment 0.0089 Nm, torque margin 0.0005 Nm, penetration 0.000001 m
evaluation 540: speed 0.065328, force 0.0206 N, moment 0.0067 Nm, torque margin 0.0282 Nm, penetration 0.000000 m
evaluation 550: speed 0.065328, force 0.0206 N, moment 0.0067 Nm, torque margin 0.0282 Nm, penetration 0.000000 m
evaluation 560: speed 0.065328, force 0.0206 N, moment 0.0067 Nm, torque margin 0.0282 Nm, penetration 0.000000 m
evaluation 570: speed 0.065328, force 0.0206 N, moment 0.0067 Nm, torque margin 0.0288 Nm, penetration 0.000000 m
evaluation 580: speed 0.065328, force 0.0206 N, moment 0.0067 Nm, torque margin 0.0282 Nm, penetration 0.000000 m
evaluation 590: speed 0.065328, force 0.0206 N, moment 0.0067 Nm, torque margin 0.0281 Nm, penetration 0.000000 m
evaluation 600: speed 0.065328, force 0.0208 N, moment 0.0067 Nm, torque margin 0.0282 Nm, penetration 0.000000 m
evaluation 610: speed 0.065328, force 0.0206 N, moment 0.0067 Nm, torque margin 0.0282 Nm, penetration 0.000000 m
evaluation 620: speed 0.065328, force 0.0204 N, moment 0.0066 Nm, torque margin 0.0283 Nm, penetration 0.000000 m
evaluation 630: speed 0.065328, force 0.0206 N, moment 0.0067 Nm, torque margin 0.0284 Nm, penetration 0.000000 m
evaluation 640: speed 0.062892, force 0.0121 N, moment 0.0039 Nm, torque margin 0.0886 Nm, penetration 0.000000 m
evaluation 650: speed 0.062881, force 0.0121 N, moment 0.0039 Nm, torque margin 0.0894 Nm, penetration 0.000000 m
evaluation 660: speed 0.062881, force 0.0121 N, moment 0.0039 Nm, torque margin 0.0889 Nm, penetration 0.000000 m
evaluation 670: speed 0.062881, force 0.0120 N, moment 0.0039 Nm, torque margin 0.0889 Nm, penetration 0.000000 m
evaluation 680: speed 0.062881, force 0.0121 N, moment 0.0039 Nm, torque margin 0.0889 Nm, penetration 0.000000 m
evaluation 690: speed 0.062881, force 0.0121 N, moment 0.0039 Nm, torque margin 0.0889 Nm, penetration 0.000000 m
evaluation 700: speed 0.062881, force 0.0121 N, moment 0.0039 Nm, torque margin 0.0890 Nm, penetration 0.000000 m
evaluation 710: speed 0.062881, force 0.0121 N, moment 0.0039 Nm, torque margin 0.0889 Nm, penetration 0.000000 m
evaluation 720: speed 0.062881, force 0.0121 N, moment 0.0039 Nm, torque margin 0.0889 Nm, penetration 0.000000 m
evaluation 730: speed 0.062881, force 0.0120 N, moment 0.0039 Nm, torque margin 0.0889 Nm, penetration 0.000000 m
evaluation 740: speed 0.062881, force 0.0121 N, moment 0.0039 Nm, torque margin 0.0889 Nm, penetration 0.000000 m
evaluation 750: speed 0.059791, force 0.0105 N, moment 0.0034 Nm, torque margin 0.1237 Nm, penetration 0.000000 m
evaluation 760: speed 0.059791, force 0.0105 N, moment 0.0034 Nm, torque margin 0.1237 Nm, penetration 0.000000 m
evaluation 770: speed 0.059791, force 0.0105 N, moment 0.0034 Nm, torque margin 0.1237 Nm, penetration 0.000000 m
evaluation 780: speed 0.059791, force 0.0105 N, moment 0.0034 Nm, torque margin 0.1237 Nm, penetration 0.000000 m
evaluation 790: speed 0.059791, force 0.0105 N, moment 0.0034 Nm, torque margin 0.1237 Nm, penetration 0.000000 m
evaluation 800: speed 0.059791, force 0.0105 N, moment 0.0034 Nm, torque margin 0.1237 Nm, penetration 0.000000 m
evaluation 810: speed 0.059791, force 0.0105 N, moment 0.0034 Nm, torque margin 0.1237 Nm, penetration 0.000000 m
evaluation 820: speed 0.059791, force 0.0104 N, moment 0.0034 Nm, torque margin 0.1237 Nm, penetration 0.000000 m
evaluation 830: speed 0.059791, force 0.0104 N, moment 0.0034 Nm, torque margin 0.1237 Nm, penetration 0.000000 m
evaluation 840: speed 0.059791, force 0.0105 N, moment 0.0034 Nm, torque margin 0.1237 Nm, penetration 0.000000 m
evaluation 850: speed 0.059243, force 0.0086 N, moment 0.0028 Nm, torque margin 0.1274 Nm, penetration 0.000000 m
evaluation 860: speed 0.059254, force 0.0087 N, moment 0.0028 Nm, torque margin 0.1266 Nm, penetration 0.000000 m
evaluation 870: speed 0.059254, force 0.0087 N, moment 0.0028 Nm, torque margin 0.1271 Nm, penetration 0.000000 m
evaluation 880: speed 0.059254, force 0.0088 N, moment 0.0029 Nm, torque margin 0.1271 Nm, penetration 0.000000 m
evaluation 890: speed 0.059254, force 0.0087 N, moment 0.0028 Nm, torque margin 0.1271 Nm, penetration 0.000000 m
evaluation 900: speed 0.059254, force 0.0087 N, moment 0.0028 Nm, torque margin 0.1271 Nm, penetration 0.000000 m
evaluation 910: speed 0.059254, force 0.0087 N, moment 0.0028 Nm, torque margin 0.1270 Nm, penetration 0.000000 m
evaluation 920: speed 0.059254, force 0.0087 N, moment 0.0028 Nm, torque margin 0.1271 Nm, penetration 0.000000 m
evaluation 930: speed 0.059254, force 0.0087 N, moment 0.0028 Nm, torque margin 0.1271 Nm, penetration 0.000000 m
evaluation 940: speed 0.059254, force 0.0088 N, moment 0.0029 Nm, torque margin 0.1271 Nm, penetration 0.000000 m
evaluation 950: speed 0.059254, force 0.0087 N, moment 0.0028 Nm, torque margin 0.1271 Nm, penetration 0.000000 m
evaluation 960: speed 0.059122, force 0.0081 N, moment 0.0026 Nm, torque margin 0.1276 Nm, penetration 0.000000 m
evaluation 970: speed 0.059122, force 0.0089 N, moment 0.0029 Nm, torque margin 0.1276 Nm, penetration 0.000000 m
evaluation 980: speed 0.059122, force 0.0082 N, moment 0.0027 Nm, torque margin 0.1276 Nm, penetration 0.000000 m
evaluation 990: speed 0.059122, force 0.0082 N, moment 0.0027 Nm, torque margin 0.1276 Nm, penetration 0.000000 m
evaluation 1000: speed 0.059122, force 0.0082 N, moment 0.0027 Nm, torque margin 0.1276 Nm, penetration 0.000000 m
evaluation 1010: speed 0.059122, force 0.0082 N, moment 0.0027 Nm, torque margin 0.1276 Nm, penetration 0.000000 m
evaluation 1020: speed 0.059122, force 0.0082 N, moment 0.0027 Nm, torque margin 0.1276 Nm, penetration 0.000000 m
evaluation 1030: speed 0.059122, force 0.0081 N, moment 0.0026 Nm, torque margin 0.1276 Nm, penetration 0.000000 m
evaluation 1040: speed 0.059122, force 0.0082 N, moment 0.0026 Nm, torque margin 0.1276 Nm, penetration 0.000000 m
evaluation 1050: speed 0.059122, force 0.0082 N, moment 0.0027 Nm, torque margin 0.1276 Nm, penetration 0.000000 m
