evaluation 530: speed 0.080556, force 0.0340 N, moment 0.0110 Nm, torque margin 0.2023 Nm, penetration 0.000063 m
evaluation 540: speed 0.084195, force 0.0371 N, moment 0.0120 Nm, torque margin 0.1120 Nm, penetration 0.000067 m
evaluation 550: speed 0.084195, force 0.0370 N, moment 0.0119 Nm, torque margin 0.1120 Nm, penetration 0.000067 m
evaluation 560: speed 0.084195, force 0.0370 N, moment 0.0120 Nm, torque margin 0.1118 Nm, penetration 0.000067 m
evaluation 570: speed 0.084195, force 0.0370 N, moment 0.0119 Nm, torque margin 0.1120 Nm, penetration 0.000067 m
evaluation 580: speed 0.084195, force 0.0369 N, moment 0.0119 Nm, torque margin 0.1120 Nm, penetration 0.000067 m
evaluation 590: speed 0.084195, force 0.0370 N, moment 0.0119 Nm, torque margin 0.1120 Nm, penetration 0.000067 m
evaluation 600: speed 0.084195, force 0.0370 N, moment 0.0119 Nm, torque margin 0.1119 Nm, penetration 0.000067 m
evaluation 610: speed 0.084195, force 0.0370 N, moment 0.0119 Nm, torque margin 0.1120 Nm, penetration 0.000067 m
evaluation 620: speed 0.084195, force 0.0370 N, moment 0.0119 Nm, torque margin 0.1120 Nm, penetration 0.000067 m
evaluation 630: speed 0.084195, force 0.0370 N, moment 0.0119 Nm, torque margin 0.1120 Nm, penetration 0.000067 m
evaluation 640: speed 0.095266, force 0.1440 N, moment 0.0464 Nm, torque margin -0.1098 Nm, penetration 0.000080 m
evaluation 650: speed 0.085326, force 0.0383 N, moment 0.0124 Nm, torque margin 0.0768 Nm, penetration 0.000068 m
evaluation 660: speed 0.085326, force 0.0384 N, moment 0.0124 Nm, torque margin 0.0773 Nm, penetration 0.000068 m
evaluation 670: speed 0.085326, force 0.0384 N, moment 0.0124 Nm, torque margin 0.0768 Nm, penetration 0.000068 m
evaluation 680: speed 0.085326, force 0.0383 N, moment 0.0124 Nm, torque margin 0.0768 Nm, penetration 0.000068 m
evaluation 690: speed 0.085326, force 0.0383 N, moment 0.0124 Nm, torque margin 0.0768 Nm, penetration 0.000068 m
evaluation 700: speed 0.085326, force 0.0383 N, moment 0.0124 Nm, torque margin 0.0767 Nm, penetration 0.000068 m
evaluation 710: speed 0.085326, force 0.0383 N, moment 0.0124 Nm, torque margin 0.0768 Nm, penetration 0.000068 m
evaluation 720: speed 0.085326, force 0.0381 N, moment 0.0123 Nm, torque margin 0.0769 Nm, penetration 0.000068 m
