smoothing 0.003 evaluation 1400: force 0.1973, moment 0.0723, torque Some(1.2530483871264768)
smoothing 0.003 evaluation 1420: force 0.1973, moment 0.0723, torque Some(1.2530483871264768)
smoothing 0.003 evaluation 1440: force 0.1973, moment 0.0723, torque Some(1.2530483871264768)
smoothing 0.003 evaluation 1460: force 0.1973, moment 0.0723, torque Some(1.2530483871264768)
smoothing 0.003 evaluation 1480: force 0.1973, moment 0.0723, torque Some(1.2530483871264768)
smoothing 0.003 evaluation 1500: force 0.1973, moment 0.0723, torque Some(1.2530483871264768)
smoothing 0.003 evaluation 1520: force 0.1973, moment 0.0723, torque Some(1.2530483871264768)
smoothing 0.003 evaluation 1540: force 0.1973, moment 0.0723, torque Some(1.2530483871264768)
smoothing 0.003 evaluation 1560: force 0.1973, moment 0.0723, torque Some(1.2530483871264768)
smoothing 0.003 evaluation 1580: force 0.1973, moment 0.0723, torque Some(1.2530483871264768)
smoothing 0.003 evaluation 1600: force 0.1973, moment 0.0723, torque Some(1.2530483871264768)
smoothing 0.003 evaluation 1620: force 0.1973, moment 0.0723, torque Some(1.2530483871264768)
smoothing 0.003 evaluation 1640: force 0.1973, moment 0.0723, torque Some(1.2530495274635394)
smoothing 0.003 evaluation 1660: force 0.1973, moment 0.0723, torque Some(1.2530483871264768)
smoothing 0.003 evaluation 1680: force 0.1977, moment 0.0723, torque Some(1.2530483871264768)
smoothing 0.003 evaluation 1700: force 0.1941, moment 0.0714, torque Some(1.2530444414972046)
smoothing 0.003 evaluation 1720: force 0.1974, moment 0.0723, torque Some(1.2530483871264768)
smoothing 0.003 evaluation 1740: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 1760: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 1780: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 1800: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 1820: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 1840: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 1860: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 1880: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 1900: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 1920: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 1940: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 1960: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 1980: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 2000: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 2020: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 2040: force 0.0223, moment 0.0035, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 2060: force 0.0214, moment 0.0049, torque Some(1.2259068312664385)
smoothing 0.003 evaluation 2080: force 0.0224, moment 0.0034, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 2100: force 0.0224, moment 0.0035, torque Some(1.2259343604033694)
smoothing 0.003 evaluation 2120: force 0.0214, moment 0.0044, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 2140: force 0.0234, moment 0.0035, torque Some(1.225912101143669)
smoothing 0.003 evaluation 2160: force 0.0226, moment 0.0038, torque Some(1.2259067191046285)
smoothing 0.003 evaluation 2180: force 0.0018, moment 0.0011, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2200: force 0.0018, moment 0.0005, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2220: force 0.0025, moment 0.0012, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2240: force 0.0018, moment 0.0004, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2260: force 0.0018, moment 0.0006, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2280: force 0.0063, moment 0.0017, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2300: force 0.0018, moment 0.0004, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2320: force 0.0043, moment 0.0022, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2340: force 0.0026, moment 0.0011, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2360: force 0.0018, moment 0.0013, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2380: force 0.0018, moment 0.0005, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2400: force 0.0025, moment 0.0011, torque Some(1.2166769342718085)
