smoothing 0.00001 evaluation 1320: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1340: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1360: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1380: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1400: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1420: force 2.1330, moment 0.7361, torque Some(-0.00037543667305439676)
smoothing 0.00001 evaluation 1440: force 2.1330, moment 0.7361, torque Some(-0.0003708023937307736)
smoothing 0.00001 evaluation 1460: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1480: force 2.1330, moment 0.7361, torque Some(-0.000677324905104193)
smoothing 0.00001 evaluation 1500: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1520: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1540: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1560: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1580: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1600: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1620: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1640: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1660: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1680: force 2.1331, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1700: force 2.1329, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1720: force 2.1330, moment 0.7361, torque Some(-0.00037680892707436797)
smoothing 0.00001 evaluation 1740: force 1.9938, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 1760: force 1.9921, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 1780: force 1.9926, moment 0.7055, torque Some(-2.8728224346599024e-5)
smoothing 0.00001 evaluation 1800: force 1.9926, moment 0.7055, torque Some(-2.8720607735659848e-5)
smoothing 0.00001 evaluation 1820: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 1840: force 1.9926, moment 0.7055, torque Some(-2.8779412325919546e-5)
smoothing 0.00001 evaluation 1860: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 1880: force 1.9926, moment 0.7056, torque Some(-2.8723483345535067e-5)
smoothing 0.00001 evaluation 1900: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 1920: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 1940: force 1.9926, moment 0.7054, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 1960: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 1980: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2000: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2020: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2040: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2060: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2080: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2100: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2120: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2140: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2160: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2180: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2200: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2220: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2240: force 1.9925, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2260: force 1.9926, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2280: force 1.9939, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2300: force 1.9921, moment 0.7055, torque Some(-2.872825042970692e-5)
smoothing 0.00001 evaluation 2320: force 1.9578, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2340: force 1.9571, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2360: force 1.9580, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2380: force 1.9579, moment 0.6970, torque Some(-1.2260627100296219e-5)
smoothing 0.00001 evaluation 2400: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2420: force 1.9579, moment 0.6970, torque Some(-1.1103576982582526e-5)
smoothing 0.00001 evaluation 2440: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2460: force 1.9579, moment 0.6971, torque Some(-1.106698545505231e-5)
smoothing 0.00001 evaluation 2480: force 1.9579, moment 0.6969, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2500: force 1.9579, moment 0.6971, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2520: force 1.9579, moment 0.6968, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2540: force 1.9579, moment 0.6969, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2560: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2580: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2600: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2620: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2640: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2660: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2680: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2700: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2720: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2740: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2760: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2780: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2800: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2820: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2840: force 1.9579, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2860: force 1.9581, moment 0.6970, torque Some(-1.1011312652448209e-5)
smoothing 0.00001 evaluation 2880: force 1.9571, moment 0.6970, torque Some(-1.1011312652448209e-5)
