evaluation 14000: force 0.20287460992069095, moment 0.07649813589004217, torque Some(0.25487021082257943)
evaluation 14200: force 0.20287460992069095, moment 0.07649813589004217, torque Some(0.25487021082257943)
evaluation 14400: force 0.20287460992069095, moment 0.07649813589004217, torque Some(0.25487021082257943)
evaluation 14600: force 0.20287460992069095, moment 0.07649813589004217, torque Some(0.25487021082257943)
evaluation 14800: force 0.20287460992069095, moment 0.07649813589004217, torque Some(0.25487021082257943)
evaluation 15000: force 0.20432798268841026, moment 0.07265254500676062, torque Some(0.2588615973587633)
evaluation 15200: force 0.20432798268841026, moment 0.07265254500676062, torque Some(0.25886160313226614)
evaluation 15400: force 0.20432798268841026, moment 0.07265254500676062, torque Some(0.2588615973587633)
evaluation 15600: force 0.20432798268841026, moment 0.07265254500676062, torque Some(0.2588615973587633)
evaluation 15800: force 0.20432798268841026, moment 0.07265254500676062, torque Some(0.2588615973587633)
evaluation 16000: force 0.20432798268841026, moment 0.07265254500676062, torque Some(0.2588615973587633)
evaluation 16200: force 0.20707512244649545, moment 0.06961477028030301, torque Some(0.2623293234866343)
evaluation 16400: force 0.20707512244649545, moment 0.06961477028030301, torque Some(0.2623293238285311)
evaluation 16600: force 0.20707512244649545, moment 0.06961477028030301, torque Some(0.2623293234866343)
evaluation 16800: force 0.20707512244649545, moment 0.06961477028030301, torque Some(0.2623293234866343)
evaluation 17000: force 0.20707512244649545, moment 0.06938030526628426, torque Some(0.2623293234866343)
evaluation 17200: force 0.20707512244649545, moment 0.06961477028030301, torque Some(0.2623293234866343)
evaluation 17400: force 0.20280176272841552, moment 0.07185273397033079, torque Some(0.2633421479447554)
evaluation 17600: force 0.20280176272841552, moment 0.07185273397033079, torque Some(0.2633421479447554)
evaluation 17800: force 0.20280176272841552, moment 0.07185273397033079, torque Some(0.2633421479447554)
evaluation 18000: force 0.20280176272841552, moment 0.07185273397033079, torque Some(0.2633421479447554)
evaluation 18200: force 0.2028479127299034, moment 0.07182368229220765, torque Some(0.2633421479447554)
evaluation 18400: force 0.20687132621847804, moment 0.07801447454438705, torque Some(0.264254100424384)
evaluation 18600: force 0.20687132621847804, moment 0.07801447454438705, torque Some(0.264254100424384)
evaluation 18800: force 0.20687132621847804, moment 0.07801447454438705, torque Some(0.264254100424384)
evaluation 19000: force 0.20687132621847804, moment 0.07801447454438705, torque Some(0.264254100424384)
evaluation 19200: force 0.20687132621847804, moment 0.07801447454438705, torque Some(0.264254100424384)
evaluation 19400: force 0.20687263856595675, moment 0.07801447454438705, torque Some(0.264254100424384)
evaluation 19600: force 0.19197080464416932, moment 0.07956567027060257, torque Some(0.26452979751765276)
evaluation 19800: force 0.19197080464416932, moment 0.07956567027060257, torque Some(0.26452979751765276)
evaluation 20000: force 0.19197080464416932, moment 0.07956567027060257, torque Some(0.26452979751765276)
evaluation 20200: force 0.19197080464416932, moment 0.07956567027060257, torque Some(0.26452979751765276)
evaluation 20400: force 0.19197080464416932, moment 0.07961706011022852, torque Some(0.26452979751765276)
evaluation 20600: force 0.19197080464416932, moment 0.07956567027060257, torque Some(0.26452979751765276)
evaluation 20800: force 0.20226971575856387, moment 0.0737709720219407, torque Some(0.26462254099050775)
evaluation 21000: force 0.20226971575856387, moment 0.0737709720219407, torque Some(0.26462253080304715)
evaluation 21200: force 0.20226971575856387, moment 0.0737709720219407, torque Some(0.26462254099050775)
evaluation 21400: force 0.20226971575856387, moment 0.0737709720219407, torque Some(0.26462254099050775)
evaluation 21600: force 0.20226971575856387, moment 0.07376317794911567, torque Some(0.26462254099050775)
evaluation 21800: force 0.20226971575856387, moment 0.0737709720219407, torque Some(0.26462254099050775)
evaluation 22000: force 0.2071389764682837, moment 0.0717770790038269, torque Some(0.26488703289142185)
evaluation 22200: force 0.2071389764682837, moment 0.0717770790038269, torque Some(0.26488703289142185)
evaluation 22400: force 0.2071389764682837, moment 0.0717770790038269, torque Some(0.26488703289142185)
evaluation 22600: force 0.2071389764682837, moment 0.0717770790038269, torque Some(0.26488703289142185)
evaluation 22800: force 0.20714218370578777, moment 0.07177705365217583, torque Some(0.26488703289142185)
evaluation 23000: force 0.20774600712814156, moment 0.07168067556317924, torque Some(0.26496573238811905)
evaluation 23200: force 0.20774600712814156, moment 0.07168067556317924, torque Some(0.264965733489726)
evaluation 23400: force 0.20774600712814156, moment 0.07168067556317924, torque Some(0.26496573238811905)
evaluation 23600: force 0.20774600712814156, moment 0.07168067556317924, torque Some(0.26496573238811905)
evaluation 23800: force 0.20774600712814156, moment 0.07168067556317924, torque Some(0.26496573238811905)
