smoothing 0.003 evaluation 1400: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1420: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1440: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1460: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1480: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1500: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1520: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1540: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1560: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1580: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1600: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1620: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1640: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1660: force 7.0332, moment 0.9302, torque Some(1.0942215068022174)
smoothing 0.003 evaluation 1680: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1700: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1720: force 7.0332, moment 0.9302, torque Some(1.0942214668095045)
smoothing 0.003 evaluation 1740: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 1760: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 1780: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 1800: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 1820: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 1840: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 1860: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 1880: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 1900: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 1920: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 1940: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 1960: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 1980: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2000: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2020: force 6.2780, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2040: force 6.2772, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2060: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2080: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2100: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2120: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2140: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2160: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2180: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
