evaluation 13200: force 0.19334241385707654, moment 0.05992973147771674, torque Some(-1.244719036597175e-5)
evaluation 13400: force 0.19334241385707654, moment 0.05992973147771674, torque Some(-1.244719036597175e-5)
evaluation 13600: force 0.19334241385707654, moment 0.05992973147771674, torque Some(-1.244719036597175e-5)
evaluation 13800: force 0.19424379321195542, moment 0.05988411613544442, torque Some(-0.0010614319503164937)
evaluation 14000: force 0.19424379321195542, moment 0.05988411613544442, torque Some(-0.0010614319503164937)
evaluation 14200: force 0.19424379321195542, moment 0.05988411613544442, torque Some(-0.0010614319503164937)
evaluation 14400: force 0.19424379321195542, moment 0.05988411613544442, torque Some(-0.0010614319503164937)
evaluation 14600: force 0.19424379321195542, moment 0.05988411613544442, torque Some(-0.0010614319503164937)
evaluation 14800: force 0.19424379321195542, moment 0.05988411613544442, torque Some(-0.0010614319503164937)
evaluation 15000: force 0.1944390111460299, moment 0.05984352899212486, torque Some(-1.2356181669392896e-5)
evaluation 15200: force 0.1944390111460299, moment 0.05985085817392877, torque Some(-1.2356181669392896e-5)
evaluation 15400: force 0.1944390111460299, moment 0.05984352899212486, torque Some(-1.2356181669392896e-5)
evaluation 15600: force 0.1944390111460299, moment 0.05984352899212486, torque Some(-1.2356181669392896e-5)
evaluation 15800: force 0.19445189568707275, moment 0.05984352899212486, torque Some(-1.2356181669392896e-5)
evaluation 16000: force 0.1944390111460299, moment 0.05984352899212486, torque Some(-1.2356181669392896e-5)
evaluation 16200: force 0.19492230844293715, moment 0.05974123694968614, torque Some(-1.3054168579440528e-5)
evaluation 16400: force 0.19492230844293715, moment 0.059741229272761265, torque Some(-1.2151215575961771e-5)
evaluation 16600: force 0.19492230844293715, moment 0.05974123694968614, torque Some(-1.2151215575961771e-5)
evaluation 16800: force 0.19492230844293715, moment 0.05974123694968614, torque Some(-1.2151215575961771e-5)
evaluation 17000: force 0.1949193633641959, moment 0.05974123694968614, torque Some(-1.2151215575961771e-5)
evaluation 17200: force 0.19492230844293715, moment 0.05974123694968614, torque Some(-1.2151215575961771e-5)
evaluation 17400: force 0.19631555211039242, moment 0.05968351594484389, torque Some(-1.2072931323992009e-5)
evaluation 17600: force 0.19631555211039242, moment 0.05968351594484389, torque Some(-1.2072931323992009e-5)
evaluation 17800: force 0.19631555211039242, moment 0.05968351594484389, torque Some(-1.2072931323992009e-5)
evaluation 18000: force 0.19631555211039242, moment 0.05968351594484389, torque Some(-1.2072931323992009e-5)
evaluation 18200: force 0.19631555211039242, moment 0.05968351594484389, torque Some(-1.2072931323992009e-5)
evaluation 18400: force 0.19683886032964032, moment 0.059666030410772786, torque Some(-1.1975515683770865e-5)
evaluation 18600: force 0.19683886032964032, moment 0.059666030410772786, torque Some(-1.1975515683770865e-5)
evaluation 18800: force 0.19683886032964032, moment 0.059666030410772786, torque Some(-1.1975515683770865e-5)
evaluation 19000: force 0.19683886032964032, moment 0.059666030410772786, torque Some(-1.1975515683770865e-5)
evaluation 19200: force 0.19683886032964032, moment 0.059666030410772786, torque Some(-1.1975515683770865e-5)
evaluation 19400: force 0.19683886032964032, moment 0.059666030410772786, torque Some(-1.1975515683770865e-5)
evaluation 19600: force 0.19731749199341286, moment 0.05961823884985806, torque Some(-0.0010350036979164812)
evaluation 19800: force 0.19731749199341286, moment 0.05961736516009686, torque Some(-0.0010350036979164812)
evaluation 20000: force 0.19731749199341286, moment 0.05961823884985806, torque Some(-0.0010350036979164812)
evaluation 20200: force 0.19731749199341286, moment 0.05961823884985806, torque Some(-0.0010350036979164812)
evaluation 20400: force 0.19733600907111656, moment 0.05961823884985806, torque Some(-0.0010350036979164812)
evaluation 20600: force 0.19731749199341286, moment 0.05961823884985806, torque Some(-0.0010350036979164812)
evaluation 20800: force 0.1982653318769049, moment 0.05957132477811555, torque Some(-1.2272250504263837e-5)
evaluation 21000: force 0.1982653318769049, moment 0.05957295112272365, torque Some(-1.226225749206833e-5)
evaluation 21200: force 0.1982653318769049, moment 0.05957132477811555, torque Some(-1.226225749206833e-5)
evaluation 21400: force 0.1982653318769049, moment 0.05957132477811555, torque Some(-1.226225749206833e-5)
evaluation 21600: force 0.1982648756376443, moment 0.05957132477811555, torque Some(-1.226225749206833e-5)
evaluation 21800: force 0.1982653318769049, moment 0.05957132477811555, torque Some(-1.226225749206833e-5)
evaluation 22000: force 0.19874531182432395, moment 0.05955808140562424, torque Some(-1.240833978144451e-5)
evaluation 22200: force 0.19874531182432395, moment 0.05955808140562424, torque Some(-1.2101527101515686e-5)
evaluation 22400: force 0.19874531182432395, moment 0.05955808140562424, torque Some(-1.2101527101515686e-5)
evaluation 22600: force 0.19874531182432395, moment 0.05955808140562424, torque Some(-1.2101527101515686e-5)
evaluation 22800: force 0.19874531182432395, moment 0.05955808140562424, torque Some(-1.2101527101515686e-5)
evaluation 23000: force 0.19886669341212, moment 0.05955413863649528, torque Some(-1.205225440981117e-5)
evaluation 23200: force 0.19886669341212, moment 0.05955413863649528, torque Some(-1.205225440981117e-5)
evaluation 23400: force 0.19886669341212, moment 0.05955413863649528, torque Some(-1.205225440981117e-5)
evaluation 23600: force 0.19886669341212, moment 0.05955413863649528, torque Some(-1.205225440981117e-5)
evaluation 23800: force 0.19886669341212, moment 0.05955413863649528, torque Some(-1.205225440981117e-5)
evaluation 24000: force 0.19886669341212, moment 0.05955413863649528, torque Some(-1.205225440981117e-5)
evaluation 24200: force 0.19889839113396066, moment 0.05955296061962034, torque Some(-1.2038377905643216e-5)
evaluation 24400: force 0.19889839113396066, moment 0.059553863144323094, torque Some(-1.2038377905643216e-5)
evaluation 24600: force 0.19889839113396066, moment 0.05955296061962034, torque Some(-1.2038377905643216e-5)
evaluation 24800: force 0.19889839113396066, moment 0.05955296061962034, torque Some(-1.2038377905643216e-5)
evaluation 25000: force 0.19887991422804324, moment 0.05955296061962034, torque Some(-1.2038377905643216e-5)
evaluation 25200: force 0.19889839113396066, moment 0.05955296061962034, torque Some(-1.2038377905643216e-5)
evaluation 25400: force 0.19896645760013199, moment 0.05954934214977503, torque Some(-0.00034099355816408217)
evaluation 25600: force 0.19896645760013199, moment 0.05956283172954269, torque Some(-0.00034099355816408217)
evaluation 25800: force 0.19896645760013199, moment 0.05954934214977503, torque Some(-0.00034099355816408217)
evaluation 26000: force 0.19896645760013199, moment 0.05954934214977503, torque Some(-0.00034099355816408217)
evaluation 26200: force 0.19896813977769012, moment 0.05954934214977503, torque Some(-0.00034099355816408217)
evaluation 26400: force 0.19896645760013199, moment 0.05954934214977503, torque Some(-0.00034099355816408217)
evaluation 26600: force 0.19909895892476598, moment 0.05953865106306955, torque Some(-1.205640805346242e-5)
evaluation 26800: force 0.19909895892476598, moment 0.05953865106306955, torque Some(-1.205641598600593e-5)
