evaluation 14000: force 0.11908718775505299, moment 0.06988139770755475, torque Some(0.31895194639665536)
evaluation 14200: force 0.11908718775505299, moment 0.06988139770755475, torque Some(0.31895194661074905)
evaluation 14400: force 0.11908718775505299, moment 0.06988139770755475, torque Some(0.31895194661074905)
evaluation 14600: force 0.11908718775505299, moment 0.06988139770755475, torque Some(0.31895194661074905)
evaluation 14800: force 0.11908684688304556, moment 0.06988162913263703, torque Some(0.31895194661074905)
evaluation 15000: force 0.11906838341623581, moment 0.06982483677880147, torque Some(0.3192024695954382)
evaluation 15200: force 0.11906838341623581, moment 0.06982483677880147, torque Some(0.31920250256910093)
evaluation 15400: force 0.11906838341623581, moment 0.06982483677880147, torque Some(0.3192024695954382)
evaluation 15600: force 0.11906838341623581, moment 0.06982483677880147, torque Some(0.3192024695954382)
evaluation 15800: force 0.11906838341623581, moment 0.06982483677880147, torque Some(0.3192024695954382)
evaluation 16000: force 0.11906838341623581, moment 0.06982483677880147, torque Some(0.3192024695954382)
evaluation 16200: force 0.11902491511869391, moment 0.06979445111216809, torque Some(0.31946229470845205)
evaluation 16400: force 0.11902491511869391, moment 0.06979445111216809, torque Some(0.31946229470845205)
evaluation 16600: force 0.11902491511869391, moment 0.06979445111216809, torque Some(0.31946229470845205)
evaluation 16800: force 0.11902491511869391, moment 0.06979445111216809, torque Some(0.31946229470845205)
evaluation 17000: force 0.11901092874985397, moment 0.06979700348319169, torque Some(0.31946229470845205)
evaluation 17200: force 0.11902491511869391, moment 0.06979445111216809, torque Some(0.31946229470845205)
evaluation 17400: force 0.11884900113939678, moment 0.06968504351946511, torque Some(0.3202353713058729)
evaluation 17600: force 0.11884900113939678, moment 0.06968504351946511, torque Some(0.3202353713058729)
evaluation 17800: force 0.11884900113939678, moment 0.06968504351946511, torque Some(0.3202353713058729)
evaluation 18000: force 0.11884900113939678, moment 0.06968504351946511, torque Some(0.3202353713058729)
evaluation 18200: force 0.11884970782856807, moment 0.06968464073212774, torque Some(0.3202353713058729)
evaluation 18400: force 0.11837991259843995, moment 0.06928449260456941, torque Some(0.3222131009518314)
evaluation 18600: force 0.11837991259843995, moment 0.06928449260456941, torque Some(0.32221309745519733)
evaluation 18800: force 0.11837991259843995, moment 0.06928449260456941, torque Some(0.3222131009518314)
evaluation 19000: force 0.11837991259843995, moment 0.06928449260456941, torque Some(0.3222131009518314)
evaluation 19200: force 0.11837991259843995, moment 0.06928449260456941, torque Some(0.3222131009518314)
evaluation 19400: force 0.11837991259843995, moment 0.06928449260456941, torque Some(0.3222131009518314)
evaluation 19600: force 0.1178602780476135, moment 0.0687547879220411, torque Some(0.3240646909782984)
evaluation 19800: force 0.1178602780476135, moment 0.0687547879220411, torque Some(0.3240647433268454)
evaluation 20000: force 0.1178602780476135, moment 0.0687547879220411, torque Some(0.3240646909782984)
evaluation 20200: force 0.1178602780476135, moment 0.0687547879220411, torque Some(0.3240646909782984)
evaluation 20400: force 0.1178602780476135, moment 0.0687547879220411, torque Some(0.3240646909782984)
evaluation 20600: force 0.1178602780476135, moment 0.0687547879220411, torque Some(0.3240646909782984)
evaluation 20800: force 0.11748494478406804, moment 0.06820233760784403, torque Some(0.32568166998241166)
evaluation 21000: force 0.11748494478406804, moment 0.06820233760784403, torque Some(0.32568166998241166)
evaluation 21200: force 0.11748494478406804, moment 0.06820233760784403, torque Some(0.32568166998241166)
evaluation 21400: force 0.11748494478406804, moment 0.06820233760784403, torque Some(0.32568166998241166)
evaluation 21600: force 0.11739648281333125, moment 0.06823574860090767, torque Some(0.32568166998241166)
evaluation 21800: force 0.11748494478406804, moment 0.06820233760784403, torque Some(0.32568166998241166)
evaluation 22000: force 0.1159848240052677, moment 0.06613564542905911, torque Some(0.3296951900550862)
evaluation 22200: force 0.1159848240052677, moment 0.06613564542905911, torque Some(0.3296951900550862)
