smoothing 0.01 evaluation 1380: force 9.0903, moment 3.2699, torque Some(-1.2841976397209907)
smoothing 0.01 evaluation 1400: force 9.0911, moment 3.2695, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1420: force 9.0917, moment 3.2697, torque Some(-1.2842578181171302)
smoothing 0.01 evaluation 1440: force 9.0896, moment 3.2699, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1460: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1480: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1500: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1520: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1540: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1560: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1580: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1600: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1620: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1640: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1660: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1680: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1700: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1720: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1740: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1760: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1780: force 11.3924, moment 2.1069, torque Some(-1.3778141407016593)
smoothing 0.01 evaluation 1800: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1820: force 11.3924, moment 2.1065, torque Some(-1.3777816978718023)
smoothing 0.01 evaluation 1840: force 11.3924, moment 2.1062, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1860: force 11.3894, moment 2.1067, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1880: force 11.3871, moment 2.1035, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1900: force 11.3925, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1920: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1940: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1960: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1980: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 2000: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 2020: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 2040: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 2060: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 2080: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 2100: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 2120: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 2140: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 2160: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 2180: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2200: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2220: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2240: force 5.3129, moment 2.1759, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2260: force 5.3132, moment 2.1761, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2280: force 5.3118, moment 2.1754, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2300: force 5.3108, moment 2.1720, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2320: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2340: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2360: force 5.3129, moment 2.1758, torque Some(-0.2945708878447659)
smoothing 0.01 evaluation 2380: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2400: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2420: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2440: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2460: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2480: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2500: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2520: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2540: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2560: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2580: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2600: force 5.3129, moment 2.1758, torque Some(-0.29457044930949516)
smoothing 0.01 evaluation 2620: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 2640: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 2660: force 2.4953, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 2680: force 2.4952, moment 0.9631, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 2700: force 2.4951, moment 0.9631, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 2720: force 2.4999, moment 0.9653, torque Some(-0.44556482354076854)
smoothing 0.01 evaluation 2740: force 2.4964, moment 0.9619, torque Some(-0.44557088633346364)
smoothing 0.01 evaluation 2760: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 2780: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 2800: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 2820: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 2840: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 2860: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
