evaluation 13200: force 0.17549471508875836, moment 0.051137552655610895, torque Some(-5.731210192649883e-6)
evaluation 13400: force 0.17549471508875836, moment 0.051137552655610895, torque Some(-5.731210192649883e-6)
evaluation 13600: force 0.17549471508875836, moment 0.051137552655610895, torque Some(-5.731210192649883e-6)
evaluation 13800: force 0.17549445708089295, moment 0.051137543120210335, torque Some(-5.748402462923963e-6)
evaluation 14000: force 0.17549445708089295, moment 0.051137543120210335, torque Some(-5.748402462923963e-6)
evaluation 14200: force 0.17549445708089295, moment 0.051137543120210335, torque Some(-5.748402462923963e-6)
evaluation 14400: force 0.17549445708089295, moment 0.051137543120210335, torque Some(-5.748402462923963e-6)
evaluation 14600: force 0.17549445708089295, moment 0.051137543120210335, torque Some(-5.748402462923963e-6)
evaluation 14800: force 0.17549445708089295, moment 0.051137543120210335, torque Some(-5.748402462923963e-6)
evaluation 15000: force 0.1754938771540222, moment 0.05113755127408032, torque Some(-5.799553220109388e-6)
evaluation 15200: force 0.1754938771540222, moment 0.05114343002548579, torque Some(-5.7793681864648505e-6)
evaluation 15400: force 0.1754938771540222, moment 0.05113755127408032, torque Some(-5.7793681864648505e-6)
evaluation 15600: force 0.1754938771540222, moment 0.05113755127408032, torque Some(-5.7793681864648505e-6)
evaluation 15800: force 0.17548765163220548, moment 0.05113755127408032, torque Some(-5.7793681864648505e-6)
evaluation 16000: force 0.1754938771540222, moment 0.05113755127408032, torque Some(-5.7793681864648505e-6)
evaluation 16200: force 0.17549371595908664, moment 0.05113757544661849, torque Some(-5.789972610026339e-6)
evaluation 16400: force 0.17549371595908664, moment 0.05114547423008201, torque Some(-5.789972610026339e-6)
evaluation 16600: force 0.17549371595908664, moment 0.05113757544661849, torque Some(-5.789972610026339e-6)
evaluation 16800: force 0.17549371595908664, moment 0.05113757544661849, torque Some(-5.789972610026339e-6)
evaluation 17000: force 0.17549145808254488, moment 0.05113757544661849, torque Some(-5.789972610026339e-6)
evaluation 17200: force 0.17549371595908664, moment 0.05113757544661849, torque Some(-5.789972610026339e-6)
evaluation 17400: force 0.1754936704624739, moment 0.051137584093726624, torque Some(-5.7931673418387675e-6)
evaluation 17600: force 0.1754936704624739, moment 0.05113817314178107, torque Some(-5.7931673418387675e-6)
evaluation 17800: force 0.1754936704624739, moment 0.051137584093726624, torque Some(-5.7931673418387675e-6)
evaluation 18000: force 0.1754936704624739, moment 0.051137584093726624, torque Some(-5.7931673418387675e-6)
evaluation 18200: force 0.1754936704624739, moment 0.051137584093726624, torque Some(-5.7931673418387675e-6)
evaluation 18400: force 0.17549353990864422, moment 0.05113760513167613, torque Some(-5.801196384602747e-6)
evaluation 18600: force 0.17549353990864422, moment 0.05113760513167613, torque Some(-5.801196384602747e-6)
evaluation 18800: force 0.17549353990864422, moment 0.05113760513167613, torque Some(-5.801196384602747e-6)
evaluation 19000: force 0.17549353990864422, moment 0.05113760513167613, torque Some(-5.801196384602747e-6)
evaluation 19200: force 0.17549353990864422, moment 0.05113760513167613, torque Some(-5.801196384602747e-6)
evaluation 19400: force 0.17549353990864422, moment 0.05113760513167613, torque Some(-5.801196384602747e-6)
evaluation 19600: force 0.17549311961994238, moment 0.051137669871815054, torque Some(-5.835591634140158e-6)
evaluation 19800: force 0.17549311961994238, moment 0.05113384927546687, torque Some(-5.833434262747517e-6)
evaluation 20000: force 0.17549311961994238, moment 0.051137669871815054, torque Some(-5.833434262747517e-6)
evaluation 20200: force 0.17549311961994238, moment 0.051137669871815054, torque Some(-5.833434262747517e-6)
evaluation 20400: force 0.17550154634528917, moment 0.051137669871815054, torque Some(-5.833434262747517e-6)
evaluation 20600: force 0.17549311961994238, moment 0.051137669871815054, torque Some(-5.833434262747517e-6)
evaluation 20800: force 0.175493000489653, moment 0.0511377276682869, torque Some(-5.925971801046259e-6)
evaluation 21000: force 0.175493000489653, moment 0.05113477090855829, torque Some(-5.833967670509921e-6)
evaluation 21200: force 0.175493000489653, moment 0.0511377276682869, torque Some(-5.833967670509921e-6)
evaluation 21400: force 0.175493000489653, moment 0.0511377276682869, torque Some(-5.833967670509921e-6)
evaluation 21600: force 0.17548930955756326, moment 0.0511377276682869, torque Some(-5.833967670509921e-6)
evaluation 21800: force 0.175493000489653, moment 0.0511377276682869, torque Some(-5.833967670509921e-6)
evaluation 22000: force 0.17549296471698717, moment 0.05113774516722344, torque Some(-5.833618753170455e-6)
evaluation 22200: force 0.17549296471698717, moment 0.05113899408360028, torque Some(-5.833618753170455e-6)
evaluation 22400: force 0.17549296471698717, moment 0.05113774516722344, torque Some(-5.833618753170455e-6)
evaluation 22600: force 0.17549296471698717, moment 0.05113774516722344, torque Some(-5.833618753170455e-6)
evaluation 22800: force 0.17549296471698717, moment 0.05113774516722344, torque Some(-5.833618753170455e-6)
evaluation 23000: force 0.1754928550770871, moment 0.05113778332332418, torque Some(-5.833906223662311e-6)
evaluation 23200: force 0.1754928550770871, moment 0.05113778332332418, torque Some(-5.833906223662311e-6)
evaluation 23400: force 0.1754928550770871, moment 0.05113778332332418, torque Some(-5.833906223662311e-6)
evaluation 23600: force 0.1754928550770871, moment 0.05113778332332418, torque Some(-5.833906223662311e-6)
evaluation 23800: force 0.1754928550770871, moment 0.05113778332332418, torque Some(-5.833906223662311e-6)
evaluation 24000: force 0.1754928550770871, moment 0.05113778332332418, torque Some(-5.833906223662311e-6)
evaluation 24200: force 0.1754928201318479, moment 0.051137795101302015, torque Some(-5.834373394408843e-6)
evaluation 24400: force 0.1754928201318479, moment 0.05114419445326389, torque Some(-5.834373394408843e-6)
evaluation 24600: force 0.1754928201318479, moment 0.051137795101302015, torque Some(-5.834373394408843e-6)
