evaluation 13600: force 0.16259514458666585, moment 0.04685978062922169, torque Some(-0.0010059640470445608)
evaluation 13800: force 0.16145248601327078, moment 0.04706753724396018, torque Some(-0.0010053020966462878)
evaluation 14000: force 0.16145248601327078, moment 0.04706753724396018, torque Some(-0.0010053020966462878)
evaluation 14200: force 0.16145248601327078, moment 0.04706753724396018, torque Some(-0.0010053020966462878)
evaluation 14400: force 0.16145248601327078, moment 0.04706753724396018, torque Some(-0.0010053020966462878)
evaluation 14600: force 0.16145248601327078, moment 0.04706753724396018, torque Some(-0.0010053020966462878)
evaluation 14800: force 0.16145248601327078, moment 0.04706753724396018, torque Some(-0.0010053020966462878)
evaluation 15000: force 0.1611311409896604, moment 0.04730810212700787, torque Some(-0.0010096159495540658)
evaluation 15200: force 0.1611311409896604, moment 0.04730583345716077, torque Some(-0.0010079806086593646)
evaluation 15400: force 0.1611311409896604, moment 0.04730810212700787, torque Some(-0.0010079806086593646)
evaluation 15600: force 0.1611311409896604, moment 0.04730810212700787, torque Some(-0.0010079806086593646)
evaluation 15800: force 0.16112792549348395, moment 0.04730810212700787, torque Some(-0.0010079806086593646)
evaluation 16000: force 0.1611311409896604, moment 0.04730810212700787, torque Some(-0.0010079806086593646)
evaluation 16200: force 0.16026310355010728, moment 0.04733483522502557, torque Some(-0.001004492927605849)
evaluation 16400: force 0.16026310355010728, moment 0.04732689044550109, torque Some(-0.001004492927605849)
evaluation 16600: force 0.16026310355010728, moment 0.04733483522502557, torque Some(-0.001004492927605849)
evaluation 16800: force 0.16026310355010728, moment 0.04733483522502557, torque Some(-0.001004492927605849)
evaluation 17000: force 0.16026457704072827, moment 0.04733483522502557, torque Some(-0.001004492927605849)
evaluation 17200: force 0.16026310355010728, moment 0.04733483522502557, torque Some(-0.001004492927605849)
evaluation 17400: force 0.1584557505466732, moment 0.04743185161932639, torque Some(-0.0010007194337156022)
evaluation 17600: force 0.1584557505466732, moment 0.04743183029214504, torque Some(-0.0010007194337156022)
