smoothing 0.001 evaluation 1360: force 0.0069, moment 0.0019, torque Some(-0.018629269919287983)
smoothing 0.001 evaluation 1380: force 0.0216, moment 0.0037, torque Some(-0.018629269919287983)
smoothing 0.001 evaluation 1400: force 0.0131, moment 0.0037, torque Some(-0.018629269919287983)
smoothing 0.001 evaluation 1420: force 0.0177, moment 0.0096, torque Some(-0.018629269919287983)
smoothing 0.001 evaluation 1440: force 0.0083, moment 0.0019, torque Some(-0.018629269919287983)
smoothing 0.001 evaluation 1460: force 0.0074, moment 0.0036, torque Some(-0.018629269919287983)
smoothing 0.001 evaluation 1480: force 0.0076, moment 0.0019, torque Some(-0.018629269919287983)
smoothing 0.001 evaluation 1500: force 0.0107, moment 0.0029, torque Some(-0.018629269919287983)
smoothing 0.001 evaluation 1520: force 0.0071, moment 0.0019, torque Some(-0.018629269919287983)
smoothing 0.001 evaluation 1540: force 0.0069, moment 0.0020, torque Some(-0.018629269919287983)
smoothing 0.001 evaluation 1560: force 0.0110, moment 0.0019, torque Some(-0.01862997366600566)
smoothing 0.001 evaluation 1580: force 0.0078, moment 0.0021, torque Some(-0.018629269919287983)
smoothing 0.001 evaluation 1600: force 0.0073, moment 0.0100, torque Some(-0.018614093272393994)
smoothing 0.001 evaluation 1620: force 0.0115, moment 0.0019, torque Some(-0.018629269919287983)
smoothing 0.001 evaluation 1640: force 0.0069, moment 0.0051, torque Some(-0.01862420135664128)
smoothing 0.001 evaluation 1660: force 0.0069, moment 0.0028, torque Some(-0.018618998494802752)
smoothing 0.001 evaluation 1680: force 0.0121, moment 0.0067, torque Some(-0.018629269919287983)
smoothing 0.001 evaluation 1700: force 0.0131, moment 0.0025, torque Some(-0.018629269919287983)
smoothing 0.001 evaluation 1720: force 0.0069, moment 0.0019, torque Some(-0.018629269919287983)
smoothing 0.001 evaluation 1740: force 0.0143, moment 0.0027, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 1760: force 0.0095, moment 0.0020, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 1780: force 0.0217, moment 0.0020, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 1800: force 0.0067, moment 0.0020, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 1820: force 0.0146, moment 0.0092, torque Some(-0.001929966116696491)
smoothing 0.001 evaluation 1840: force 0.0111, moment 0.0020, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 1860: force 0.0127, moment 0.0048, torque Some(-0.001955890437359331)
smoothing 0.001 evaluation 1880: force 0.0197, moment 0.0096, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 1900: force 0.0160, moment 0.0020, torque Some(-0.001780554948024371)
