evaluation 14000: force 0.21669147779902828, moment 0.1234782007156482, torque Some(0.2328932124772477)
evaluation 14200: force 0.21669147779902828, moment 0.1234782007156482, torque Some(0.2328932124772477)
evaluation 14400: force 0.21669147779902828, moment 0.1234782007156482, torque Some(0.2328932124772477)
evaluation 14600: force 0.21669147779902828, moment 0.1234782007156482, torque Some(0.2328932124772477)
evaluation 14800: force 0.21669132566629268, moment 0.123478403238641, torque Some(0.2328932124772477)
evaluation 15000: force 0.2158508857667997, moment 0.12309772261658715, torque Some(0.23258557130160679)
evaluation 15200: force 0.2158508857667997, moment 0.12309772261658715, torque Some(0.23258562385885395)
evaluation 15400: force 0.2158508857667997, moment 0.12309772261658715, torque Some(0.23258557130160679)
evaluation 15600: force 0.2158508857667997, moment 0.12309772261658715, torque Some(0.23258557130160679)
evaluation 15800: force 0.2158508857667997, moment 0.12309772261658715, torque Some(0.23258557130160679)
evaluation 16000: force 0.2158508857667997, moment 0.12309772261658715, torque Some(0.23258557130160679)
evaluation 16200: force 0.21486716687449156, moment 0.12259105519997358, torque Some(0.23226101539066188)
evaluation 16400: force 0.21486716687449156, moment 0.12259105519997358, torque Some(0.23226101539066188)
evaluation 16600: force 0.21486716687449156, moment 0.12259105519997358, torque Some(0.23226101539066188)
evaluation 16800: force 0.21486716687449156, moment 0.12259105519997358, torque Some(0.23226101539066188)
evaluation 17000: force 0.21486539675930422, moment 0.12258968320943626, torque Some(0.23226101539066188)
evaluation 17200: force 0.21486716687449156, moment 0.12259105519997358, torque Some(0.23226101539066188)
evaluation 17400: force 0.21452610866680397, moment 0.12256131700775491, torque Some(0.23215535175254157)
evaluation 17600: force 0.21452610866680397, moment 0.12256131700775491, torque Some(0.23215535175254157)
evaluation 17800: force 0.21452610866680397, moment 0.12256131700775491, torque Some(0.23215535175254157)
evaluation 18000: force 0.21452610866680397, moment 0.12256131700775491, torque Some(0.23215535175254157)
evaluation 18200: force 0.21452648236517788, moment 0.12256171862612958, torque Some(0.23215535175254157)
evaluation 18400: force 0.21390088384627914, moment 0.12252294613518076, torque Some(0.23213070282363465)
evaluation 18600: force 0.21390088384627914, moment 0.12252294613518076, torque Some(0.23213070282363465)
evaluation 18800: force 0.21390088384627914, moment 0.12252294613518076, torque Some(0.23213070282363465)
evaluation 19000: force 0.21390088384627914, moment 0.12252294613518076, torque Some(0.23213070282363465)
evaluation 19200: force 0.21390088384627914, moment 0.12252294613518076, torque Some(0.23213070282363465)
evaluation 19400: force 0.2139008959216341, moment 0.12252281315602231, torque Some(0.23213070282363465)
evaluation 19600: force 0.213632098352683, moment 0.12214222101656436, torque Some(0.23196920297625057)
