smoothing 0.003 evaluation 1360: force 5.7260, moment 1.6750, torque Some(-0.040000270747552934)
smoothing 0.003 evaluation 1380: force 5.7260, moment 1.6750, torque Some(-0.040000325772175806)
smoothing 0.003 evaluation 1400: force 5.7260, moment 1.6750, torque Some(-0.040000270747552934)
smoothing 0.003 evaluation 1420: force 5.7260, moment 1.6750, torque Some(-0.040000271493759273)
smoothing 0.003 evaluation 1440: force 5.7260, moment 1.6750, torque Some(-0.040000270747552934)
smoothing 0.003 evaluation 1460: force 4.1240, moment 1.1962, torque Some(-0.005985835468447442)
smoothing 0.003 evaluation 1480: force 4.1240, moment 1.1962, torque Some(-0.005985835468447442)
smoothing 0.003 evaluation 1500: force 4.1240, moment 1.1962, torque Some(-0.0059830972019419)
smoothing 0.003 evaluation 1520: force 4.1240, moment 1.1962, torque Some(-0.005985835468447442)
smoothing 0.003 evaluation 1540: force 4.1240, moment 1.1962, torque Some(-0.005985835468447442)
smoothing 0.003 evaluation 1560: force 4.1240, moment 1.1962, torque Some(-0.005985835468447442)
smoothing 0.003 evaluation 1580: force 4.1240, moment 1.1962, torque Some(-0.005985835468447442)
smoothing 0.003 evaluation 1600: force 4.1240, moment 1.1962, torque Some(-0.005985835468447442)
smoothing 0.003 evaluation 1620: force 4.1240, moment 1.1962, torque Some(-0.005985835468447442)
smoothing 0.003 evaluation 1640: force 4.1240, moment 1.1962, torque Some(-0.005985835468447442)
smoothing 0.003 evaluation 1660: force 4.1240, moment 1.1962, torque Some(-0.005985835468447442)
smoothing 0.003 evaluation 1680: force 4.1240, moment 1.1962, torque Some(-0.005985835468447442)
smoothing 0.003 evaluation 1700: force 4.1240, moment 1.1962, torque Some(-0.0059849623552912234)
smoothing 0.003 evaluation 1720: force 4.1240, moment 1.1962, torque Some(-0.005985705700312982)
smoothing 0.003 evaluation 1740: force 3.6506, moment 0.9130, torque Some(-0.0010981809354146492)
smoothing 0.003 evaluation 1760: force 3.6506, moment 0.9130, torque Some(-0.0010981809354146492)
smoothing 0.003 evaluation 1780: force 3.6506, moment 0.9130, torque Some(-0.0010981809354146492)
smoothing 0.003 evaluation 1800: force 3.6506, moment 0.9130, torque Some(-0.0010981809354146492)
smoothing 0.003 evaluation 1820: force 3.6506, moment 0.9130, torque Some(-0.0010981809354146492)
smoothing 0.003 evaluation 1840: force 3.6506, moment 0.9130, torque Some(-0.0010981809354146492)
smoothing 0.003 evaluation 1860: force 3.6506, moment 0.9130, torque Some(-0.0010981809354146492)
smoothing 0.003 evaluation 1880: force 3.6506, moment 0.9130, torque Some(-0.001098179194542916)
