smoothing 0.00001 evaluation 1360: force 0.0518, moment 0.0231, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1380: force 0.0819, moment 0.0063, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1400: force 0.0117, moment 0.0052, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1420: force 0.0121, moment 0.0061, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1440: force 0.0918, moment 0.0257, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1460: force 0.0160, moment 0.0060, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1480: force 0.0117, moment 0.0051, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1500: force 0.0493, moment 0.0157, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1520: force 0.0152, moment 0.0067, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1540: force 0.0117, moment 0.0052, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1560: force 0.0726, moment 0.0069, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1580: force 0.0135, moment 0.0052, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1600: force 0.0117, moment 0.0052, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1620: force 0.0906, moment 0.0258, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1640: force 0.0117, moment 0.0052, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1660: force 0.0117, moment 0.0052, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1680: force 0.0483, moment 0.0127, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1700: force 0.0117, moment 0.0052, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1720: force 0.0117, moment 0.0052, torque Some(0.10700670855840855)
smoothing 0.00001 evaluation 1740: force 0.0090, moment 0.0040, torque Some(0.10722800796236265)
smoothing 0.00001 evaluation 1760: force 0.0090, moment 0.0040, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 1780: force 0.0090, moment 0.0040, torque Some(0.10698810653287572)
smoothing 0.00001 evaluation 1800: force 0.0090, moment 0.0040, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 1820: force 0.0090, moment 0.0040, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 1840: force 0.0090, moment 0.0040, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 1860: force 0.0304, moment 0.0101, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 1880: force 0.0090, moment 0.0040, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 1900: force 0.0090, moment 0.0040, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 1920: force 0.0090, moment 0.0040, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 1940: force 0.0090, moment 0.0040, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 1960: force 0.0329, moment 0.0390, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 1980: force 0.0497, moment 0.0177, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 2000: force 0.0090, moment 0.0040, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 2020: force 0.0090, moment 0.0040, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 2040: force 0.0310, moment 0.0086, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 2060: force 0.0090, moment 0.0040, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 2080: force 0.0090, moment 0.0040, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 2100: force 0.0090, moment 0.0040, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 2120: force 0.0090, moment 0.0040, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 2140: force 0.0381, moment 0.0364, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 2160: force 0.0241, moment 0.0076, torque Some(0.10722869613267005)
smoothing 0.00001 evaluation 2180: force 0.0049, moment 0.0023, torque Some(0.10755107865084268)
smoothing 0.00001 evaluation 2200: force 0.0049, moment 0.0023, torque Some(0.10755156130349763)
smoothing 0.00001 evaluation 2220: force 0.0049, moment 0.0023, torque Some(0.10755128783348233)
