evaluation 14000: force 0.1861177269165328, moment 0.09137717119341063, torque Some(0.22409553560053633)
evaluation 14200: force 0.1861177269165328, moment 0.09137717119341063, torque Some(0.22409553538714053)
evaluation 14400: force 0.1861177269165328, moment 0.09137717119341063, torque Some(0.22409553538714053)
evaluation 14600: force 0.1861177269165328, moment 0.09137717119341063, torque Some(0.22409553538714053)
evaluation 14800: force 0.18625383699478582, moment 0.0913769769160524, torque Some(0.22409553538714053)
evaluation 15000: force 0.21145476061457327, moment 0.08958872489042308, torque Some(0.23010400573657355)
evaluation 15200: force 0.21145476061457327, moment 0.08958872489042308, torque Some(0.2301039853186057)
evaluation 15400: force 0.21145476061457327, moment 0.08958872489042308, torque Some(0.23010400573657355)
evaluation 15600: force 0.21145476061457327, moment 0.08958872489042308, torque Some(0.23010400573657355)
evaluation 15800: force 0.21145476061457327, moment 0.08958872489042308, torque Some(0.23010400573657355)
evaluation 16000: force 0.2114343775621376, moment 0.08958872489042308, torque Some(0.23010400573657355)
evaluation 16200: force 0.17130044567307962, moment 0.0866603370605162, torque Some(0.24144892873576823)
evaluation 16400: force 0.17130044567307962, moment 0.0866603370605162, torque Some(0.24144892873576823)
evaluation 16600: force 0.17130044567307962, moment 0.0866603370605162, torque Some(0.24144892873576823)
evaluation 16800: force 0.17130044567307962, moment 0.0866603370605162, torque Some(0.24144892873576823)
evaluation 17000: force 0.17130044567307962, moment 0.08665831755590307, torque Some(0.24144892873576823)
evaluation 17200: force 0.17130044567307962, moment 0.0866603370605162, torque Some(0.24144892873576823)
evaluation 17400: force 0.17113506915363005, moment 0.08703086901715328, torque Some(0.24233616196126886)
evaluation 17600: force 0.17113506915363005, moment 0.08703086901715328, torque Some(0.24233616196126886)
evaluation 17800: force 0.17113506915363005, moment 0.08703086901715328, torque Some(0.24233616196126886)
evaluation 18000: force 0.17113506915363005, moment 0.08703086901715328, torque Some(0.24233616196126886)
evaluation 18200: force 0.17113641540157873, moment 0.08703046643445543, torque Some(0.24233616196126886)
