smoothing 0.003 evaluation 1400: force 11.8777, moment 2.9446, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1420: force 11.8778, moment 2.9446, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1440: force 11.8778, moment 2.9446, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1460: force 11.8778, moment 2.9446, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1480: force 11.8778, moment 2.9446, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1500: force 11.8778, moment 2.9446, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1520: force 11.8778, moment 2.9446, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1540: force 11.8778, moment 2.9446, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1560: force 11.8778, moment 2.9446, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1580: force 11.8778, moment 2.9446, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1600: force 11.8778, moment 2.9446, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1620: force 11.8778, moment 2.9446, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1640: force 11.8778, moment 2.9446, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1660: force 11.8778, moment 2.9446, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1680: force 11.8778, moment 2.9446, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1700: force 11.8778, moment 2.9449, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1720: force 11.8778, moment 2.9443, torque Some(1.1272342265449793)
smoothing 0.003 evaluation 1740: force 10.5143, moment 2.7835, torque Some(-0.9995914308641967)
smoothing 0.003 evaluation 1760: force 10.5141, moment 2.7835, torque Some(-0.9995708809269115)
smoothing 0.003 evaluation 1780: force 10.5141, moment 2.7835, torque Some(-0.9995565738298222)
smoothing 0.003 evaluation 1800: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 1820: force 10.5141, moment 2.7835, torque Some(-0.9995868686069025)
smoothing 0.003 evaluation 1840: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 1860: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 1880: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 1900: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 1920: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 1940: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 1960: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
