evaluation 14000: force 0.1580907728545284, moment 0.06356991857964193, torque Some(0.28126806086704)
evaluation 14200: force 0.1580907728545284, moment 0.06356972291132133, torque Some(0.28126806086704)
evaluation 14400: force 0.1580907728545284, moment 0.06356991857964193, torque Some(0.28126806086704)
evaluation 14600: force 0.1580907728545284, moment 0.06356991857964193, torque Some(0.28126806086704)
evaluation 14800: force 0.1580907728545284, moment 0.06356991857964193, torque Some(0.28126806086704)
evaluation 15000: force 0.12960531465195638, moment 0.06328590531396232, torque Some(0.2857637147963956)
evaluation 15200: force 0.12960531465195638, moment 0.06328590531396232, torque Some(0.2857637130241668)
evaluation 15400: force 0.1292346937646223, moment 0.06351299213150677, torque Some(0.2857637147963956)
evaluation 15600: force 0.12960531465195638, moment 0.06328590531396232, torque Some(0.2857637147963956)
evaluation 15800: force 0.12960531465195638, moment 0.06328590531396232, torque Some(0.2857637147963956)
evaluation 16000: force 0.12960531465195638, moment 0.06328590531396232, torque Some(0.2857637147963956)
evaluation 16200: force 0.1859181518590621, moment 0.06209052601361076, torque Some(0.29027727151348093)
evaluation 16400: force 0.1859181518590621, moment 0.06209052601361076, torque Some(0.2902772711688587)
evaluation 16600: force 0.1859181518590621, moment 0.06209024608081057, torque Some(0.29027727151348093)
evaluation 16800: force 0.1859181518590621, moment 0.06209052601361076, torque Some(0.29027727151348093)
evaluation 17000: force 0.18590701529126638, moment 0.06209052601361076, torque Some(0.29027727151348093)
evaluation 17200: force 0.1859181518590621, moment 0.06209052601361076, torque Some(0.29027727151348093)
evaluation 17400: force 0.13142566660055685, moment 0.06142584009947321, torque Some(0.2920074103155902)
evaluation 17600: force 0.13142566660055685, moment 0.06142584009947321, torque Some(0.2920074103155902)
evaluation 17800: force 0.13142566660055685, moment 0.06142584009947321, torque Some(0.2920074103155902)
evaluation 18000: force 0.13142566660055685, moment 0.06142584009947321, torque Some(0.2920074103155902)
evaluation 18200: force 0.13142566660055685, moment 0.06142584009947321, torque Some(0.2920074103155902)
evaluation 18400: force 0.1331629839894091, moment 0.06029074427109057, torque Some(0.2923715723117781)
evaluation 18600: force 0.1331629839894091, moment 0.06029074427109057, torque Some(0.2923715723117781)
evaluation 18800: force 0.13289339958605786, moment 0.06033785390863721, torque Some(0.2923715723117781)
evaluation 19000: force 0.1331629839894091, moment 0.06029074427109057, torque Some(0.2923715723117781)
evaluation 19200: force 0.1331629839894091, moment 0.06029074427109057, torque Some(0.2923715723117781)
evaluation 19400: force 0.1331629839894091, moment 0.06029074427109057, torque Some(0.2923715723117781)
evaluation 19600: force 0.1312238876849335, moment 0.059588391097273825, torque Some(0.2913354390099683)
evaluation 19800: force 0.1312238876849335, moment 0.059588391097273825, torque Some(0.2913354390099683)
evaluation 20000: force 0.13124244215458614, moment 0.05958083050250228, torque Some(0.2913354390099683)
evaluation 20200: force 0.1312238876849335, moment 0.059588391097273825, torque Some(0.2913354390099683)
evaluation 20400: force 0.1312238876849335, moment 0.059588391097273825, torque Some(0.2913354390099683)
evaluation 20600: force 0.1312238876849335, moment 0.059588391097273825, torque Some(0.2913354390099683)
evaluation 20800: force 0.13057075301212515, moment 0.05909865941461563, torque Some(0.2912225697586152)
evaluation 21000: force 0.13057075301212515, moment 0.05909865941461563, torque Some(0.2912225595670153)
evaluation 21200: force 0.1305707004606335, moment 0.059098664672202705, torque Some(0.2912225697586152)
evaluation 21400: force 0.13057075301212515, moment 0.05909865941461563, torque Some(0.2912225697586152)
evaluation 21600: force 0.13057075301212515, moment 0.05909865941461563, torque Some(0.2912225697586152)
evaluation 21800: force 0.13057075301212515, moment 0.05909865941461563, torque Some(0.2912225697586152)
evaluation 22000: force 0.13007200301290572, moment 0.057839574884905015, torque Some(0.2900131981411297)
evaluation 22200: force 0.13007200301290572, moment 0.057839574884905015, torque Some(0.2900131981411297)
evaluation 22400: force 0.13007200301290572, moment 0.057839574884905015, torque Some(0.2900131981411297)
evaluation 22600: force 0.13007200301290572, moment 0.057839574884905015, torque Some(0.2900131981411297)
evaluation 22800: force 0.13007200301290572, moment 0.057839574884905015, torque Some(0.2900131981411297)
evaluation 23000: force 0.12910580786571896, moment 0.05505959031048535, torque Some(0.284434737670068)
evaluation 23200: force 0.12910580786571896, moment 0.05505959031048535, torque Some(0.2844347442261794)
evaluation 23400: force 0.12910485837817298, moment 0.055059801632667466, torque Some(0.284434737670068)
evaluation 23600: force 0.12910580786571896, moment 0.05505959031048535, torque Some(0.284434737670068)
evaluation 23800: force 0.12910580786571896, moment 0.05505959031048535, torque Some(0.284434737670068)
evaluation 24000: force 0.12910580786571896, moment 0.05505959031048535, torque Some(0.284434737670068)
evaluation 24200: force 0.1253031053884741, moment 0.04881875075356644, torque Some(0.2824699889350044)
evaluation 24400: force 0.1253031053884741, moment 0.04881875075356644, torque Some(0.2824699889350044)
evaluation 24600: force 0.12530945128541962, moment 0.04881655557080201, torque Some(0.2824699889350044)
evaluation 24800: force 0.1253031053884741, moment 0.04881875075356644, torque Some(0.2824699889350044)
evaluation 25000: force 0.1253031053884741, moment 0.04881875075356644, torque Some(0.2824699889350044)
evaluation 25200: force 0.1253031053884741, moment 0.04881875075356644, torque Some(0.2824699889350044)
evaluation 25400: force 0.11547351239562724, moment 0.04618013949162518, torque Some(0.2810138074448404)
evaluation 25600: force 0.11547351239562724, moment 0.04618013949162518, torque Some(0.2810138074448404)
evaluation 25800: force 0.11547366488984927, moment 0.04618013949162518, torque Some(0.2810138074448404)
evaluation 26000: force 0.11547351239562724, moment 0.04618013949162518, torque Some(0.2810138074448404)
evaluation 26200: force 0.11547351239562724, moment 0.04618011178836616, torque Some(0.2810138074448404)
evaluation 26400: force 0.11547351239562724, moment 0.04618013949162518, torque Some(0.2810138074448404)
evaluation 26600: force 0.10952535264842435, moment 0.046236140145861235, torque Some(0.2799437335096572)
evaluation 26800: force 0.10952535264842435, moment 0.046236140145861235, torque Some(0.2799437335096572)
evaluation 27000: force 0.10952535264842435, moment 0.046236140145861235, torque Some(0.2799437335096572)
evaluation 27200: force 0.10952535264842435, moment 0.046236140145861235, torque Some(0.2799437335096572)
evaluation 27400: force 0.10953029853506269, moment 0.04632547892578651, torque Some(0.2799437335096572)
evaluation 27600: force 0.10895135585156228, moment 0.04625116858313649, torque Some(0.2776022260015579)
evaluation 27800: force 0.10895135585156228, moment 0.04625116858313649, torque Some(0.27760222191103967)
evaluation 28000: force 0.10895135585156228, moment 0.04625116858313649, torque Some(0.2776022260015579)
evaluation 28200: force 0.10895135585156228, moment 0.04625116858313649, torque Some(0.2776022260015579)
evaluation 28400: force 0.10895135585156228, moment 0.04625116858313649, torque Some(0.2776022260015579)
evaluation 28600: force 0.10895135585156228, moment 0.04625116858313649, torque Some(0.2776022260015579)
evaluation 28800: force 0.10832931102235631, moment 0.046156190925324164, torque Some(0.27213955793018113)
evaluation 29000: force 0.10832931102235631, moment 0.046156190925324164, torque Some(0.27213955793018113)
evaluation 29200: force 0.10832931102235631, moment 0.046156190925324164, torque Some(0.27213955793018113)
evaluation 29400: force 0.10832931102235631, moment 0.046156190925324164, torque Some(0.27213955793018113)
evaluation 29600: force 0.10886346986352732, moment 0.046156190925324164, torque Some(0.27213955793018113)
evaluation 29800: force 0.10832931102235631, moment 0.046156190925324164, torque Some(0.27213955793018113)
evaluation 30000: force 0.10830834209277662, moment 0.046179935181929394, torque Some(0.27163780342793337)
evaluation 30200: force 0.10830834209277662, moment 0.046179935181929394, torque Some(0.27163780342793337)
evaluation 30400: force 0.10830834209277662, moment 0.046179935181929394, torque Some(0.27163780342793337)
evaluation 30600: force 0.10830834209277662, moment 0.046179935181929394, torque Some(0.27163780342793337)
evaluation 30800: force 0.10830815510308317, moment 0.0461795291106217, torque Some(0.27163780342793337)
evaluation 31000: force 0.10830834209277662, moment 0.046179935181929394, torque Some(0.27163780342793337)
evaluation 31200: force 0.10807933210460524, moment 0.046176977775743436, torque Some(0.2714389128250594)
evaluation 31400: force 0.10807933210460524, moment 0.046176977775743436, torque Some(0.2714389128250594)
evaluation 31600: force 0.10807933210460524, moment 0.046176977775743436, torque Some(0.2714389128250594)
evaluation 31800: force 0.10807933210460524, moment 0.046176977775743436, torque Some(0.2714389128250594)
evaluation 32000: force 0.10807933210460524, moment 0.04601650402158737, torque Some(0.2714389128250594)
evaluation 32200: force 0.10773968592098233, moment 0.046090700129894344, torque Some(0.27152106602188675)
evaluation 32400: force 0.10773968592098233, moment 0.046090700129894344, torque Some(0.2715210676932718)
evaluation 32600: force 0.10773968592098233, moment 0.046090700129894344, torque Some(0.27152106602188675)
evaluation 32800: force 0.10773968592098233, moment 0.046090700129894344, torque Some(0.27152106602188675)
evaluation 33000: force 0.10773968592098233, moment 0.046090700129894344, torque Some(0.27152106602188675)
evaluation 33200: force 0.10773968592098233, moment 0.046090700129894344, torque Some(0.27152106602188675)
evaluation 33400: force 0.10786728379654091, moment 0.04608832847290046, torque Some(0.2715273789140431)
evaluation 33600: force 0.10786728379654091, moment 0.04608832847290046, torque Some(0.2715273789140431)
evaluation 33800: force 0.10786728379654091, moment 0.04608832847290046, torque Some(0.2715273789140431)
evaluation 34000: force 0.10786728379654091, moment 0.04608832847290046, torque Some(0.2715273789140431)
evaluation 34200: force 0.10733289183601614, moment 0.04608832847290046, torque Some(0.2715273789140431)
evaluation 34400: force 0.10786728379654091, moment 0.04608832847290046, torque Some(0.2715273789140431)
evaluation 34600: force 0.10778632657587187, moment 0.04607421968401517, torque Some(0.2718273586042539)
