smoothing 0.00001 evaluation 1320: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1340: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1360: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1380: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1400: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1420: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1440: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1460: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1480: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1500: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1520: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1540: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1560: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1580: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1600: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1620: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1640: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1660: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1680: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1700: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1720: force 0.1179, moment 0.0503, torque Some(-0.0008083366219526766)
smoothing 0.00001 evaluation 1740: force 0.1175, moment 0.0506, torque Some(-0.000801133555443645)
smoothing 0.00001 evaluation 1760: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 1780: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 1800: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 1820: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 1840: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 1860: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 1880: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 1900: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 1920: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 1940: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 1960: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 1980: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2000: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2020: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2040: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2060: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
