smoothing 0.00001 evaluation 1340: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1360: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1380: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1400: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1420: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1440: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1460: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1480: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1500: force 1.4776, moment 0.6594, torque Some(-0.5602783376806555)
smoothing 0.00001 evaluation 1520: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1540: force 1.4776, moment 0.6594, torque Some(-0.5603159026274696)
smoothing 0.00001 evaluation 1560: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1580: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1600: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1620: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1640: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1660: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1680: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1700: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1720: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1740: force 1.4776, moment 0.6594, torque Some(-0.5602783597061929)
smoothing 0.00001 evaluation 1760: force 1.4728, moment 0.6593, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 1780: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 1800: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 1820: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 1840: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 1860: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 1880: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 1900: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 1920: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 1940: force 1.4752, moment 0.6586, torque Some(-0.559279222384129)
smoothing 0.00001 evaluation 1960: force 1.4752, moment 0.6586, torque Some(-0.5592810665269652)
smoothing 0.00001 evaluation 1980: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 2000: force 1.4752, moment 0.6586, torque Some(-0.5617270876235474)
smoothing 0.00001 evaluation 2020: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 2040: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 2060: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 2080: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 2100: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 2120: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 2140: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 2160: force 1.4752, moment 0.6586, torque Some(-0.559281027209515)
smoothing 0.00001 evaluation 2180: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
