smoothing 0.00001 evaluation 500: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 520: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 540: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 560: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 580: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 600: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 620: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 640: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 660: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 680: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 700: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 720: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 740: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 760: force 1.4662, moment 0.8386, torque Some(-0.0076591654314790425)
smoothing 0.00001 evaluation 780: force 1.4662, moment 0.8386, torque Some(-0.007658162062879725)
smoothing 0.00001 evaluation 800: force 1.4662, moment 0.8386, torque Some(-0.007658280087985414)
smoothing 0.00001 evaluation 820: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 840: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 860: force 1.4662, moment 0.8386, torque Some(-0.007658601766560746)
smoothing 0.00001 evaluation 880: force 1.4661, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 900: force 1.4668, moment 0.8395, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 920: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 940: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 960: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 980: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1000: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1020: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1040: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1060: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1080: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1100: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1120: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1140: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1160: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1180: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1200: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1220: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1240: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1260: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1280: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1300: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1320: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1340: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1360: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1380: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1400: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1420: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1440: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1460: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1480: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1500: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1520: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1540: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1560: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1580: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1600: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1620: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1640: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1660: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1680: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1700: force 1.4655, moment 0.8386, torque Some(-0.007658991701798179)
smoothing 0.00001 evaluation 1720: force 1.4662, moment 0.8386, torque Some(-0.00765850750816055)
smoothing 0.00001 evaluation 1740: force 1.4665, moment 0.8390, torque Some(-0.007658198848944586)
smoothing 0.00001 evaluation 1760: force 1.4661, moment 0.8385, torque Some(-0.007658198848944586)
smoothing 0.00001 evaluation 1780: force 1.4661, moment 0.8386, torque Some(-0.007658198848944586)
smoothing 0.00001 evaluation 1800: force 1.4661, moment 0.8386, torque Some(-0.007658198848944586)
smoothing 0.00001 evaluation 1820: force 1.4661, moment 0.8386, torque Some(-0.007658198848944586)
smoothing 0.00001 evaluation 1840: force 1.4661, moment 0.8386, torque Some(-0.007658198848944586)
smoothing 0.00001 evaluation 1860: force 1.4661, moment 0.8386, torque Some(-0.007658198848944586)
smoothing 0.00001 evaluation 1880: force 1.4661, moment 0.8386, torque Some(-0.007658198848944586)
smoothing 0.00001 evaluation 1900: force 1.4661, moment 0.8386, torque Some(-0.007658198848944586)
smoothing 0.00001 evaluation 1920: force 1.4661, moment 0.8386, torque Some(-0.007658198848944586)
smoothing 0.00001 evaluation 1940: force 1.4661, moment 0.8386, torque Some(-0.007658198848944586)
