smoothing 0.00001 evaluation 1260: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1280: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1300: force 3.0285, moment 1.1206, torque Some(0.0002484637636557263)
smoothing 0.00001 evaluation 1320: force 3.0285, moment 1.1206, torque Some(0.00024832632712668)
smoothing 0.00001 evaluation 1340: force 3.0285, moment 1.1206, torque Some(0.00024762567864966556)
smoothing 0.00001 evaluation 1360: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1380: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1400: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1420: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1440: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1460: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1480: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1500: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1520: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1540: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1560: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1580: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1600: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1620: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1640: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1660: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1680: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1700: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1720: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1740: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1760: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1780: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1800: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1820: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1840: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1860: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1880: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1900: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1920: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1940: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
