evaluation 13000: force 0.17827975789545636, moment 0.055842823232305445, torque Some(-2.9557864779650167e-6)
evaluation 13200: force 0.17827975789545636, moment 0.05584274415741489, torque Some(-2.9557864779650167e-6)
evaluation 13400: force 0.17827975789545636, moment 0.05584274415741489, torque Some(-2.9557864779650167e-6)
evaluation 13600: force 0.17827975789545636, moment 0.05584274415741489, torque Some(-2.9557864779650167e-6)
evaluation 13800: force 0.17731742110206394, moment 0.05595707855352276, torque Some(-0.001508497368112538)
evaluation 14000: force 0.17731742110206394, moment 0.05595707855352276, torque Some(-0.001508497368112538)
evaluation 14200: force 0.17731742110206394, moment 0.05595707855352276, torque Some(-0.001508497368112538)
evaluation 14400: force 0.17731742110206394, moment 0.05595707855352276, torque Some(-0.001508497368112538)
evaluation 14600: force 0.17731742110206394, moment 0.05595707855352276, torque Some(-0.001508497368112538)
evaluation 14800: force 0.17731742110206394, moment 0.05595707855352276, torque Some(-0.001508497368112538)
evaluation 15000: force 0.17854212572259723, moment 0.05599314643983638, torque Some(-1.7677314828157265e-5)
evaluation 15200: force 0.17854212572259723, moment 0.05599679835186229, torque Some(-1.7679464958453295e-5)
evaluation 15400: force 0.17854212572259723, moment 0.05599314643983638, torque Some(-1.7679464958453295e-5)
evaluation 15600: force 0.17854212572259723, moment 0.05599314643983638, torque Some(-1.7679464958453295e-5)
evaluation 15800: force 0.17853386670247556, moment 0.05599314643983638, torque Some(-1.7679464958453295e-5)
evaluation 16000: force 0.17854212572259723, moment 0.05599314643983638, torque Some(-1.7679464958453295e-5)
evaluation 16200: force 0.17891392453833357, moment 0.056062394263979035, torque Some(-6.344864803553563e-6)
evaluation 16400: force 0.17891392453833357, moment 0.05606213328742267, torque Some(-6.252726143962661e-6)
evaluation 16600: force 0.17891392453833357, moment 0.056062394263979035, torque Some(-6.252726143962661e-6)
evaluation 16800: force 0.17891392453833357, moment 0.056062394263979035, torque Some(-6.252726143962661e-6)
evaluation 17000: force 0.17890999742011113, moment 0.056062394263979035, torque Some(-6.252726143962661e-6)
evaluation 17200: force 0.17891392453833357, moment 0.056062394263979035, torque Some(-6.252726143962661e-6)
evaluation 17400: force 0.1797945427416357, moment 0.056220327449719595, torque Some(-5.5958711657755345e-6)
evaluation 17600: force 0.1797945427416357, moment 0.056220327449719595, torque Some(-5.5958711657755345e-6)
evaluation 17800: force 0.1797945427416357, moment 0.056220327449719595, torque Some(-5.5958711657755345e-6)
evaluation 18000: force 0.1797945427416357, moment 0.056220327449719595, torque Some(-5.5958711657755345e-6)
evaluation 18200: force 0.1797945427416357, moment 0.056220327449719595, torque Some(-5.5958711657755345e-6)
evaluation 18400: force 0.18093843872772086, moment 0.05665807475234975, torque Some(-5.130419232557415e-6)
evaluation 18600: force 0.18093843872772086, moment 0.05665807475234975, torque Some(-5.130419232557415e-6)
evaluation 18800: force 0.18093843872772086, moment 0.05665807475234975, torque Some(-5.130419232557415e-6)
evaluation 19000: force 0.18093843872772086, moment 0.05665807475234975, torque Some(-5.130419232557415e-6)
evaluation 19200: force 0.18093843872772086, moment 0.05665807475234975, torque Some(-5.130419232557415e-6)
evaluation 19400: force 0.18093843872772086, moment 0.05665807475234975, torque Some(-5.130419232557415e-6)
evaluation 19600: force 0.17869733653859396, moment 0.056782962073904625, torque Some(-4.880770720916416e-6)
evaluation 19800: force 0.17869733653859396, moment 0.05677880125460398, torque Some(-4.880770720916416e-6)
evaluation 20000: force 0.17869733653859396, moment 0.056782962073904625, torque Some(-4.880770720916416e-6)
evaluation 20200: force 0.17869733653859396, moment 0.056782962073904625, torque Some(-4.880770720916416e-6)
evaluation 20400: force 0.17868538138649262, moment 0.056782962073904625, torque Some(-4.880770720916416e-6)
evaluation 20600: force 0.17869733653859396, moment 0.056782962073904625, torque Some(-4.880770720916416e-6)
evaluation 20800: force 0.176640710323386, moment 0.05696652778406386, torque Some(-4.868715794970058e-6)
evaluation 21000: force 0.176640710323386, moment 0.05696487005477291, torque Some(-4.875629343592536e-6)
evaluation 21200: force 0.176640710323386, moment 0.05696652778406386, torque Some(-4.875629343592536e-6)
evaluation 21400: force 0.176640710323386, moment 0.05696652778406386, torque Some(-4.875629343592536e-6)
evaluation 21600: force 0.1766411678355155, moment 0.05696652778406386, torque Some(-4.875629343592536e-6)
evaluation 21800: force 0.176640710323386, moment 0.05696652778406386, torque Some(-4.875629343592536e-6)
evaluation 22000: force 0.17737442311859122, moment 0.05705818739801399, torque Some(-5.1711367474727155e-6)
evaluation 22200: force 0.17737442311859122, moment 0.05705818739801399, torque Some(-4.704883981077046e-6)
evaluation 22400: force 0.17737442311859122, moment 0.05705818739801399, torque Some(-4.704883981077046e-6)
evaluation 22600: force 0.17737442311859122, moment 0.05705818739801399, torque Some(-4.704883981077046e-6)
evaluation 22800: force 0.17737442311859122, moment 0.05705818739801399, torque Some(-4.704883981077046e-6)
evaluation 23000: force 0.17794183369228547, moment 0.05726357460990259, torque Some(-4.556696354907075e-6)
evaluation 23200: force 0.17794183369228547, moment 0.05726357460990259, torque Some(-4.556696354907075e-6)
evaluation 23400: force 0.17794183369228547, moment 0.05726357460990259, torque Some(-4.556696354907075e-6)
evaluation 23600: force 0.17794183369228547, moment 0.05726357460990259, torque Some(-4.556696354907075e-6)
evaluation 23800: force 0.17794183369228547, moment 0.05726357460990259, torque Some(-4.556696354907075e-6)
evaluation 24000: force 0.17794183369228547, moment 0.05726357460990259, torque Some(-4.556696354907075e-6)
evaluation 24200: force 0.18002330512629644, moment 0.05784962049396601, torque Some(-3.9996993206337095e-6)
evaluation 24400: force 0.18002330512629644, moment 0.05785702545741332, torque Some(-3.9996993206337095e-6)
evaluation 24600: force 0.18002330512629644, moment 0.05784962049396601, torque Some(-3.9996993206337095e-6)
evaluation 24800: force 0.18002330512629644, moment 0.05784962049396601, torque Some(-3.9996993206337095e-6)
evaluation 25000: force 0.18002330512629644, moment 0.05784962049396601, torque Some(-3.9996993206337095e-6)
evaluation 25200: force 0.18002330512629644, moment 0.05784962049396601, torque Some(-3.9996993206337095e-6)
evaluation 25400: force 0.1800667053961945, moment 0.05727167776842803, torque Some(-3.679648222842946e-6)
evaluation 25600: force 0.1800667053961945, moment 0.05728508460100148, torque Some(-3.6857022814029694e-6)
evaluation 25800: force 0.1800667053961945, moment 0.05727167776842803, torque Some(-3.6857022814029694e-6)
evaluation 26000: force 0.1800667053961945, moment 0.05727167776842803, torque Some(-3.6857022814029694e-6)
evaluation 26200: force 0.18006839369965952, moment 0.05727167776842803, torque Some(-3.6857022814029694e-6)
evaluation 26400: force 0.1800667053961945, moment 0.05727167776842803, torque Some(-3.6857022814029694e-6)
evaluation 26600: force 0.18018602916599558, moment 0.057067694783996786, torque Some(-3.1467571722232357e-6)
evaluation 26800: force 0.18018602916599558, moment 0.057067694783996786, torque Some(-3.4223700404456547e-6)
evaluation 27000: force 0.18018602916599558, moment 0.057067694783996786, torque Some(-3.4223700404456547e-6)
evaluation 27200: force 0.18018602916599558, moment 0.057067694783996786, torque Some(-3.4223700404456547e-6)
evaluation 27400: force 0.18018602916599558, moment 0.057067694783996786, torque Some(-3.4223700404456547e-6)
evaluation 27600: force 0.1803375060863847, moment 0.05626046069366414, torque Some(-0.0006498249461626138)
evaluation 27800: force 0.1803375060863847, moment 0.05626046069366414, torque Some(-0.0006498249461626138)
evaluation 28000: force 0.1803375060863847, moment 0.05626046069366414, torque Some(-0.0006498249461626138)
evaluation 28200: force 0.1803375060863847, moment 0.05626046069366414, torque Some(-0.0006498249461626138)
evaluation 28400: force 0.1803375060863847, moment 0.05626046069366414, torque Some(-0.0006498249461626138)
evaluation 28600: force 0.1803375060863847, moment 0.05626046069366414, torque Some(-0.0006498249461626138)
evaluation 28800: force 0.18050094563055166, moment 0.05625376821393285, torque Some(-6.342888585253448e-6)
evaluation 29000: force 0.18050094563055166, moment 0.05624608351297328, torque Some(-6.342888585253448e-6)
evaluation 29200: force 0.18050094563055166, moment 0.05625376821393285, torque Some(-6.342888585253448e-6)
evaluation 29400: force 0.18050094563055166, moment 0.05625376821393285, torque Some(-6.342888585253448e-6)
evaluation 29600: force 0.18062552078424834, moment 0.05625376821393285, torque Some(-6.342888585253448e-6)
evaluation 29800: force 0.18050094563055166, moment 0.05625376821393285, torque Some(-6.342888585253448e-6)
evaluation 30000: force 0.18099493175566284, moment 0.05624480575699276, torque Some(-3.8143455452221975e-6)
evaluation 30200: force 0.18099493175566284, moment 0.056240426813734694, torque Some(-4.192457202956135e-6)
evaluation 30400: force 0.18099493175566284, moment 0.05624480575699276, torque Some(-4.192457202956135e-6)
evaluation 30600: force 0.18099493175566284, moment 0.05624480575699276, torque Some(-4.192457202956135e-6)
evaluation 30800: force 0.1810086077116292, moment 0.05624480575699276, torque Some(-4.192457202956135e-6)
evaluation 31000: force 0.18099493175566284, moment 0.05624480575699276, torque Some(-4.192457202956135e-6)
evaluation 31200: force 0.18220702833513397, moment 0.05615229325707458, torque Some(-3.927222271604691e-6)
