evaluation 14000: force 0.17487377638713103, moment 0.10434901822362094, torque Some(0.22592143900687572)
evaluation 14200: force 0.17487377638713103, moment 0.10434901822362094, torque Some(0.22592140873952002)
evaluation 14400: force 0.17487377638713103, moment 0.10434901822362094, torque Some(0.22592140873952002)
evaluation 14600: force 0.17487377638713103, moment 0.10434901822362094, torque Some(0.22592140873952002)
evaluation 14800: force 0.174606336516465, moment 0.10434916669640291, torque Some(0.22592140873952002)
evaluation 15000: force 0.17477943610243335, moment 0.10420452422296085, torque Some(0.2259799527716404)
evaluation 15200: force 0.17477943610243335, moment 0.10420452422296085, torque Some(0.2259799731862456)
evaluation 15400: force 0.17477943610243335, moment 0.10420452422296085, torque Some(0.2259799527716404)
evaluation 15600: force 0.17477943610243335, moment 0.10420452422296085, torque Some(0.2259799527716404)
evaluation 15800: force 0.17477943610243335, moment 0.10420452422296085, torque Some(0.2259799527716404)
evaluation 16000: force 0.17477943610243335, moment 0.10420452422296085, torque Some(0.2259799527716404)
evaluation 16200: force 0.17433040550909276, moment 0.10374817899829987, torque Some(0.22614283635859792)
evaluation 16400: force 0.17433040550909276, moment 0.10374817899829987, torque Some(0.22614283635859792)
evaluation 16600: force 0.17433040550909276, moment 0.10374817899829987, torque Some(0.22614283635859792)
evaluation 16800: force 0.17433040550909276, moment 0.10374817899829987, torque Some(0.22614283635859792)
evaluation 17000: force 0.17433040550909276, moment 0.10397154366650675, torque Some(0.22614283635859792)
evaluation 17200: force 0.17433040550909276, moment 0.10374817899829987, torque Some(0.22614283635859792)
evaluation 17400: force 0.17293699662273132, moment 0.10236853322289971, torque Some(0.22747128058818533)
evaluation 17600: force 0.17293699662273132, moment 0.10236853322289971, torque Some(0.22747128058818533)
evaluation 17800: force 0.17293699662273132, moment 0.10236853322289971, torque Some(0.22747128058818533)
evaluation 18000: force 0.17293699662273132, moment 0.10236853322289971, torque Some(0.22747128058818533)
evaluation 18200: force 0.17293824266900548, moment 0.10236832578943775, torque Some(0.22747128058818533)
evaluation 18400: force 0.17244852707256672, moment 0.101986936136471, torque Some(0.22795688639193862)
