smoothing 0.003 evaluation 1400: force 5.9800, moment 0.5942, torque Some(0.5425636148651725)
smoothing 0.003 evaluation 1420: force 5.9800, moment 0.5942, torque Some(0.5425635169521806)
smoothing 0.003 evaluation 1440: force 5.9800, moment 0.5942, torque Some(0.5425636148651725)
smoothing 0.003 evaluation 1460: force 4.8505, moment 0.8149, torque Some(0.36628772385192754)
smoothing 0.003 evaluation 1480: force 4.8505, moment 0.8149, torque Some(0.36628793176190144)
smoothing 0.003 evaluation 1500: force 4.8505, moment 0.8149, torque Some(0.36628388042700544)
smoothing 0.003 evaluation 1520: force 4.8505, moment 0.8149, torque Some(0.3662885702962879)
smoothing 0.003 evaluation 1540: force 4.8505, moment 0.8149, torque Some(0.36628793176190144)
smoothing 0.003 evaluation 1560: force 4.8505, moment 0.8149, torque Some(0.36628793176190144)
smoothing 0.003 evaluation 1580: force 4.8505, moment 0.8149, torque Some(0.36628793176190144)
smoothing 0.003 evaluation 1600: force 4.8505, moment 0.8149, torque Some(0.36628793176190144)
smoothing 0.003 evaluation 1620: force 4.8505, moment 0.8149, torque Some(0.36628793176190144)
smoothing 0.003 evaluation 1640: force 4.8505, moment 0.8149, torque Some(0.36628793176190144)
smoothing 0.003 evaluation 1660: force 4.8505, moment 0.8149, torque Some(0.36628793176190144)
smoothing 0.003 evaluation 1680: force 4.8505, moment 0.8149, torque Some(0.36628793176190144)
smoothing 0.003 evaluation 1700: force 4.8505, moment 0.8149, torque Some(0.36628793176190144)
smoothing 0.003 evaluation 1720: force 4.8505, moment 0.8149, torque Some(0.36628793176190144)
smoothing 0.003 evaluation 1740: force 4.2566, moment 0.8449, torque Some(-0.33653019537526285)
smoothing 0.003 evaluation 1760: force 4.2566, moment 0.8449, torque Some(-0.33652963289845594)
smoothing 0.003 evaluation 1780: force 4.2566, moment 0.8449, torque Some(-0.3365296476503623)
smoothing 0.003 evaluation 1800: force 4.2566, moment 0.8449, torque Some(-0.33652963289845594)
smoothing 0.003 evaluation 1820: force 4.2566, moment 0.8449, torque Some(-0.33653185334999836)
smoothing 0.003 evaluation 1840: force 4.2566, moment 0.8449, torque Some(-0.33652963289845594)
smoothing 0.003 evaluation 1860: force 4.2566, moment 0.8449, torque Some(-0.33652963289845594)
smoothing 0.003 evaluation 1880: force 4.2566, moment 0.8449, torque Some(-0.33652963289845594)
smoothing 0.003 evaluation 1900: force 4.2566, moment 0.8449, torque Some(-0.33652963289845594)
smoothing 0.003 evaluation 1920: force 4.2566, moment 0.8449, torque Some(-0.33652963289845594)
smoothing 0.003 evaluation 1940: force 4.2566, moment 0.8449, torque Some(-0.33652963289845594)
smoothing 0.003 evaluation 1960: force 4.2566, moment 0.8449, torque Some(-0.33652963289845594)
smoothing 0.003 evaluation 1980: force 4.2566, moment 0.8449, torque Some(-0.33652963289845594)
smoothing 0.003 evaluation 2000: force 4.2566, moment 0.8449, torque Some(-0.33652963289845594)
smoothing 0.003 evaluation 2020: force 4.2566, moment 0.8449, torque Some(-0.33652963289845594)
