smoothing 0.00001 evaluation 1340: force 1.2754, moment 0.6404, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1360: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1380: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1400: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1420: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1440: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1460: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1480: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1500: force 1.2756, moment 0.6402, torque Some(-0.5456003545250261)
smoothing 0.00001 evaluation 1520: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1540: force 1.2756, moment 0.6402, torque Some(-0.5455994846897809)
smoothing 0.00001 evaluation 1560: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1580: force 1.2756, moment 0.6402, torque Some(-0.5458542467558924)
smoothing 0.00001 evaluation 1600: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1620: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1640: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1660: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1680: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1700: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1720: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1740: force 1.2756, moment 0.6402, torque Some(-0.5455994405769378)
smoothing 0.00001 evaluation 1760: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 1780: force 1.2755, moment 0.6403, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 1800: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 1820: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 1840: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 1860: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 1880: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 1900: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 1920: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 1940: force 1.2756, moment 0.6402, torque Some(-0.5455994179565351)
smoothing 0.00001 evaluation 1960: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 1980: force 1.2756, moment 0.6402, torque Some(-0.5456368532287346)
smoothing 0.00001 evaluation 2000: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 2020: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 2040: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 2060: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 2080: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 2100: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 2120: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 2140: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 2160: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 2180: force 1.2756, moment 0.6402, torque Some(-0.5455994398867221)
smoothing 0.00001 evaluation 2200: force 1.2781, moment 0.6395, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2220: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2240: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2260: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2280: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2300: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2320: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2340: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2360: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2380: force 1.2756, moment 0.6402, torque Some(-0.5456012430208199)
smoothing 0.00001 evaluation 2400: force 1.2756, moment 0.6402, torque Some(-0.5455993996581214)
smoothing 0.00001 evaluation 2420: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2440: force 1.2756, moment 0.6402, torque Some(-0.5431540735677931)
smoothing 0.00001 evaluation 2460: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2480: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2500: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2520: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2540: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2560: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2580: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2600: force 1.2756, moment 0.6402, torque Some(-0.5455994378093241)
smoothing 0.00001 evaluation 2620: force 1.2756, moment 0.6403, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 2640: force 1.2736, moment 0.6442, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 2660: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 2680: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 2700: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 2720: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 2740: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 2760: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 2780: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 2800: force 1.2756, moment 0.6402, torque Some(-0.545599522176829)
smoothing 0.00001 evaluation 2820: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 2840: force 1.2756, moment 0.6402, torque Some(-0.5455441079498957)
smoothing 0.00001 evaluation 2860: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 2880: force 1.2756, moment 0.6402, torque Some(-0.5455435547853504)
smoothing 0.00001 evaluation 2900: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 2920: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 2940: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 2960: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 2980: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 3000: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
