evaluation 13200: force 0.2240242354756171, moment 0.05393818366903558, torque Some(-0.00051569022284359)
evaluation 13400: force 0.2240242354756171, moment 0.05393818366903558, torque Some(-0.0005156137790838233)
evaluation 13600: force 0.2240242354756171, moment 0.05393818366903558, torque Some(-0.00051569022284359)
evaluation 13800: force 0.2238662237966917, moment 0.05346511355189465, torque Some(-4.480153507069318e-6)
evaluation 14000: force 0.2238662237966917, moment 0.05346511355189465, torque Some(-4.480153507069318e-6)
evaluation 14200: force 0.2238662237966917, moment 0.05346511355189465, torque Some(-4.480153507069318e-6)
evaluation 14400: force 0.2238662237966917, moment 0.05346511355189465, torque Some(-4.480153507069318e-6)
evaluation 14600: force 0.2238662237966917, moment 0.05346511355189465, torque Some(-4.480153507069318e-6)
evaluation 14800: force 0.2238662237966917, moment 0.05346511355189465, torque Some(-4.480153507069318e-6)
evaluation 15000: force 0.2232982281254354, moment 0.053412870205546525, torque Some(-4.511407360130448e-6)
evaluation 15200: force 0.2232982281254354, moment 0.053422897718204077, torque Some(-4.511407360130448e-6)
evaluation 15400: force 0.2232982281254354, moment 0.053412870205546525, torque Some(-4.511407360130448e-6)
evaluation 15600: force 0.2232982281254354, moment 0.053412870205546525, torque Some(-4.511407360130448e-6)
evaluation 15800: force 0.223311162815868, moment 0.053412870205546525, torque Some(-4.511407360130448e-6)
evaluation 16000: force 0.2232982281254354, moment 0.053412870205546525, torque Some(-4.511407360130448e-6)
evaluation 16200: force 0.22372149261851274, moment 0.05339929186213932, torque Some(-4.795110974731287e-6)
evaluation 16400: force 0.22372149261851274, moment 0.05339929950043709, torque Some(-5.4277569507821255e-6)
evaluation 16600: force 0.22372149261851274, moment 0.05339929186213932, torque Some(-5.4277569507821255e-6)
evaluation 16800: force 0.22372149261851274, moment 0.05339929186213932, torque Some(-5.4277569507821255e-6)
evaluation 17000: force 0.22372424195953935, moment 0.05339929186213932, torque Some(-5.4277569507821255e-6)
evaluation 17200: force 0.22372149261851274, moment 0.05339929186213932, torque Some(-5.4277569507821255e-6)
evaluation 17400: force 0.22366978115503064, moment 0.05340242304593712, torque Some(-0.00014320999725359052)
evaluation 17600: force 0.22366978115503064, moment 0.05340242304593712, torque Some(-0.00014320999725359052)
evaluation 17800: force 0.22366978115503064, moment 0.05340242304593712, torque Some(-0.00014320999725359052)
evaluation 18000: force 0.22366978115503064, moment 0.05340242304593712, torque Some(-0.0001431931006158349)
evaluation 18200: force 0.22366978115503064, moment 0.05340242304593712, torque Some(-0.00014320999725359052)
evaluation 18400: force 0.22363127302525596, moment 0.05339252658700833, torque Some(-4.621039209284916e-6)
evaluation 18600: force 0.22363127302525596, moment 0.05339252658700833, torque Some(-4.621039209284916e-6)
evaluation 18800: force 0.22363127302525596, moment 0.05339252658700833, torque Some(-4.621039209284916e-6)
evaluation 19000: force 0.22363127302525596, moment 0.05339252658700833, torque Some(-4.621039209284916e-6)
evaluation 19200: force 0.22363127302525596, moment 0.05339252658700833, torque Some(-4.621039209284916e-6)
evaluation 19400: force 0.22363127302525596, moment 0.05339252658700833, torque Some(-4.621039209284916e-6)
evaluation 19600: force 0.22357609074233012, moment 0.05330883445580148, torque Some(-4.318256728641501e-6)
evaluation 19800: force 0.22357609074233012, moment 0.05330564905315982, torque Some(-4.318256728641501e-6)
evaluation 20000: force 0.22357609074233012, moment 0.05330883445580148, torque Some(-4.318256728641501e-6)
evaluation 20200: force 0.22357609074233012, moment 0.05330883445580148, torque Some(-4.318256728641501e-6)
evaluation 20400: force 0.2235943729744015, moment 0.05330883445580148, torque Some(-4.318256728641501e-6)
evaluation 20600: force 0.22357609074233012, moment 0.05330883445580148, torque Some(-4.318256728641501e-6)
evaluation 20800: force 0.22358997617471382, moment 0.05329989615001507, torque Some(-4.797303716275181e-6)
evaluation 21000: force 0.22358997617471382, moment 0.053299888513355764, torque Some(-4.164653353067038e-6)
evaluation 21200: force 0.22358997617471382, moment 0.05329989615001507, torque Some(-4.164653353067038e-6)
evaluation 21400: force 0.22358997617471382, moment 0.05329989615001507, torque Some(-4.164653353067038e-6)
evaluation 21600: force 0.22358722323057628, moment 0.05329989615001507, torque Some(-4.164653353067038e-6)
evaluation 21800: force 0.22358997617471382, moment 0.05329989615001507, torque Some(-4.164653353067038e-6)
evaluation 22000: force 0.22357967796540107, moment 0.053292338063535505, torque Some(-0.00020449316865611689)
evaluation 22200: force 0.22357967796540107, moment 0.053292338063535505, torque Some(-0.00020449316865611689)
evaluation 22400: force 0.22357967796540107, moment 0.053292338063535505, torque Some(-0.00020449316865611689)
