smoothing 0.003 evaluation 1400: force 6.5403, moment 0.9320, torque Some(0.012556921898467133)
smoothing 0.003 evaluation 1420: force 6.5403, moment 0.9320, torque Some(0.012556921898467133)
smoothing 0.003 evaluation 1440: force 6.5403, moment 0.9320, torque Some(0.012556921898467133)
smoothing 0.003 evaluation 1460: force 6.3255, moment 0.9028, torque Some(-0.05164201986572614)
smoothing 0.003 evaluation 1480: force 6.3255, moment 0.9028, torque Some(-0.051641337339088045)
smoothing 0.003 evaluation 1500: force 6.3255, moment 0.9028, torque Some(-0.051641337339088045)
smoothing 0.003 evaluation 1520: force 6.3255, moment 0.9028, torque Some(-0.051641337339088045)
smoothing 0.003 evaluation 1540: force 6.3255, moment 0.9028, torque Some(-0.05164398333164555)
smoothing 0.003 evaluation 1560: force 6.3255, moment 0.9028, torque Some(-0.051641337339088045)
smoothing 0.003 evaluation 1580: force 6.3255, moment 0.9028, torque Some(-0.051641337339088045)
smoothing 0.003 evaluation 1600: force 6.3255, moment 0.9028, torque Some(-0.051641337339088045)
smoothing 0.003 evaluation 1620: force 6.3255, moment 0.9028, torque Some(-0.051641337339088045)
smoothing 0.003 evaluation 1640: force 6.3255, moment 0.9028, torque Some(-0.051641337339088045)
smoothing 0.003 evaluation 1660: force 6.3255, moment 0.9028, torque Some(-0.051641337339088045)
smoothing 0.003 evaluation 1680: force 6.3255, moment 0.9028, torque Some(-0.051641337339088045)
smoothing 0.003 evaluation 1700: force 6.3255, moment 0.9028, torque Some(-0.051641337339088045)
smoothing 0.003 evaluation 1720: force 6.3255, moment 0.9028, torque Some(-0.051641337339088045)
smoothing 0.003 evaluation 1740: force 6.3254, moment 0.9028, torque Some(-0.051641337339088045)
smoothing 0.003 evaluation 1760: force 5.5071, moment 0.9569, torque Some(-0.027280532846906125)
smoothing 0.003 evaluation 1780: force 5.5071, moment 0.9569, torque Some(-0.027280532846906125)
smoothing 0.003 evaluation 1800: force 5.5071, moment 0.9569, torque Some(-0.027280532846906125)
smoothing 0.003 evaluation 1820: force 5.5071, moment 0.9569, torque Some(-0.027280532846906125)
smoothing 0.003 evaluation 1840: force 5.5071, moment 0.9569, torque Some(-0.027280532846906125)
smoothing 0.003 evaluation 1860: force 5.5071, moment 0.9569, torque Some(-0.027280532846906125)
smoothing 0.003 evaluation 1880: force 5.5071, moment 0.9569, torque Some(-0.027280532846906125)
smoothing 0.003 evaluation 1900: force 5.5071, moment 0.9569, torque Some(-0.027280532846906125)
smoothing 0.003 evaluation 1920: force 5.5071, moment 0.9569, torque Some(-0.027281049046901984)
smoothing 0.003 evaluation 1940: force 5.5071, moment 0.9569, torque Some(-0.027280532846906125)
smoothing 0.003 evaluation 1960: force 5.5071, moment 0.9569, torque Some(-0.027280256681327053)
smoothing 0.003 evaluation 1980: force 5.5071, moment 0.9569, torque Some(-0.027280532846906125)
smoothing 0.003 evaluation 2000: force 5.5071, moment 0.9569, torque Some(-0.027280060338217504)
smoothing 0.003 evaluation 2020: force 5.5071, moment 0.9569, torque Some(-0.02727831918466439)
smoothing 0.003 evaluation 2040: force 3.9642, moment 0.9203, torque Some(-0.14385860547947948)
smoothing 0.003 evaluation 2060: force 3.9642, moment 0.9203, torque Some(-0.14385860547947948)
smoothing 0.003 evaluation 2080: force 3.9642, moment 0.9203, torque Some(-0.14385860547947948)
smoothing 0.003 evaluation 2100: force 3.9642, moment 0.9203, torque Some(-0.14385919463797792)
smoothing 0.003 evaluation 2120: force 3.9642, moment 0.9203, torque Some(-0.14385860547947948)
smoothing 0.003 evaluation 2140: force 3.9642, moment 0.9203, torque Some(-0.14385860547947948)
smoothing 0.003 evaluation 2160: force 3.9642, moment 0.9203, torque Some(-0.14385860547947948)
smoothing 0.003 evaluation 2180: force 3.9642, moment 0.9203, torque Some(-0.14385860547947948)
smoothing 0.003 evaluation 2200: force 3.9642, moment 0.9203, torque Some(-0.14385860547947948)
smoothing 0.003 evaluation 2220: force 3.9642, moment 0.9203, torque Some(-0.14385860547947948)
smoothing 0.003 evaluation 2240: force 3.9642, moment 0.9203, torque Some(-0.14385860547947948)
smoothing 0.003 evaluation 2260: force 3.9642, moment 0.9203, torque Some(-0.14385860547947948)
smoothing 0.003 evaluation 2280: force 3.9642, moment 0.9203, torque Some(-0.14385860547947948)
smoothing 0.003 evaluation 2300: force 3.9642, moment 0.9203, torque Some(-0.14385860547947948)
smoothing 0.003 evaluation 2320: force 3.8985, moment 0.8877, torque Some(-0.03380198802288059)
smoothing 0.003 evaluation 2340: force 3.8985, moment 0.8877, torque Some(-0.03380198802288059)
