evaluation 13600: force 0.17292416107804143, moment 0.06390990108753059, torque Some(-0.0001875604196710512)
evaluation 13800: force 0.1729369042839054, moment 0.06390990108753059, torque Some(-0.0001875604196710512)
evaluation 14000: force 0.17277793016891907, moment 0.06387225927427978, torque Some(-0.00019037199946536632)
evaluation 14200: force 0.17277793016891907, moment 0.06384616097041522, torque Some(-0.00018747095988214113)
evaluation 14400: force 0.17277793016891907, moment 0.06387225927427978, torque Some(-0.00018747095988214113)
evaluation 14600: force 0.17277793016891907, moment 0.06387225927427978, torque Some(-0.00018747095988214113)
evaluation 14800: force 0.17277793016891907, moment 0.06387225927427978, torque Some(-0.00018747095988214113)
evaluation 15000: force 0.17223616503399808, moment 0.06376254982669173, torque Some(-0.00018748341567009774)
evaluation 15200: force 0.17221685896354877, moment 0.06376254982669173, torque Some(-0.00018748341567009774)
evaluation 15400: force 0.17221685896354877, moment 0.06367836193059374, torque Some(-0.00018748341567009774)
evaluation 15600: force 0.17221685896354877, moment 0.06376254982669173, torque Some(-0.00018748341567009774)
evaluation 15800: force 0.17221685896354877, moment 0.06376254982669173, torque Some(-0.00018748341567009774)
evaluation 16000: force 0.17221685896354877, moment 0.06376254982669173, torque Some(-0.00018748341567009774)
evaluation 16200: force 0.17211795667228458, moment 0.0637359660957762, torque Some(-0.00018735361468169565)
evaluation 16400: force 0.1720960289385819, moment 0.0637359660957762, torque Some(-0.00018735361468169565)
evaluation 16600: force 0.1720960289385819, moment 0.06373511286492134, torque Some(-0.00018735361468169565)
evaluation 16800: force 0.1720960289385819, moment 0.0637359660957762, torque Some(-0.00018735361468169565)
evaluation 17000: force 0.1720960289385819, moment 0.0637359660957762, torque Some(-0.00018735361468169565)
evaluation 17200: force 0.1720960289385819, moment 0.0637359660957762, torque Some(-0.00018735361468169565)
evaluation 17400: force 0.17200288533692154, moment 0.06370832553495384, torque Some(-0.00018717162695303102)
evaluation 17600: force 0.17200344582956806, moment 0.06370832553495384, torque Some(-0.00018717162695303102)
evaluation 17800: force 0.17200344582956806, moment 0.06370832553495384, torque Some(-0.00018717162695303102)
evaluation 18000: force 0.17200344582956806, moment 0.06370832553495384, torque Some(-0.00018717162695303102)
