smoothing 0.00001 evaluation 860: force 1.0874, moment 0.4668, torque Some(-0.0004855375207672291)
smoothing 0.00001 evaluation 880: force 1.0874, moment 0.4668, torque Some(-0.0004855375207672291)
smoothing 0.00001 evaluation 900: force 1.0874, moment 0.4668, torque Some(-0.0004855375207672291)
smoothing 0.00001 evaluation 920: force 1.0874, moment 0.4668, torque Some(-0.0004855375207672291)
smoothing 0.00001 evaluation 940: force 1.0874, moment 0.4668, torque Some(-0.0004855375207672291)
smoothing 0.00001 evaluation 960: force 1.0874, moment 0.4668, torque Some(-0.0004855375207672291)
smoothing 0.00001 evaluation 980: force 1.0875, moment 0.4668, torque Some(-0.0004855375207672291)
smoothing 0.00001 evaluation 1000: force 1.0874, moment 0.4668, torque Some(-0.0004855375207672291)
smoothing 0.00001 evaluation 1020: force 1.0874, moment 0.4668, torque Some(-0.0004855375207672291)
smoothing 0.00001 evaluation 1040: force 1.0867, moment 0.4668, torque Some(-0.0004855375207672291)
smoothing 0.00001 evaluation 1060: force 1.0874, moment 0.4668, torque Some(-0.0004855375207672291)
smoothing 0.00001 evaluation 1080: force 1.0875, moment 0.4668, torque Some(-0.0004855375207672291)
smoothing 0.00001 evaluation 1100: force 1.0874, moment 0.4668, torque Some(-0.0004855375207672291)
smoothing 0.00001 evaluation 1120: force 1.0874, moment 0.4668, torque Some(-0.0004855375207672291)
smoothing 0.00001 evaluation 1140: force 1.0874, moment 0.4669, torque Some(-0.0004855375207672291)
smoothing 0.00001 evaluation 1160: force 1.1118, moment 0.4232, torque Some(-0.011215759266583025)
smoothing 0.00001 evaluation 1180: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1200: force 1.1117, moment 0.4229, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1220: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1240: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1260: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1280: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1300: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1320: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1340: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1360: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1380: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1400: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1420: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1440: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1460: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1480: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1500: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1520: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1540: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1560: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1580: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1600: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1620: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1640: force 1.1117, moment 0.4232, torque Some(-0.011213186301379352)
smoothing 0.00001 evaluation 1660: force 1.1116, moment 0.4232, torque Some(-0.011216105081879979)
smoothing 0.00001 evaluation 1680: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1700: force 1.1118, moment 0.4232, torque Some(-0.011234998884391612)
smoothing 0.00001 evaluation 1720: force 1.1117, moment 0.4232, torque Some(-0.011214929341886837)
smoothing 0.00001 evaluation 1740: force 0.9843, moment 0.4057, torque Some(-0.0018262141135138021)
smoothing 0.00001 evaluation 1760: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 1780: force 0.9841, moment 0.4058, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 1800: force 0.9841, moment 0.4058, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 1820: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 1840: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 1860: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 1880: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 1900: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 1920: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 1940: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 1960: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 1980: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 2000: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 2020: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 2040: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 2060: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 2080: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 2100: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 2120: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 2140: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 2160: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 2180: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
