smoothing 0.00001 evaluation 1340: force 0.0296, moment 0.0078, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1360: force 0.0523, moment 0.0183, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1380: force 0.0296, moment 0.0286, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1400: force 0.0463, moment 0.0086, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1420: force 0.0296, moment 0.0186, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1440: force 0.0525, moment 0.0163, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1460: force 0.0296, moment 0.0078, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1480: force 0.0453, moment 0.0191, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1500: force 0.0296, moment 0.0078, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1520: force 0.0296, moment 0.0078, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1540: force 0.0493, moment 0.0110, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1560: force 0.0296, moment 0.0323, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1580: force 0.0474, moment 0.0120, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1600: force 0.0580, moment 0.0224, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1620: force 0.1498, moment 0.0557, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1640: force 0.0296, moment 0.0078, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1660: force 0.0638, moment 0.0187, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1680: force 0.0296, moment 0.0078, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1700: force 0.0301, moment 0.0097, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1720: force 0.0296, moment 0.0078, torque Some(-0.012195058406629267)
smoothing 0.00001 evaluation 1740: force 0.1034, moment 0.0080, torque Some(-0.009489342510028975)
smoothing 0.00001 evaluation 1760: force 0.0267, moment 0.0088, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 1780: force 0.0748, moment 0.0216, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 1800: force 0.0386, moment 0.0205, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 1820: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 1840: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 1860: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 1880: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 1900: force 0.0292, moment 0.0111, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 1920: force 0.0942, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 1940: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 1960: force 0.0376, moment 0.0076, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 1980: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2000: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2020: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2040: force 0.0433, moment 0.0105, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2060: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2080: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2100: force 0.0620, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2120: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2140: force 0.0555, moment 0.0521, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2160: force 0.0732, moment 0.0178, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2180: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2200: force 0.0289, moment 0.0089, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2220: force 0.0414, moment 0.0178, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2240: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2260: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2280: force 0.0767, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2300: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2320: force 0.0719, moment 0.0512, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2340: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2360: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2380: force 0.0395, moment 0.0177, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2400: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2420: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2440: force 0.0309, moment 0.0085, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2460: force 0.0935, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2480: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2500: force 0.0607, moment 0.0501, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2520: force 0.0289, moment 0.0074, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2540: force 0.0624, moment 0.0229, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2560: force 0.0289, moment 0.0093, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2580: force 0.0486, moment 0.0193, torque Some(-0.011554129222235088)
smoothing 0.00001 evaluation 2600: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2620: force 0.0290, moment 0.0075, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2640: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2660: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2680: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2700: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2720: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2740: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2760: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2780: force 0.0659, moment 0.0158, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2800: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2820: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2840: force 0.0437, moment 0.0095, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2860: force 0.0357, moment 0.0421, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2880: force 0.0493, moment 0.0229, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2900: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2920: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2940: force 0.0334, moment 0.0087, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2960: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 2980: force 0.0768, moment 0.0291, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3000: force 0.0469, moment 0.0147, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3020: force 0.0426, moment 0.0191, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3040: force 0.0290, moment 0.0337, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3060: force 0.0348, moment 0.0092, torque Some(-0.011584724773096133)
