evaluation 14000: force 28.478067527090868, moment 7.267175720104847, torque Some(0.0006098562650558303)
evaluation 14200: force 28.478067527090868, moment 7.267175720104847, torque Some(0.0006098562650558303)
evaluation 14400: force 28.478067527090868, moment 7.267175720104847, torque Some(0.0006098562650558303)
evaluation 14600: force 28.478067527090868, moment 7.267175720104847, torque Some(0.0006098562650558303)
evaluation 14800: force 28.478067527090868, moment 7.267175720104847, torque Some(0.0006098562650558303)
evaluation 15000: force 30.65759396053324, moment 7.266425981299053, torque Some(-0.000853475792793601)
evaluation 15200: force 30.65759396053324, moment 7.266429871460604, torque Some(-0.000853475792793601)
evaluation 15400: force 30.65759396053324, moment 7.266425981299053, torque Some(-0.000853475792793601)
evaluation 15600: force 30.65759396053324, moment 7.266425981299053, torque Some(-0.000853475792793601)
evaluation 15800: force 30.65759396053324, moment 7.266425981299053, torque Some(-0.000853475792793601)
evaluation 16000: force 30.65759396053324, moment 7.266425981299053, torque Some(-0.000853475792793601)
evaluation 16200: force 32.83403297092732, moment 7.829070822443596, torque Some(0.0032045486134477663)
evaluation 16400: force 32.83403297092732, moment 7.829081212240885, torque Some(0.0032045486134477663)
evaluation 16600: force 32.83403297092732, moment 7.829070822443596, torque Some(0.0032045486134477663)
evaluation 16800: force 32.83403460882264, moment 7.829070822443596, torque Some(0.0032045486134477663)
evaluation 17000: force 32.83403297092732, moment 7.829070822443596, torque Some(0.0032045486134477663)
evaluation 17200: force 32.83403297092732, moment 7.829070822443596, torque Some(0.0032045486134477663)
evaluation 17400: force 33.50098732757768, moment 7.889959310249888, torque Some(-0.0013041934297218782)
evaluation 17600: force 33.50098732757768, moment 7.889966433761747, torque Some(-0.0013041934297218782)
evaluation 17800: force 33.50098732757768, moment 7.889959310249888, torque Some(-0.0013041934297218782)
evaluation 18000: force 33.50098983930954, moment 7.889959310249888, torque Some(-0.0013041934297218782)
evaluation 18200: force 33.50098732757768, moment 7.889959310249888, torque Some(-0.0013041934297218782)
evaluation 18400: force 33.50098732757768, moment 7.889959310249888, torque Some(-0.0013041934297218782)
evaluation 18600: force 33.629649641504024, moment 7.991827212798744, torque Some(0.0008582071992089269)
evaluation 18800: force 33.629649641504024, moment 7.991827212798744, torque Some(0.0008582071992089269)
evaluation 19000: force 33.629649641504024, moment 7.991827212798744, torque Some(0.0008582071992089269)
evaluation 19200: force 33.629647673200424, moment 7.991827212798744, torque Some(0.0008582071992089269)
evaluation 19400: force 33.629649641504024, moment 7.991827212798744, torque Some(0.0008582071992089269)
evaluation 19600: force 33.629649641504024, moment 7.991827212798744, torque Some(0.0008582071992089269)
evaluation 19800: force 33.560114078894394, moment 8.094234133794096, torque Some(0.0004194822395385822)
evaluation 20000: force 33.560114078894394, moment 8.09424320109964, torque Some(0.0004194822395385822)
evaluation 20200: force 33.560114078894394, moment 8.09424320109964, torque Some(0.0004194822395385822)
evaluation 20400: force 33.560114078894394, moment 8.09424320109964, torque Some(0.00042132980788056607)
evaluation 20600: force 33.560114078894394, moment 8.09424320109964, torque Some(0.0004194822395385822)
evaluation 20800: force 33.49291027334469, moment 8.154292364489011, torque Some(0.00036299095000291715)
evaluation 21000: force 33.49291027334469, moment 8.154292382405293, torque Some(0.00036299095000291715)
