smoothing 0.003 evaluation 1400: force 6.8861, moment 0.6735, torque Some(1.3063835080563433)
smoothing 0.003 evaluation 1420: force 6.8861, moment 0.6735, torque Some(1.3063835080563433)
smoothing 0.003 evaluation 1440: force 6.8861, moment 0.6735, torque Some(1.3063835080563433)
smoothing 0.003 evaluation 1460: force 6.8861, moment 0.6735, torque Some(1.3063835080563433)
smoothing 0.003 evaluation 1480: force 6.8861, moment 0.6735, torque Some(1.3063835080563433)
smoothing 0.003 evaluation 1500: force 6.8861, moment 0.6735, torque Some(1.3063835080563433)
smoothing 0.003 evaluation 1520: force 6.8861, moment 0.6735, torque Some(1.3063835080563433)
smoothing 0.003 evaluation 1540: force 6.8861, moment 0.6735, torque Some(1.3063835080563433)
smoothing 0.003 evaluation 1560: force 6.8861, moment 0.6735, torque Some(1.3063835080563433)
smoothing 0.003 evaluation 1580: force 6.8861, moment 0.6735, torque Some(1.3063835080563433)
smoothing 0.003 evaluation 1600: force 6.8861, moment 0.6735, torque Some(1.3063835080563433)
smoothing 0.003 evaluation 1620: force 6.8861, moment 0.6735, torque Some(1.3063834605920743)
smoothing 0.003 evaluation 1640: force 6.8861, moment 0.6735, torque Some(1.3063835080563433)
smoothing 0.003 evaluation 1660: force 6.8861, moment 0.6735, torque Some(1.3063825742470871)
smoothing 0.003 evaluation 1680: force 6.8861, moment 0.6735, torque Some(1.3063833411973396)
smoothing 0.003 evaluation 1700: force 6.8861, moment 0.6734, torque Some(1.3063836853531425)
smoothing 0.003 evaluation 1720: force 6.8861, moment 0.6735, torque Some(1.3063650038181203)
smoothing 0.003 evaluation 1740: force 6.5481, moment 0.4913, torque Some(0.6244285273593342)
smoothing 0.003 evaluation 1760: force 6.5481, moment 0.4913, torque Some(0.6244238801640887)
smoothing 0.003 evaluation 1780: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 1800: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 1820: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 1840: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 1860: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 1880: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 1900: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 1920: force 6.5482, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 1940: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 1960: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 1980: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2000: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2020: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2040: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2060: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2080: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2100: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2120: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2140: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2160: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2180: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2200: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2220: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
