smoothing 0.00001 evaluation 1340: force 1.9555, moment 0.6811, torque Some(-0.1969612264767485)
smoothing 0.00001 evaluation 1360: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1380: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1400: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1420: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1440: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1460: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1480: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1500: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1520: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1540: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1560: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1580: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1600: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1620: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1640: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1660: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1680: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1700: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1720: force 1.9555, moment 0.6811, torque Some(-0.19696101348908998)
smoothing 0.00001 evaluation 1740: force 1.1790, moment 0.3754, torque Some(-0.05043924118397536)
smoothing 0.00001 evaluation 1760: force 1.1770, moment 0.3750, torque Some(-0.050440816441222835)
smoothing 0.00001 evaluation 1780: force 1.1770, moment 0.3750, torque Some(-0.05044155670951017)
smoothing 0.00001 evaluation 1800: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 1820: force 1.1770, moment 0.3750, torque Some(-0.0504639291349912)
smoothing 0.00001 evaluation 1840: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 1860: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 1880: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 1900: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 1920: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 1940: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 1960: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 1980: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 2000: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 2020: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 2040: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 2060: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 2080: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 2100: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 2120: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 2140: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 2160: force 1.1770, moment 0.3750, torque Some(-0.05043939581847062)
smoothing 0.00001 evaluation 2180: force 0.4709, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2200: force 0.4713, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2220: force 0.4706, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2240: force 0.4706, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2260: force 0.4706, moment 0.1136, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2280: force 0.4706, moment 0.1139, torque Some(-0.13211322567025663)
smoothing 0.00001 evaluation 2300: force 0.4706, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2320: force 0.4706, moment 0.1139, torque Some(-0.13211299244889452)
smoothing 0.00001 evaluation 2340: force 0.4706, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2360: force 0.4706, moment 0.1139, torque Some(-0.1321262011120836)
smoothing 0.00001 evaluation 2380: force 0.4706, moment 0.1139, torque Some(-0.1321778046421967)
smoothing 0.00001 evaluation 2400: force 0.4706, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2420: force 0.4706, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2440: force 0.4706, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2460: force 0.4706, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2480: force 0.4706, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2500: force 0.4706, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2520: force 0.4706, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2540: force 0.4706, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2560: force 0.4706, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2580: force 0.4706, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2600: force 0.4706, moment 0.1139, torque Some(-0.13211318396286192)
smoothing 0.00001 evaluation 2620: force 0.4700, moment 0.0658, torque Some(-0.07338665216021956)
smoothing 0.00001 evaluation 2640: force 0.4520, moment 0.0598, torque Some(-0.07338543369704449)
smoothing 0.00001 evaluation 2660: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2680: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2700: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2720: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2740: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2760: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2780: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2800: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2820: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2840: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2860: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2880: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2900: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2920: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2940: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2960: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 2980: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 3000: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 3020: force 0.4520, moment 0.0598, torque Some(-0.07338550875436335)
smoothing 0.00001 evaluation 3040: force 0.4299, moment 0.0558, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3060: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3080: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3100: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3120: force 0.4304, moment 0.0560, torque Some(-0.014371721885688693)
smoothing 0.00001 evaluation 3140: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3160: force 0.4304, moment 0.0560, torque Some(-0.01437117011177369)
smoothing 0.00001 evaluation 3180: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3200: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3220: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3240: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3260: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3280: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3300: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3320: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3340: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3360: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3380: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3400: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3420: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3440: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3460: force 0.4304, moment 0.0560, torque Some(-0.014371681562884042)
smoothing 0.00001 evaluation 3480: force 0.3794, moment 0.0453, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3500: force 0.3785, moment 0.0455, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3520: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3540: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3560: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3580: force 0.3800, moment 0.0457, torque Some(-0.01550335547302728)
smoothing 0.00001 evaluation 3600: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3620: force 0.3800, moment 0.0457, torque Some(-0.014579366528472804)
smoothing 0.00001 evaluation 3640: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3660: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3680: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3700: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3720: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3740: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3760: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3780: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3800: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3820: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3840: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3860: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3880: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3900: force 0.3800, moment 0.0457, torque Some(-0.015506048362506686)
smoothing 0.00001 evaluation 3920: force 0.2618, moment 0.0372, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 3940: force 0.2796, moment 0.0371, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 3960: force 0.2796, moment 0.0349, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 3980: force 0.2796, moment 0.0372, torque Some(-0.012017361058417109)
smoothing 0.00001 evaluation 4000: force 0.2796, moment 0.0372, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 4020: force 0.2796, moment 0.0372, torque Some(-0.012020507404564285)
smoothing 0.00001 evaluation 4040: force 0.2796, moment 0.0501, torque Some(-0.012018275688218338)
