evaluation 14000: force 0.1683042125547964, moment 0.0633139519587712, torque Some(0.25118414099533637)
evaluation 14200: force 0.1683042125547964, moment 0.06331491661432785, torque Some(0.2511841712936803)
evaluation 14400: force 0.1683042125547964, moment 0.0633139519587712, torque Some(0.2511841712936803)
evaluation 14600: force 0.1683042125547964, moment 0.0633139519587712, torque Some(0.2511841712936803)
evaluation 14800: force 0.1685656737835712, moment 0.0633139519587712, torque Some(0.2511841712936803)
evaluation 15000: force 0.16830635353643944, moment 0.06331408001754321, torque Some(0.2511939422961925)
evaluation 15200: force 0.16830635353643944, moment 0.06331408001754321, torque Some(0.25119396272159944)
evaluation 15400: force 0.16830635353643944, moment 0.06331408895283516, torque Some(0.2511939422961925)
evaluation 15600: force 0.16830635353643944, moment 0.06331408001754321, torque Some(0.2511939422961925)
evaluation 15800: force 0.16830635353643944, moment 0.06331408001754321, torque Some(0.2511939422961925)
evaluation 16000: force 0.16830635353643944, moment 0.06331408001754321, torque Some(0.2511939422961925)
evaluation 16200: force 0.168307000467062, moment 0.06331410973372947, torque Some(0.25119687596175366)
evaluation 16400: force 0.168307000467062, moment 0.06331410973372947, torque Some(0.25119687596175366)
evaluation 16600: force 0.168307000467062, moment 0.06326618434009994, torque Some(0.25119687596175366)
evaluation 16800: force 0.168307000467062, moment 0.06331410973372947, torque Some(0.25119687596175366)
evaluation 17000: force 0.168307000467062, moment 0.06331410973372947, torque Some(0.25119687596175366)
evaluation 17200: force 0.168307000467062, moment 0.06331410973372947, torque Some(0.25119687596175366)
evaluation 17400: force 0.16830863176823396, moment 0.06331411719643436, torque Some(0.25120569081455285)
evaluation 17600: force 0.16830863176823396, moment 0.06331411719643436, torque Some(0.25120569081455285)
evaluation 17800: force 0.16830863176823396, moment 0.06331411719643436, torque Some(0.25120569081455285)
evaluation 18000: force 0.16830863176823396, moment 0.06331411719643436, torque Some(0.25120569081455285)
evaluation 18200: force 0.16830738584354787, moment 0.06331411719643436, torque Some(0.25120569081455285)
evaluation 18400: force 0.16830912648545113, moment 0.0633141123501654, torque Some(0.2512083365038552)
evaluation 18600: force 0.16830912648545113, moment 0.0633141123501654, torque Some(0.2512083330060596)
evaluation 18800: force 0.16830912648545113, moment 0.06331411369324244, torque Some(0.2512083365038552)
evaluation 19000: force 0.16830912648545113, moment 0.0633141123501654, torque Some(0.2512083365038552)
evaluation 19200: force 0.16830912648545113, moment 0.0633141123501654, torque Some(0.2512083365038552)
evaluation 19400: force 0.16830912648545113, moment 0.0633141123501654, torque Some(0.2512083365038552)
evaluation 19600: force 0.16830927533137863, moment 0.06331411026184575, torque Some(0.2512091303209204)
evaluation 19800: force 0.16830927533137863, moment 0.06331411026184575, torque Some(0.2512090780322455)
evaluation 20000: force 0.16830927533137863, moment 0.06331402251501134, torque Some(0.2512091303209204)
evaluation 20200: force 0.16830927533137863, moment 0.06331411026184575, torque Some(0.2512091303209204)
evaluation 20400: force 0.16830927533137863, moment 0.06331411026184575, torque Some(0.2512091303209204)
evaluation 20600: force 0.16830927533137863, moment 0.06331411026184575, torque Some(0.2512091303209204)
evaluation 20800: force 0.1683096979633669, moment 0.06331409806042769, torque Some(0.2512115127595082)
evaluation 21000: force 0.1683096979633669, moment 0.06331409806042769, torque Some(0.2512115127595082)
evaluation 21200: force 0.1683096979633669, moment 0.06331413329833892, torque Some(0.2512115127595082)
evaluation 21400: force 0.1683096979633669, moment 0.06331409806042769, torque Some(0.2512115127595082)
evaluation 21600: force 0.1683096979633669, moment 0.06331409806042769, torque Some(0.2512115127595082)
evaluation 21800: force 0.1683096979633669, moment 0.06331409806042769, torque Some(0.2512115127595082)
evaluation 22000: force 0.16830982507456307, moment 0.06331409387978597, torque Some(0.25121222757922446)
evaluation 22200: force 0.16830982507456307, moment 0.06331409387978597, torque Some(0.25121222757922446)
evaluation 22400: force 0.16830982507456307, moment 0.06331409387978597, torque Some(0.25121222757922446)
evaluation 22600: force 0.16830982507456307, moment 0.06331409387978597, torque Some(0.25121222757922446)
evaluation 22800: force 0.16831107099963996, moment 0.06331409387978597, torque Some(0.25121222757922446)
evaluation 23000: force 0.1683101873629004, moment 0.06331407654069507, torque Some(0.2512143728288076)
evaluation 23200: force 0.1683101873629004, moment 0.06331407654069507, torque Some(0.2512143728288076)
evaluation 23400: force 0.1683101873629004, moment 0.06331427399217973, torque Some(0.2512143728288076)
evaluation 23600: force 0.1683101873629004, moment 0.06331407654069507, torque Some(0.2512143728288076)
evaluation 23800: force 0.1683101873629004, moment 0.06331407654069507, torque Some(0.2512143728288076)
evaluation 24000: force 0.1681789722671927, moment 0.06331407654069507, torque Some(0.2512143728288076)
evaluation 24200: force 0.16831029636026748, moment 0.06331407092310765, torque Some(0.25121501647407163)
evaluation 24400: force 0.16831029636026748, moment 0.06331407092310765, torque Some(0.2512149835598641)
evaluation 24600: force 0.16831029636026748, moment 0.06331550258875707, torque Some(0.25121501647407163)
evaluation 24800: force 0.16831029636026748, moment 0.06331407092310765, torque Some(0.25121501647407163)
evaluation 25000: force 0.16831029636026748, moment 0.06331407092310765, torque Some(0.25121501647407163)
evaluation 25200: force 0.16827646568823024, moment 0.06331407092310765, torque Some(0.25121501647407163)
evaluation 25400: force 0.16831032913447036, moment 0.06331406920188934, torque Some(0.25121520957399335)
evaluation 25600: force 0.16831032913447036, moment 0.06331406920188934, torque Some(0.2512152293225178)
evaluation 25800: force 0.16831032913447036, moment 0.06331376116952475, torque Some(0.25121520957399335)
evaluation 26000: force 0.16831032913447036, moment 0.06331406920188934, torque Some(0.25121520957399335)
evaluation 26200: force 0.16831032913447036, moment 0.06331406920188934, torque Some(0.25121520957399335)
evaluation 26400: force 0.16831032913447036, moment 0.06331406920188934, torque Some(0.25121520957399335)
evaluation 26600: force 0.16831033899596598, moment 0.06331406868058025, torque Some(0.25121526750454043)
evaluation 26800: force 0.16831033899596598, moment 0.06331406868058025, torque Some(0.25121526750454043)
evaluation 27000: force 0.16831033899596598, moment 0.06331332460754831, torque Some(0.25121526750454043)
evaluation 27200: force 0.16831033899596598, moment 0.06331406868058025, torque Some(0.25121526750454043)
evaluation 27400: force 0.16831033899596598, moment 0.06331406868058025, torque Some(0.25121526750454043)
evaluation 27600: force 0.16831033899596598, moment 0.06331406868058025, torque Some(0.25121526750454043)
evaluation 27800: force 0.16831036831239837, moment 0.06331406708631802, torque Some(0.2512154413013139)
evaluation 28000: force 0.16831036831239837, moment 0.06331406708631802, torque Some(0.2512154413013139)
evaluation 28200: force 0.16831036831239837, moment 0.06331406708631802, torque Some(0.2512154413013139)
evaluation 28400: force 0.16831036831239837, moment 0.06331406708631802, torque Some(0.2512154413013139)
evaluation 28600: force 0.1683219402415424, moment 0.06331406708631802, torque Some(0.2512154413013139)
evaluation 28800: force 0.16831036831239837, moment 0.06331406708631802, torque Some(0.2512154413013139)
evaluation 29000: force 0.16831037715775793, moment 0.06331406660009138, torque Some(0.2512154868579651)
evaluation 29200: force 0.16831037715775793, moment 0.06331406660009138, torque Some(0.25121549344080646)
evaluation 29400: force 0.16831037715775793, moment 0.06331406660009138, torque Some(0.25121549344080646)
evaluation 29600: force 0.16831037715775793, moment 0.06331406660009138, torque Some(0.25121549344080646)
evaluation 29800: force 0.16826422707471395, moment 0.06331406660009138, torque Some(0.25121549344080646)
evaluation 30000: force 0.16831037715775793, moment 0.06331406660009138, torque Some(0.25121549344080646)
evaluation 30200: force 0.16831040345266637, moment 0.06331406513169784, torque Some(0.2512156498634783)
evaluation 30400: force 0.16831040345266637, moment 0.06331402969712592, torque Some(0.2512156498634783)
evaluation 30600: force 0.16831040345266637, moment 0.06331406513169784, torque Some(0.2512156498634783)
evaluation 30800: force 0.16831040345266637, moment 0.06331406513169784, torque Some(0.2512156498634783)
evaluation 31000: force 0.16831898347809962, moment 0.06331406513169784, torque Some(0.2512156498634783)
evaluation 31200: force 0.16831040345266637, moment 0.06331406513169784, torque Some(0.2512156498634783)
evaluation 31400: force 0.16831040423955737, moment 0.06331406508993206, torque Some(0.251215654556168)
evaluation 31600: force 0.16831040423955737, moment 0.06331406508993206, torque Some(0.251215654556168)
evaluation 31800: force 0.16831040423955737, moment 0.06331406508993206, torque Some(0.251215654556168)
evaluation 32000: force 0.16831040423955737, moment 0.06331406508993206, torque Some(0.251215654556168)
evaluation 32200: force 0.16831040423955737, moment 0.06331406508993206, torque Some(0.251215654556168)
evaluation 32400: force 0.16831040423955737, moment 0.06331406508993206, torque Some(0.251215654556168)
evaluation 32600: force 0.16831040447245418, moment 0.06331406507507382, torque Some(0.25121565596396517)
evaluation 32800: force 0.16831040447245418, moment 0.06331406507507382, torque Some(0.25121565596396517)
evaluation 33000: force 0.16831040447245418, moment 0.06331367328582353, torque Some(0.25121565596396517)
evaluation 33200: force 0.16831040447245418, moment 0.06331406507507382, torque Some(0.25121565596396517)
evaluation 33400: force 0.16831040447245418, moment 0.06331406507507382, torque Some(0.25121565596396517)
evaluation 33600: force 0.1683145049900877, moment 0.06331406507507382, torque Some(0.25121565596396517)
evaluation 33800: force 0.16831040522313725, moment 0.06331406503394935, torque Some(0.2512156601873787)
evaluation 34000: force 0.16831040522313725, moment 0.06331406503394935, torque Some(0.2512156601873787)
evaluation 34200: force 0.16831040522313725, moment 0.06308403607308127, torque Some(0.2512156601873787)
evaluation 34400: force 0.16831040522313725, moment 0.06331406503394935, torque Some(0.2512156601873787)
evaluation 34600: force 0.16831040522313725, moment 0.06331406503394935, torque Some(0.2512156601873787)
evaluation 34800: force 0.16832729785342992, moment 0.06331406503394935, torque Some(0.2512156601873787)
evaluation 35000: force 0.16831040522313725, moment 0.06331406503394935, torque Some(0.2512156601873787)
evaluation 35200: force 0.1683104054459106, moment 0.06331406502477314, torque Some(0.25121566145441176)
evaluation 35400: force 0.1683104054459106, moment 0.06331406502477314, torque Some(0.25121566145441176)
evaluation 35600: force 0.1683104054459106, moment 0.06331406502477314, torque Some(0.25121566145441176)
evaluation 35800: force 0.1683104054459106, moment 0.06331406502477314, torque Some(0.25121566145441176)
evaluation 36000: force 0.1683104054459106, moment 0.06331406502477314, torque Some(0.25121566145441176)
evaluation 36200: force 0.16831854802030846, moment 0.06331406502477314, torque Some(0.25121566145441176)
evaluation 36400: force 0.16397487663236224, moment 0.06276506618512975, torque Some(0.25253883221299933)
evaluation 36600: force 0.16397487663236224, moment 0.06276506618512975, torque Some(0.25253883221299933)
