evaluation 13200: force 0.1677877485536811, moment 0.05377715655649132, torque Some(-8.608705894141977e-6)
evaluation 13400: force 0.1677877485536811, moment 0.05377715655649132, torque Some(-8.608705894141977e-6)
evaluation 13600: force 0.1677877485536811, moment 0.05377715655649132, torque Some(-8.608705894141977e-6)
evaluation 13800: force 0.17279429065366336, moment 0.05321085624758628, torque Some(-7.834783204208051e-6)
evaluation 14000: force 0.17279429065366336, moment 0.05321085624758628, torque Some(-7.834783204208051e-6)
evaluation 14200: force 0.17279429065366336, moment 0.05321085624758628, torque Some(-7.834783204208051e-6)
evaluation 14400: force 0.17279429065366336, moment 0.05321085624758628, torque Some(-7.834783204208051e-6)
evaluation 14600: force 0.17279429065366336, moment 0.05321085624758628, torque Some(-7.834783204208051e-6)
evaluation 14800: force 0.17279429065366336, moment 0.05321085624758628, torque Some(-7.834783204208051e-6)
evaluation 15000: force 0.1733022018435878, moment 0.05421636035932635, torque Some(-6.992663602156668e-6)
evaluation 15200: force 0.1733022018435878, moment 0.0542127309674841, torque Some(-6.990518127691914e-6)
evaluation 15400: force 0.1733022018435878, moment 0.05421636035932635, torque Some(-6.990518127691914e-6)
evaluation 15600: force 0.1733022018435878, moment 0.05421636035932635, torque Some(-6.990518127691914e-6)
evaluation 15800: force 0.1733104002733984, moment 0.05421636035932635, torque Some(-6.990518127691914e-6)
evaluation 16000: force 0.1733022018435878, moment 0.05421636035932635, torque Some(-6.990518127691914e-6)
evaluation 16200: force 0.17592258862774782, moment 0.05434214635645752, torque Some(-5.918488499734309e-6)
evaluation 16400: force 0.17592258862774782, moment 0.05434223281547213, torque Some(-6.550897179602444e-6)
evaluation 16600: force 0.17592258862774782, moment 0.05434214635645752, torque Some(-6.550897179602444e-6)
evaluation 16800: force 0.17592258862774782, moment 0.05434214635645752, torque Some(-6.550897179602444e-6)
evaluation 17000: force 0.17592513321122455, moment 0.05434214635645752, torque Some(-6.550897179602444e-6)
evaluation 17200: force 0.17592258862774782, moment 0.05434214635645752, torque Some(-6.550897179602444e-6)
evaluation 17400: force 0.18169915503411857, moment 0.054309559176772965, torque Some(-5.3743887973300986e-6)
evaluation 17600: force 0.18169915503411857, moment 0.054309559176772965, torque Some(-5.3743887973300986e-6)
evaluation 17800: force 0.18169915503411857, moment 0.054309559176772965, torque Some(-5.3743887973300986e-6)
evaluation 18000: force 0.18169915503411857, moment 0.054309559176772965, torque Some(-5.3743887973300986e-6)
evaluation 18200: force 0.18169915503411857, moment 0.054309559176772965, torque Some(-5.3743887973300986e-6)
evaluation 18400: force 0.17872455784505456, moment 0.05572936368304075, torque Some(-5.304863196942122e-6)
evaluation 18600: force 0.17872455784505456, moment 0.05572936368304075, torque Some(-5.304863196942122e-6)
evaluation 18800: force 0.17872455784505456, moment 0.05572936368304075, torque Some(-5.304863196942122e-6)
evaluation 19000: force 0.17872455784505456, moment 0.05572936368304075, torque Some(-5.304863196942122e-6)
evaluation 19200: force 0.17872455784505456, moment 0.05572936368304075, torque Some(-5.304863196942122e-6)
