evaluation 14200: force 0.27104476847121073, moment 0.11113945454670668, torque Some(0.24073526502644038)
evaluation 14400: force 0.27104476847121073, moment 0.11113945454670668, torque Some(0.24073526502644038)
evaluation 14600: force 0.27104476847121073, moment 0.11113945454670668, torque Some(0.24073526502644038)
evaluation 14800: force 0.27104475640089604, moment 0.1111395493566014, torque Some(0.24073526502644038)
evaluation 15000: force 0.2607033028906925, moment 0.11086724279750534, torque Some(0.23937159096204852)
evaluation 15200: force 0.2607033028906925, moment 0.11086724279750534, torque Some(0.23937162375002646)
evaluation 15400: force 0.2607033028906925, moment 0.11086724279750534, torque Some(0.23937159096204852)
evaluation 15600: force 0.2607033028906925, moment 0.11086724279750534, torque Some(0.23937159096204852)
evaluation 15800: force 0.2607033028906925, moment 0.11086724279750534, torque Some(0.23937159096204852)
evaluation 16000: force 0.2607033028906925, moment 0.11086724279750534, torque Some(0.23937159096204852)
evaluation 16200: force 0.259420047380962, moment 0.11115787104706433, torque Some(0.23924546369808736)
evaluation 16400: force 0.259420047380962, moment 0.11115787104706433, torque Some(0.23924546369808736)
evaluation 16600: force 0.259420047380962, moment 0.11115787104706433, torque Some(0.23924546369808736)
evaluation 16800: force 0.259420047380962, moment 0.11115787104706433, torque Some(0.23924546369808736)
evaluation 17000: force 0.2594219437978551, moment 0.11115944713200311, torque Some(0.23924546369808736)
evaluation 17200: force 0.259420047380962, moment 0.11115787104706433, torque Some(0.23924546369808736)
evaluation 17400: force 0.2586103407704369, moment 0.11090430866447605, torque Some(0.23912082996896855)
evaluation 17600: force 0.2586103407704369, moment 0.11090430866447605, torque Some(0.23912082996896855)
evaluation 17800: force 0.2586103407704369, moment 0.11090430866447605, torque Some(0.23912082996896855)
evaluation 18000: force 0.2586103407704369, moment 0.11090430866447605, torque Some(0.23912082996896855)
evaluation 18200: force 0.25861031392650735, moment 0.11090451711545575, torque Some(0.23912082996896855)
evaluation 18400: force 0.2558001233094397, moment 0.11113867613539416, torque Some(0.2387575138305224)
evaluation 18600: force 0.2558001233094397, moment 0.11113867613539416, torque Some(0.2387575138305224)
evaluation 18800: force 0.2558001233094397, moment 0.11113867613539416, torque Some(0.2387575138305224)
evaluation 19000: force 0.2558001233094397, moment 0.11113867613539416, torque Some(0.2387575138305224)
evaluation 19200: force 0.2558001233094397, moment 0.11113867613539416, torque Some(0.2387575138305224)
evaluation 19400: force 0.2558001233094397, moment 0.11113867613539416, torque Some(0.2387575138305224)
evaluation 19600: force 0.24980045933700815, moment 0.11041180953440359, torque Some(0.23775548677652936)
evaluation 19800: force 0.24980045933700815, moment 0.11041180953440359, torque Some(0.23775547854379078)
evaluation 20000: force 0.24980045933700815, moment 0.11041180953440359, torque Some(0.23775548677652936)
evaluation 20200: force 0.24980045933700815, moment 0.11041180953440359, torque Some(0.23775548677652936)
evaluation 20400: force 0.24980045933700815, moment 0.11041180953440359, torque Some(0.23775548677652936)
evaluation 20600: force 0.24980045933700815, moment 0.11041180953440359, torque Some(0.23775548677652936)
evaluation 20800: force 0.24934913776709705, moment 0.11070016675220706, torque Some(0.23772537676171962)
evaluation 21000: force 0.24934913776709705, moment 0.11070016675220706, torque Some(0.23772537676171962)
evaluation 21200: force 0.24934913776709705, moment 0.11070016675220706, torque Some(0.23772537676171962)
evaluation 21400: force 0.24934913776709705, moment 0.11070016675220706, torque Some(0.23772537676171962)
evaluation 21600: force 0.24979075875029733, moment 0.11045491462142314, torque Some(0.23772537676171962)
evaluation 21800: force 0.24934913776709705, moment 0.11070016675220706, torque Some(0.23772537676171962)
evaluation 22000: force 0.24886584054404154, moment 0.1105540809053995, torque Some(0.237635056229768)
evaluation 22200: force 0.24886584054404154, moment 0.1105540809053995, torque Some(0.237635056229768)
evaluation 22400: force 0.24886584054404154, moment 0.1105540809053995, torque Some(0.237635056229768)
evaluation 22600: force 0.24886584054404154, moment 0.1105540809053995, torque Some(0.237635056229768)
evaluation 22800: force 0.24958839181913625, moment 0.11030468247681506, torque Some(0.237635056229768)
evaluation 23000: force 0.24713437602576063, moment 0.1106259782551674, torque Some(0.23736752151472024)
evaluation 23200: force 0.24713437602576063, moment 0.1106259782551674, torque Some(0.23736752151472024)
evaluation 23400: force 0.24713437602576063, moment 0.1106259782551674, torque Some(0.23736752151472024)
evaluation 23600: force 0.24713437602576063, moment 0.1106259782551674, torque Some(0.23736752151472024)
evaluation 23800: force 0.24713437602576063, moment 0.1106259782551674, torque Some(0.23736752151472024)
evaluation 24000: force 0.24713437602576063, moment 0.1106259782551674, torque Some(0.23736752151472024)
evaluation 24200: force 0.2468572806970529, moment 0.1103460203285622, torque Some(0.23728745103498572)
evaluation 24400: force 0.2468572806970529, moment 0.1103460203285622, torque Some(0.23728745926770378)
evaluation 24600: force 0.2468572806970529, moment 0.1103460203285622, torque Some(0.23728745103498572)
evaluation 24800: force 0.2468572806970529, moment 0.1103460203285622, torque Some(0.23728745103498572)
evaluation 25000: force 0.2468572806970529, moment 0.1103460203285622, torque Some(0.23728745103498572)
evaluation 25200: force 0.2468572806970529, moment 0.1103460203285622, torque Some(0.23728745103498572)
evaluation 25400: force 0.2453019005336909, moment 0.11046852147826901, torque Some(0.23705069509322424)
evaluation 25600: force 0.2453019005336909, moment 0.11046852147826901, torque Some(0.2370506959995105)
evaluation 25800: force 0.2453019005336909, moment 0.11046852147826901, torque Some(0.23705069509322424)
evaluation 26000: force 0.2453019005336909, moment 0.11046852147826901, torque Some(0.23705069509322424)
evaluation 26200: force 0.24573056177001834, moment 0.11023352546443425, torque Some(0.23705069509322424)
evaluation 26400: force 0.2453019005336909, moment 0.11046852147826901, torque Some(0.23705069509322424)
evaluation 26600: force 0.24315930362700072, moment 0.10985713372746676, torque Some(0.23637043286657944)
evaluation 26800: force 0.24315930362700072, moment 0.10985713372746676, torque Some(0.23637043286657944)
evaluation 27000: force 0.24315930362700072, moment 0.10985713372746676, torque Some(0.23637043286657944)
evaluation 27200: force 0.24315930362700072, moment 0.10985713372746676, torque Some(0.23637043286657944)
evaluation 27400: force 0.24323307853643167, moment 0.10982917113256385, torque Some(0.23637043286657944)
evaluation 27600: force 0.2353943517858675, moment 0.10939845271995899, torque Some(0.2345273635472)
evaluation 27800: force 0.2353943517858675, moment 0.10939845271995899, torque Some(0.2345273635472)
evaluation 28000: force 0.2353943517858675, moment 0.10939845271995899, torque Some(0.2345273635472)
evaluation 28200: force 0.2353943517858675, moment 0.10939845271995899, torque Some(0.2345273635472)
evaluation 28400: force 0.2353943517858675, moment 0.10939845271995899, torque Some(0.2345273635472)
evaluation 28600: force 0.2353943517858675, moment 0.10939845271995899, torque Some(0.2345273635472)
evaluation 28800: force 0.23639558408804928, moment 0.1089822451520632, torque Some(0.23447190142919308)
evaluation 29000: force 0.23639558408804928, moment 0.1089822451520632, torque Some(0.23447190461270398)
evaluation 29200: force 0.23639558408804928, moment 0.1089822451520632, torque Some(0.23447190142919308)
evaluation 29400: force 0.23639558408804928, moment 0.1089822451520632, torque Some(0.23447190142919308)
evaluation 29600: force 0.23639558408804928, moment 0.1089822451520632, torque Some(0.23447190142919308)
evaluation 29800: force 0.23639558408804928, moment 0.1089822451520632, torque Some(0.23447190142919308)
evaluation 30000: force 0.2355796488799654, moment 0.10915928641937385, torque Some(0.23441705730116483)
evaluation 30200: force 0.2355796488799654, moment 0.10915928641937385, torque Some(0.23441633040524384)
evaluation 30400: force 0.2355796488799654, moment 0.10915928641937385, torque Some(0.23441705730116483)
evaluation 30600: force 0.2355796488799654, moment 0.10915928641937385, torque Some(0.23441705730116483)
evaluation 30800: force 0.23558139928675204, moment 0.10915676126066899, torque Some(0.23441705730116483)
evaluation 31000: force 0.2355796488799654, moment 0.10915928641937385, torque Some(0.23441705730116483)
evaluation 31200: force 0.23576576566687138, moment 0.10883306393533852, torque Some(0.2342543462181702)
evaluation 31400: force 0.23576576566687138, moment 0.10883306393533852, torque Some(0.2342543462181702)
evaluation 31600: force 0.23576576566687138, moment 0.10883306393533852, torque Some(0.2342543462181702)
evaluation 31800: force 0.23576576566687138, moment 0.10883306393533852, torque Some(0.2342543462181702)
evaluation 32000: force 0.2357820395401433, moment 0.10882667032579736, torque Some(0.2342543462181702)
evaluation 32200: force 0.23493193082316777, moment 0.10901517627263002, torque Some(0.2342005743809602)
evaluation 32400: force 0.23493193082316777, moment 0.10901517627263002, torque Some(0.2342005701566163)
evaluation 32600: force 0.23493193082316777, moment 0.10901517627263002, torque Some(0.2342005743809602)
evaluation 32800: force 0.23493193082316777, moment 0.10901517627263002, torque Some(0.2342005743809602)
evaluation 33000: force 0.23493193082316777, moment 0.10901517627263002, torque Some(0.2342005743809602)
evaluation 33200: force 0.23493193082316777, moment 0.10901517627263002, torque Some(0.2342005743809602)
evaluation 33400: force 0.2350806990314797, moment 0.1086960334780438, torque Some(0.23404131552189703)
evaluation 33600: force 0.2350806990314797, moment 0.1086960334780438, torque Some(0.23404131552189703)
evaluation 33800: force 0.2350806990314797, moment 0.1086960334780438, torque Some(0.23404131552189703)
evaluation 34000: force 0.2350806990314797, moment 0.1086960334780438, torque Some(0.23404131552189703)
evaluation 34200: force 0.23508167843020455, moment 0.10869566423558973, torque Some(0.23404131552189703)
evaluation 34400: force 0.2350806990314797, moment 0.1086960334780438, torque Some(0.23404131552189703)
