evaluation 14000: force 0.07119712887144036, moment 0.028402717129349105, torque Some(0.31041839041342806)
evaluation 14200: force 0.07119712887144036, moment 0.028402717129349105, torque Some(0.31041839041342806)
evaluation 14400: force 0.07119712887144036, moment 0.028402717129349105, torque Some(0.31041839041342806)
evaluation 14600: force 0.07119712887144036, moment 0.028402717129349105, torque Some(0.31041839041342806)
evaluation 14800: force 0.07119712887144036, moment 0.028402717129349105, torque Some(0.31041839041342806)
evaluation 15000: force 0.07119712887144036, moment 0.028402717129349105, torque Some(0.31041839041342806)
evaluation 15200: force 0.07119712887144036, moment 0.028402717129349105, torque Some(0.31041839041342806)
evaluation 15400: force 0.07119712887144036, moment 0.028402717129349105, torque Some(0.31041839041342806)
evaluation 15600: force 0.07119712887144036, moment 0.028402717129349105, torque Some(0.31041839041342806)
evaluation 15800: force 0.07119712887144036, moment 0.028402717129349105, torque Some(0.31041839041342806)
evaluation 16000: force 0.07119712887144036, moment 0.028402717129349105, torque Some(0.31041839041342806)
evaluation 16200: force 0.07120679790770379, moment 0.028417455628350907, torque Some(0.3104233644131031)
evaluation 16400: force 0.07120679790770379, moment 0.028417455628350907, torque Some(0.3104233644131031)
evaluation 16600: force 0.07120679790770379, moment 0.028417455628350907, torque Some(0.3104233644131031)
evaluation 16800: force 0.07120679790770379, moment 0.028786569746702472, torque Some(0.3104233644131031)
evaluation 17000: force 0.07120679790770379, moment 0.028417455628350907, torque Some(0.3104233644131031)
evaluation 17200: force 0.07120679790770379, moment 0.028417455628350907, torque Some(0.3104233644131031)
evaluation 17400: force 0.07120679790770379, moment 0.028417455628350907, torque Some(0.3104233644131031)
evaluation 17600: force 0.07113904324714582, moment 0.028417455628350907, torque Some(0.3104233644131031)
evaluation 17800: force 0.07120679790770379, moment 0.028417455628350907, torque Some(0.3104233644131031)
evaluation 18000: force 0.07120679790770379, moment 0.028417455628350907, torque Some(0.3104233644131031)
evaluation 18200: force 0.07120679790770379, moment 0.028417455628350907, torque Some(0.3104233644131031)
evaluation 18400: force 0.07120679790770379, moment 0.028417455628350907, torque Some(0.3104233644131031)
evaluation 18600: force 0.07121667008654486, moment 0.028428260430371152, torque Some(0.31042733313921)
evaluation 18800: force 0.07121667008654486, moment 0.028428260430371152, torque Some(0.31042733313921)
evaluation 19000: force 0.07121667008654486, moment 0.028428260430371152, torque Some(0.31042733313921)
evaluation 19200: force 0.07121667008654486, moment 0.028428260430371152, torque Some(0.31042733313921)
evaluation 19400: force 0.07121667008654486, moment 0.028428260430371152, torque Some(0.31042733313921)
evaluation 19600: force 0.07121667008654486, moment 0.028428260430371152, torque Some(0.31042733313921)
evaluation 19800: force 0.07121667008654486, moment 0.028428260430371152, torque Some(0.31042733313921)
evaluation 20000: force 0.07121667008654486, moment 0.028428260430371152, torque Some(0.31042733313921)
evaluation 20200: force 0.07121667008654486, moment 0.028428260430371152, torque Some(0.31042733313921)
evaluation 20400: force 0.07121667008654486, moment 0.028428260430371152, torque Some(0.31042733313921)
evaluation 20600: force 0.07121667008654486, moment 0.028428260430371152, torque Some(0.31042733313921)
evaluation 20800: force 0.07122852304171579, moment 0.028439066402495765, torque Some(0.31043492504443265)
evaluation 21000: force 0.07122852304171579, moment 0.028439066402495765, torque Some(0.31043492504443265)
evaluation 21200: force 0.07122852304171579, moment 0.028439066402495765, torque Some(0.31043492504443265)
evaluation 21400: force 0.07122852304171579, moment 0.028431034427300834, torque Some(0.31043492504443265)
evaluation 21600: force 0.07122852304171579, moment 0.028439066402495765, torque Some(0.31043492504443265)
evaluation 21800: force 0.07122852304171579, moment 0.028439066402495765, torque Some(0.31043492504443265)
evaluation 22000: force 0.07122852304171579, moment 0.028439066402495765, torque Some(0.31043492504443265)
evaluation 22200: force 0.07053663175819314, moment 0.028439066402495765, torque Some(0.31043492504443265)
evaluation 22400: force 0.07122852304171579, moment 0.028439066402495765, torque Some(0.31043492504443265)
evaluation 22600: force 0.07122852304171579, moment 0.028439066402495765, torque Some(0.31043492504443265)
evaluation 22800: force 0.07122852304171579, moment 0.028439066402495765, torque Some(0.31043492504443265)
evaluation 23000: force 0.07122852304171579, moment 0.028439066402495765, torque Some(0.31043492504443265)
evaluation 23200: force 0.07121146191613514, moment 0.02843350982115436, torque Some(0.3104668060939594)
evaluation 23400: force 0.07121146191613514, moment 0.02843350982115436, torque Some(0.3104668060939594)
evaluation 23600: force 0.07121146191613514, moment 0.02843350982115436, torque Some(0.3104668060939594)
evaluation 23800: force 0.07121146191613514, moment 0.02843350982115436, torque Some(0.3104668060939594)
evaluation 24000: force 0.07121146191613514, moment 0.02843350982115436, torque Some(0.3104668060939594)
evaluation 24200: force 0.07121146191613514, moment 0.02843350982115436, torque Some(0.3104668060939594)
evaluation 24400: force 0.07121146191613514, moment 0.02843350982115436, torque Some(0.3104668060939594)
evaluation 24600: force 0.07121159468612348, moment 0.02843350982115436, torque Some(0.3104668060939594)
evaluation 24800: force 0.07121146191613514, moment 0.02843350982115436, torque Some(0.3104668060939594)
evaluation 25000: force 0.07121146191613514, moment 0.02843350982115436, torque Some(0.3104668060939594)
evaluation 25200: force 0.07121146191613514, moment 0.02843350982115436, torque Some(0.3104668060939594)
evaluation 25400: force 0.07104764766829363, moment 0.02837037972945139, torque Some(0.3105537896762345)
evaluation 25600: force 0.07104764766829363, moment 0.02837037972945139, torque Some(0.3105537896762345)
evaluation 25800: force 0.07104764766829363, moment 0.02837037972945139, torque Some(0.3105537896762345)
evaluation 26000: force 0.07104764766829363, moment 0.02837065646484643, torque Some(0.3105537896762345)
evaluation 26200: force 0.07104764766829363, moment 0.02837037972945139, torque Some(0.3105537896762345)
evaluation 26400: force 0.07104764766829363, moment 0.02837037972945139, torque Some(0.3105537896762345)
evaluation 26600: force 0.07104764766829363, moment 0.02837037972945139, torque Some(0.3105537896762345)
evaluation 26800: force 0.07110943295247663, moment 0.02837037972945139, torque Some(0.3105537896762345)
evaluation 27000: force 0.07104764766829363, moment 0.02837037972945139, torque Some(0.3105537896762345)
evaluation 27200: force 0.07104764766829363, moment 0.02837037972945139, torque Some(0.3105537896762345)
evaluation 27400: force 0.07104764766829363, moment 0.02837037972945139, torque Some(0.3105537896762345)
evaluation 27600: force 0.07104764766829363, moment 0.02837037972945139, torque Some(0.3105537896762345)
evaluation 27800: force 0.07082380299573288, moment 0.028285915807030087, torque Some(0.3106464699508542)
evaluation 28000: force 0.07082380299573288, moment 0.028285915807030087, torque Some(0.3106464699508542)
evaluation 28200: force 0.07082380299573288, moment 0.028285915807030087, torque Some(0.3106464699508542)
evaluation 28400: force 0.07082380299573288, moment 0.028285915807030087, torque Some(0.3106464699508542)
evaluation 28600: force 0.07082380299573288, moment 0.028285915807030087, torque Some(0.3106464699508542)
evaluation 28800: force 0.07082380299573288, moment 0.028285915807030087, torque Some(0.3106464699508542)
evaluation 29000: force 0.07082380299573288, moment 0.028285915807030087, torque Some(0.3106464699508542)
evaluation 29200: force 0.07082617786667411, moment 0.028285915807030087, torque Some(0.3106464699508542)
evaluation 29400: force 0.07082380299573288, moment 0.028285915807030087, torque Some(0.3106464699508542)
evaluation 29600: force 0.07082380299573288, moment 0.028285915807030087, torque Some(0.3106464699508542)
evaluation 29800: force 0.07082380299573288, moment 0.028285915807030087, torque Some(0.3106464699508542)
evaluation 30000: force 0.07056846338642553, moment 0.02820274384302155, torque Some(0.3107626193237225)
evaluation 30200: force 0.07056846338642553, moment 0.02820274384302155, torque Some(0.3107626193237225)
evaluation 30400: force 0.07056846338642553, moment 0.02820274384302155, torque Some(0.3107626193237225)
evaluation 30600: force 0.07056846338642553, moment 0.02820382671324089, torque Some(0.3107626193237225)
evaluation 30800: force 0.07056846338642553, moment 0.02820274384302155, torque Some(0.3107626193237225)
evaluation 31000: force 0.07056846338642553, moment 0.02820274384302155, torque Some(0.3107626193237225)
evaluation 31200: force 0.07056846338642553, moment 0.02820274384302155, torque Some(0.3107626193237225)
evaluation 31400: force 0.07056604457644111, moment 0.02820274384302155, torque Some(0.3107626193237225)
evaluation 31600: force 0.07056846338642553, moment 0.02820274384302155, torque Some(0.3107626193237225)
evaluation 31800: force 0.07056846338642553, moment 0.02820274384302155, torque Some(0.3107626193237225)
evaluation 32000: force 0.07056846338642553, moment 0.02820274384302155, torque Some(0.3107626193237225)
evaluation 32200: force 0.07056846338642553, moment 0.02820274384302155, torque Some(0.3107626193237225)
evaluation 32400: force 0.07055308594888454, moment 0.028189440063465302, torque Some(0.31079456898739416)
evaluation 32600: force 0.07055308594888454, moment 0.028189440063465302, torque Some(0.31079456898739416)
evaluation 32800: force 0.07055308594888454, moment 0.028189440063465302, torque Some(0.31079456898739416)
evaluation 33000: force 0.07055308594888454, moment 0.028189440063465302, torque Some(0.31079456898739416)
evaluation 33200: force 0.07055308594888454, moment 0.028189440063465302, torque Some(0.31079456898739416)
evaluation 33400: force 0.07055308594888454, moment 0.028189440063465302, torque Some(0.31079456898739416)
evaluation 33600: force 0.07055308594888454, moment 0.028189440063465302, torque Some(0.31079456898739416)
evaluation 33800: force 0.0705538436725115, moment 0.028189440063465302, torque Some(0.31079456898739416)
